Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
KVY,AlphaTauri,1,2.0,INTERMEDIATE,SOFT
BOT,Mercedes,2,3.0,INTERMEDIATE,MEDIUM
LEC,Ferrari,2,3.0,INTERMEDIATE,SOFT
ALB,Red Bull Racing,3,4.0,INTERMEDIATE,MEDIUM
GAS,AlphaTauri,3,4.0,INTERMEDIATE,SOFT
HAM,Mercedes,3,4.0,INTERMEDIATE,MEDIUM
LAT,Williams,3,5.0,INTERMEDIATE,MEDIUM
PER,Racing Point,3,4.0,INTERMEDIATE,MEDIUM
RAI,Alfa Romeo Racing,3,4.0,INTERMEDIATE,MEDIUM
SAI,McLaren,3,4.0,INTERMEDIATE,MEDIUM
STR,Racing Point,3,4.0,INTERMEDIATE,MEDIUM
VET,Ferrari,3,4.0,INTERMEDIATE,MEDIUM
GIO,Alfa Romeo Racing,4,5.0,INTERMEDIATE,SOFT
NOR,McLaren,4,5.0,INTERMEDIATE,MEDIUM
OCO,Renault,4,5.0,INTERMEDIATE,MEDIUM
RIC,Renault,4,5.0,INTERMEDIATE,MEDIUM
RUS,Williams,4,5.0,INTERMEDIATE,SOFT
VER,Red Bull Racing,4,5.0,INTERMEDIATE,MEDIUM
GAS,AlphaTauri,15,,SOFT,
KVY,AlphaTauri,18,19.0,SOFT,HARD
RUS,Williams,19,20.0,SOFT,MEDIUM
GIO,Alfa Romeo Racing,20,21.0,SOFT,MEDIUM
LEC,Ferrari,20,21.0,SOFT,HARD
VET,Ferrari,29,30.0,MEDIUM,HARD
LAT,Williams,31,32.0,MEDIUM,MEDIUM
OCO,Renault,31,32.0,MEDIUM,HARD
BOT,Mercedes,33,34.0,MEDIUM,MEDIUM
RAI,Alfa Romeo Racing,33,34.0,MEDIUM,HARD
ALB,Red Bull Racing,34,35.0,MEDIUM,HARD
GRO,Haas F1 Team,34,35.0,MEDIUM,HARD
MAG,Haas F1 Team,35,36.0,MEDIUM,HARD
NOR,McLaren,35,36.0,MEDIUM,HARD
PER,Racing Point,35,36.0,MEDIUM,HARD
STR,Racing Point,35,36.0,MEDIUM,MEDIUM
VER,Red Bull Racing,36,37.0,MEDIUM,HARD
HAM,Mercedes,37,38.0,MEDIUM,MEDIUM
LAT,Williams,39,40.0,MEDIUM,SOFT
GIO,Alfa Romeo Racing,40,41.0,MEDIUM,HARD
SAI,McLaren,40,41.0,MEDIUM,HARD
RIC,Renault,43,44.0,MEDIUM,MEDIUM
BOT,Mercedes,49,50.0,MEDIUM,HARD
RUS,Williams,50,51.0,MEDIUM,MEDIUM
LAT,Williams,52,53.0,SOFT,HARD
STR,Racing Point,52,53.0,MEDIUM,HARD
HAM,Mercedes,66,67.0,MEDIUM,SOFT
