pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,60,80.897,80.899,78.75,0.954,0.0
2,VER,Red Bull Racing,33,60,81.443,81.179,79.854,0.916,0.546
3,BOT,Mercedes,77,60,81.322,81.292,79.345,0.861,0.425
4,LEC,Ferrari,16,60,81.893,81.844,80.408,0.665,0.996
5,PER,Racing Point,11,58,82.113,81.872,80.802,0.801,1.216
6,VET,Ferrari,5,59,82.384,82.125,80.731,1.048,1.487
7,ALB,Red Bull Racing,23,58,82.271,82.284,79.89,1.318,1.374
8,SAI,McLaren,55,59,82.53,82.291,80.268,1.144,1.633
9,OCO,Renault,31,59,82.441,82.333,80.859,1.018,1.544
10,NOR,McLaren,4,58,82.42,82.471,79.36,1.306,1.523
11,RIC,Renault,3,59,82.522,82.5,80.906,0.978,1.625
12,GAS,AlphaTauri,10,59,82.391,82.512,80.551,0.95,1.494
13,RAI,Alfa Romeo Racing,7,59,82.586,82.512,81.058,0.89,1.689
14,KVY,AlphaTauri,26,57,83.133,82.903,80.449,1.237,2.236
15,STR,Racing Point,18,43,83.081,82.947,81.694,0.95,2.184
16,RUS,Williams,63,59,82.893,83.006,80.882,1.036,1.996
17,GIO,Alfa Romeo Racing,99,59,83.185,83.157,81.893,0.814,2.288
18,GRO,Haas F1 Team,8,59,83.178,83.195,81.664,0.904,2.281
19,MAG,Haas F1 Team,20,59,83.164,83.472,81.46,1.052,2.267
20,LAT,Williams,6,58,83.437,83.568,81.859,0.943,2.54
