Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
PER,Racing Point,1,2.0,SOFT,MEDIUM
RAI,Alfa Romeo Racing,11,12.0,SOFT,MEDIUM
RIC,Renault,14,15.0,SOFT,MEDIUM
NOR,McLaren,18,19.0,SOFT,HARD
STR,Racing Point,18,19.0,MEDIUM,HARD
ALB,Red Bull Racing,19,20.0,SOFT,MEDIUM
VER,Red Bull Racing,23,24.0,SOFT,MEDIUM
LAT,Williams,24,25.0,MEDIUM,HARD
KVY,AlphaTauri,25,26.0,MEDIUM,HARD
GRO,Haas F1 Team,26,27.0,MEDIUM,HARD
SAI,McLaren,26,27.0,SOFT,MEDIUM
VET,Ferrari,27,28.0,MEDIUM,HARD
GAS,AlphaTauri,28,29.0,SOFT,MEDIUM
GIO,Alfa Romeo Racing,28,29.0,MEDIUM,HARD
MAG,Haas F1 Team,31,32.0,HARD,MEDIUM
LEC,Ferrari,34,35.0,MEDIUM,HARD
STR,Racing Point,34,35.0,HARD,SOFT
RUS,Williams,36,37.0,MEDIUM,HARD
HAM,Mercedes,40,41.0,MEDIUM,HARD
BOT,Mercedes,41,42.0,MEDIUM,HARD
NOR,McLaren,43,44.0,HARD,MEDIUM
PER,Racing Point,45,46.0,MEDIUM,SOFT
ALB,Red Bull Racing,46,47.0,MEDIUM,SOFT
STR,Racing Point,51,,SOFT,
OCO,Renault,53,54.0,MEDIUM,SOFT
KVY,AlphaTauri,55,56.0,HARD,SOFT
