stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,HAM,Mercedes,HARD,2.0,42.0,66.0,25,80.045,80.127,78.75
2,BOT,Mercedes,HARD,2.0,43.0,66.0,24,80.607,80.639,79.345
3,ALB,Red Bull Racing,SOFT,3.0,48.0,65.0,18,80.79,80.646,79.89
4,VER,Red Bull Racing,MEDIUM,2.0,25.0,66.0,42,80.948,80.904,79.854
5,NOR,McLaren,MEDIUM,3.0,45.0,65.0,21,80.969,81.092,79.36
6,OCO,Renault,SOFT,2.0,55.0,65.0,11,81.148,81.112,80.859
7,LEC,Ferrari,HARD,2.0,36.0,66.0,31,81.428,81.417,80.408
8,HAM,Mercedes,MEDIUM,1.0,4.0,39.0,35,81.505,81.374,80.537
9,PER,Racing Point,SOFT,3.0,47.0,65.0,18,81.518,81.307,80.802
10,KVY,AlphaTauri,SOFT,3.0,58.0,64.0,7,81.645,81.229,80.449
11,VET,Ferrari,HARD,2.0,29.0,65.0,37,81.798,81.805,80.731
12,BOT,Mercedes,MEDIUM,1.0,4.0,40.0,36,81.799,81.678,80.699
13,SAI,McLaren,MEDIUM,2.0,28.0,65.0,38,81.877,81.83,80.268
14,GAS,AlphaTauri,MEDIUM,2.0,30.0,65.0,36,81.902,81.832,80.551
15,STR,Racing Point,SOFT,3.0,36.0,50.0,15,82.141,82.272,81.694
16,RUS,Williams,HARD,2.0,38.0,65.0,28,82.159,81.943,80.882
17,RIC,Renault,MEDIUM,2.0,16.0,65.0,50,82.251,82.316,80.906
18,PER,Racing Point,MEDIUM,2.0,4.0,44.0,40,82.38,82.334,81.37
19,LEC,Ferrari,MEDIUM,1.0,5.0,33.0,29,82.391,82.28,81.565
20,RAI,Alfa Romeo Racing,MEDIUM,2.0,13.0,65.0,53,82.402,82.466,81.058
21,ALB,Red Bull Racing,MEDIUM,2.0,21.0,45.0,25,82.429,82.318,81.728
22,MAG,Haas F1 Team,MEDIUM,2.0,33.0,65.0,33,82.485,82.354,81.46
23,VER,Red Bull Racing,SOFT,1.0,4.0,22.0,18,82.598,82.569,81.891
24,GIO,Alfa Romeo Racing,HARD,2.0,30.0,65.0,36,82.707,82.506,81.893
25,OCO,Renault,MEDIUM,1.0,5.0,52.0,48,82.737,82.72,81.313
26,GRO,Haas F1 Team,HARD,2.0,28.0,65.0,38,82.744,82.65,81.664
27,KVY,AlphaTauri,HARD,2.0,27.0,54.0,28,82.794,82.66,81.645
28,NOR,McLaren,HARD,2.0,20.0,42.0,23,82.815,82.668,82.229
29,LAT,Williams,HARD,2.0,26.0,64.0,38,82.974,82.762,81.859
30,GAS,AlphaTauri,SOFT,1.0,4.0,27.0,23,83.157,83.044,82.551
31,VET,Ferrari,MEDIUM,1.0,5.0,26.0,22,83.369,83.132,82.529
32,STR,Racing Point,HARD,2.0,21.0,33.0,13,83.451,82.961,82.515
33,RUS,Williams,MEDIUM,1.0,5.0,35.0,31,83.556,83.658,82.509
34,STR,Racing Point,MEDIUM,1.0,3.0,17.0,15,83.7,83.43,82.708
35,SAI,McLaren,SOFT,1.0,3.0,25.0,21,83.712,83.571,82.97
36,ALB,Red Bull Racing,SOFT,1.0,4.0,18.0,15,83.785,83.693,83.078
37,GIO,Alfa Romeo Racing,MEDIUM,1.0,5.0,27.0,23,83.933,83.95,83.215
38,NOR,McLaren,SOFT,1.0,3.0,17.0,14,83.946,83.881,83.431
39,GRO,Haas F1 Team,MEDIUM,1.0,5.0,25.0,21,83.963,83.873,83.195
40,MAG,Haas F1 Team,HARD,1.0,4.0,30.0,26,84.027,83.998,83.094
41,RIC,Renault,SOFT,1.0,3.0,13.0,9,84.029,83.973,83.611
42,KVY,AlphaTauri,MEDIUM,1.0,3.0,24.0,22,84.039,83.964,82.633
43,RAI,Alfa Romeo Racing,SOFT,1.0,3.0,10.0,6,84.211,84.228,83.523
44,LAT,Williams,MEDIUM,1.0,4.0,23.0,20,84.315,84.133,83.614
