stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,BOT,Mercedes,MEDIUM,4.0,66.0,66.0,1,78.183,78.183,78.183
2,GRO,Haas F1 Team,SOFT,3.0,64.0,64.0,1,80.409,80.409,80.409
3,HAM,Mercedes,MEDIUM,3.0,52.0,66.0,15,81.052,80.975,79.822
4,BOT,Mercedes,SOFT,3.0,50.0,63.0,14,81.652,81.733,79.75
5,VER,Red Bull Racing,MEDIUM,3.0,43.0,66.0,24,82.045,81.908,81.477
6,HAM,Mercedes,MEDIUM,2.0,25.0,49.0,25,82.729,82.658,81.539
7,RAI,Alfa Romeo Racing,SOFT,3.0,46.0,65.0,20,82.925,82.926,81.888
8,STR,Racing Point,SOFT,3.0,44.0,65.0,22,82.943,82.97,82.024
9,LAT,Williams,SOFT,3.0,51.0,64.0,14,82.965,82.892,82.03
10,GIO,Alfa Romeo Racing,SOFT,3.0,47.0,65.0,19,83.049,83.133,81.801
11,SAI,McLaren,MEDIUM,3.0,43.0,65.0,23,83.081,83.086,81.771
12,BOT,Mercedes,MEDIUM,2.0,25.0,47.0,23,83.091,83.253,81.857
13,KVY,AlphaTauri,MEDIUM,3.0,47.0,65.0,19,83.145,82.977,82.336
14,VER,Red Bull Racing,MEDIUM,2.0,23.0,40.0,18,83.376,83.36,82.896
15,GAS,AlphaTauri,MEDIUM,3.0,44.0,65.0,22,83.508,83.42,82.543
16,NOR,McLaren,MEDIUM,3.0,46.0,65.0,20,83.534,83.402,82.392
17,HAM,Mercedes,SOFT,1.0,5.0,22.0,18,83.584,83.408,82.767
18,ALB,Red Bull Racing,MEDIUM,3.0,41.0,65.0,25,83.598,83.402,82.194
19,RIC,Renault,SOFT,2.0,37.0,65.0,28,83.684,83.536,82.464
20,PER,Racing Point,MEDIUM,2.0,31.0,65.0,35,83.938,84.055,82.515
21,VER,Red Bull Racing,SOFT,1.0,4.0,20.0,16,83.951,83.98,83.422
22,BOT,Mercedes,SOFT,1.0,3.0,22.0,19,83.987,83.981,83.449
23,OCO,Renault,SOFT,2.0,36.0,65.0,30,84.005,83.823,82.174
24,VET,Ferrari,SOFT,2.0,31.0,65.0,35,84.1,84.033,82.707
25,GRO,Haas F1 Team,SOFT,2.0,34.0,61.0,28,84.234,84.214,83.34
26,LAT,Williams,MEDIUM,2.0,30.0,48.0,19,84.299,84.403,82.825
27,STR,Racing Point,MEDIUM,2.0,29.0,41.0,13,84.448,84.452,84.164
28,MAG,Haas F1 Team,MEDIUM,2.0,30.0,65.0,35,84.511,84.282,83.474
29,KVY,AlphaTauri,MEDIUM,2.0,23.0,44.0,22,84.531,84.322,83.233
30,RUS,Williams,MEDIUM,3.0,37.0,65.0,29,84.565,84.522,82.503
31,NOR,McLaren,SOFT,2.0,23.0,43.0,20,84.591,84.834,83.111
32,GAS,AlphaTauri,MEDIUM,2.0,23.0,41.0,18,84.697,84.685,83.082
33,SAI,McLaren,SOFT,2.0,24.0,40.0,17,84.767,84.677,83.325
34,RUS,Williams,MEDIUM,2.0,21.0,34.0,14,84.814,84.876,83.576
35,GIO,Alfa Romeo Racing,MEDIUM,2.0,23.0,44.0,21,84.928,84.71,83.614
36,ALB,Red Bull Racing,HARD,2.0,20.0,38.0,18,85.08,85.288,83.688
37,RAI,Alfa Romeo Racing,MEDIUM,2.0,22.0,43.0,21,85.139,85.031,83.417
38,STR,Racing Point,SOFT,1.0,2.0,25.0,23,85.212,85.189,84.623
39,PER,Racing Point,SOFT,1.0,2.0,28.0,24,85.229,85.224,84.605
40,SAI,McLaren,SOFT,1.0,4.0,21.0,18,85.235,85.191,84.807
41,ALB,Red Bull Racing,SOFT,1.0,2.0,16.0,15,85.237,85.276,84.631
42,GAS,AlphaTauri,SOFT,1.0,3.0,20.0,18,85.313,85.258,85.018
43,NOR,McLaren,SOFT,1.0,3.0,20.0,18,85.348,85.312,84.752
44,LEC,Ferrari,SOFT,1.0,2.0,28.0,27,85.389,85.309,84.873
45,RIC,Renault,MEDIUM,1.0,3.0,34.0,31,85.515,85.474,84.63
46,VET,Ferrari,MEDIUM,1.0,3.0,27.0,24,85.532,85.52,85.084
47,KVY,AlphaTauri,SOFT,1.0,3.0,20.0,17,85.579,85.63,85.165
48,OCO,Renault,MEDIUM,1.0,4.0,33.0,29,85.75,85.742,85.135
49,MAG,Haas F1 Team,SOFT,1.0,4.0,27.0,24,85.841,85.85,85.554
50,RAI,Alfa Romeo Racing,MEDIUM,1.0,3.0,19.0,17,86.003,85.983,85.511
51,RUS,Williams,SOFT,1.0,4.0,18.0,15,86.037,86.111,85.609
52,GRO,Haas F1 Team,MEDIUM,1.0,3.0,30.0,28,86.337,86.148,85.818
53,GIO,Alfa Romeo Racing,MEDIUM,1.0,3.0,20.0,18,86.358,86.232,85.99
54,LEC,Ferrari,MEDIUM,2.0,31.0,37.0,6,86.592,85.382,83.968
55,LAT,Williams,MEDIUM,1.0,3.0,27.0,24,86.687,86.441,85.82
