Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
HAM,44,Mercedes,1.0,0 days 00:01:18.184000,78.184,,0 days 00:00:30.354000,0 days 00:00:27.743000,SOFT,1.0,1.0,,,1.0,False,14
VER,33,Red Bull Racing,1.0,0 days 00:01:21.063000,81.063,,0 days 00:00:30.916000,0 days 00:00:29.488000,SOFT,1.0,1.0,,,2.0,False,14
SAI,55,McLaren,1.0,0 days 00:01:23.726000,83.726,,0 days 00:00:31.612000,0 days 00:00:31.478000,SOFT,1.0,1.0,,,3.0,False,14
BOT,77,Mercedes,1.0,0 days 00:01:25.391000,85.391,,0 days 00:00:31.618000,0 days 00:00:32.731000,SOFT,1.0,1.0,,,4.0,False,14
ALB,23,Red Bull Racing,1.0,0 days 00:01:27.279000,87.279,,0 days 00:00:31.947000,0 days 00:00:33.998000,SOFT,1.0,1.0,,,5.0,False,14
OCO,31,Renault,1.0,0 days 00:01:28.095000,88.095,,0 days 00:00:32.457000,0 days 00:00:34.411000,SOFT,1.0,1.0,,,6.0,False,14
RIC,3,Renault,1.0,0 days 00:01:29.615000,89.615,,0 days 00:00:32.283000,0 days 00:00:35.285000,MEDIUM,1.0,1.0,,,7.0,False,14
GAS,10,AlphaTauri,1.0,0 days 00:01:32.014000,92.014,,0 days 00:00:32.537000,0 days 00:00:37.103000,SOFT,1.0,1.0,,,8.0,False,14
LEC,16,Ferrari,1.0,0 days 00:01:33.572000,93.572,,0 days 00:00:35.117000,0 days 00:00:35.585000,SOFT,1.0,1.0,,0 days 00:34:19.292000,9.0,False,14
NOR,4,McLaren,1.0,0 days 00:01:34.458000,94.458,,0 days 00:00:32.792000,0 days 00:00:39.162000,SOFT,1.0,1.0,,,10.0,False,14
STR,18,Racing Point,1.0,0 days 00:01:35.274000,95.274,,0 days 00:00:32.941000,0 days 00:00:39.691000,SOFT,1.0,1.0,,,11.0,False,14
RUS,63,Williams,1.0,0 days 00:01:36.361000,96.361,,0 days 00:00:33.062000,0 days 00:00:40.719000,SOFT,1.0,1.0,,,12.0,False,14
MAG,20,Haas F1 Team,1.0,0 days 00:01:37.594000,97.594,,0 days 00:00:33.631000,0 days 00:00:41.206000,SOFT,1.0,1.0,,,13.0,False,14
