pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,65,68.198,68.157,66.719,0.425,0.0
2,VER,Red Bull Racing,33,63,68.366,68.27,66.145,0.527,0.168
3,BOT,Mercedes,77,65,68.346,68.439,67.534,0.583,0.148
4,ALB,Red Bull Racing,23,65,68.776,68.746,67.109,0.888,0.578
5,RIC,Renault,3,65,69.07,68.795,67.832,0.851,0.872
6,STR,Racing Point,18,65,69.038,68.879,67.833,0.826,0.84
7,PER,Racing Point,11,65,68.914,68.932,67.188,1.26,0.716
8,NOR,McLaren,4,65,68.985,69.042,67.193,1.094,0.787
9,SAI,McLaren,55,62,69.106,69.11,65.619,0.888,0.908
10,KVY,AlphaTauri,26,64,69.552,69.703,68.378,0.834,1.354
11,RAI,Alfa Romeo Racing,7,64,69.644,69.734,68.382,0.783,1.446
12,MAG,Haas F1 Team,20,64,69.695,69.738,68.009,1.032,1.497
13,GAS,AlphaTauri,10,62,69.685,69.756,67.827,0.991,1.487
14,GRO,Haas F1 Team,8,63,69.593,69.818,68.047,0.913,1.395
15,GIO,Alfa Romeo Racing,99,64,69.748,69.941,68.512,0.814,1.55
16,OCO,Renault,31,22,70.937,70.012,69.321,3.866,2.739
17,LAT,Williams,6,62,70.22,70.276,68.806,0.79,2.022
18,RUS,Williams,63,63,70.124,70.349,68.601,0.833,1.926
19,LEC,Ferrari,16,1,95.379,95.379,95.379,0.0,27.181
