stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VER,Red Bull Racing,SOFT,3.0,70.0,71.0,2,66.372,66.372,66.145
2,SAI,McLaren,SOFT,3.0,68.0,70.0,3,67.656,67.455,65.619
3,HAM,Mercedes,MEDIUM,2.0,29.0,71.0,42,67.967,67.999,66.719
4,BOT,Mercedes,MEDIUM,2.0,36.0,71.0,36,67.995,67.815,67.534
5,NOR,McLaren,MEDIUM,2.0,41.0,71.0,31,68.023,67.967,67.193
6,PER,Racing Point,MEDIUM,2.0,40.0,70.0,31,68.085,67.715,67.188
7,ALB,Red Bull Racing,MEDIUM,2.0,37.0,71.0,35,68.09,68.193,67.109
8,VER,Red Bull Racing,MEDIUM,2.0,26.0,66.0,41,68.206,68.164,67.81
9,STR,Racing Point,MEDIUM,2.0,35.0,71.0,37,68.47,68.373,67.833
10,RIC,Renault,SOFT,2.0,39.0,71.0,33,68.517,68.406,67.832
11,HAM,Mercedes,SOFT,1.0,4.0,26.0,23,68.619,68.581,68.183
12,SAI,McLaren,MEDIUM,2.0,34.0,65.0,32,68.642,68.694,67.723
13,GAS,AlphaTauri,SOFT,3.0,51.0,70.0,20,68.699,68.412,67.827
14,BOT,Mercedes,SOFT,1.0,5.0,33.0,29,68.781,68.737,68.386
15,VER,Red Bull Racing,SOFT,1.0,4.0,23.0,20,68.893,68.846,68.693
16,KVY,AlphaTauri,HARD,2.0,38.0,70.0,33,68.914,68.749,68.378
17,GRO,Haas F1 Team,MEDIUM,2.0,39.0,70.0,32,68.921,68.836,68.047
18,RAI,Alfa Romeo Racing,SOFT,2.0,46.0,70.0,25,68.924,68.819,68.382
19,MAG,Haas F1 Team,MEDIUM,2.0,33.0,70.0,38,69.137,68.871,68.009
20,GIO,Alfa Romeo Racing,SOFT,2.0,41.0,70.0,30,69.203,68.914,68.512
21,RUS,Williams,MEDIUM,2.0,36.0,69.0,34,69.537,69.41,68.601
22,ALB,Red Bull Racing,SOFT,1.0,5.0,34.0,30,69.577,69.614,68.746
23,RIC,Renault,MEDIUM,1.0,5.0,36.0,32,69.64,69.519,68.644
24,PER,Racing Point,SOFT,1.0,4.0,37.0,34,69.669,69.592,68.61
25,LAT,Williams,SOFT,2.0,34.0,69.0,36,69.771,69.706,68.806
26,STR,Racing Point,SOFT,1.0,5.0,32.0,28,69.789,69.672,69.067
27,GAS,AlphaTauri,HARD,2.0,26.0,48.0,22,69.791,69.694,69.025
28,SAI,McLaren,SOFT,1.0,4.0,31.0,27,69.818,69.732,69.166
29,NOR,McLaren,SOFT,1.0,5.0,38.0,34,69.863,69.768,68.901
30,RAI,Alfa Romeo Racing,MEDIUM,1.0,5.0,43.0,39,70.106,70.009,69.313
31,GIO,Alfa Romeo Racing,MEDIUM,1.0,5.0,38.0,34,70.23,70.221,69.513
32,KVY,AlphaTauri,MEDIUM,1.0,5.0,35.0,31,70.23,70.207,69.632
33,GRO,Haas F1 Team,SOFT,1.0,6.0,36.0,31,70.285,70.126,69.257
34,MAG,Haas F1 Team,SOFT,1.0,5.0,30.0,26,70.51,70.3,69.673
35,GAS,AlphaTauri,SOFT,1.0,4.0,23.0,20,70.554,70.403,69.821
36,RUS,Williams,SOFT,1.0,5.0,33.0,29,70.812,70.716,70.349
37,LAT,Williams,MEDIUM,1.0,5.0,31.0,26,70.841,70.752,70.222
38,OCO,Renault,SOFT,1.0,1.0,24.0,22,70.937,70.012,69.321
39,LEC,Ferrari,HARD,2.0,3.0,3.0,1,95.379,95.379,95.379
