Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
BOT,77,Mercedes,1.0,0 days 00:01:46.834000,106.834,,0 days 00:00:34.549000,0 days 00:00:36.911000,SOFT,4.0,1.0,,,1.0,False,124
HAM,44,Mercedes,1.0,0 days 00:01:50.341000,110.341,,0 days 00:00:37.170000,0 days 00:00:36.855000,SOFT,4.0,1.0,,,2.0,False,124
LEC,16,Ferrari,1.0,0 days 00:01:51.398000,111.398,,0 days 00:00:39.450000,0 days 00:00:34.462000,SOFT,4.0,1.0,,,3.0,False,124
ALB,23,Red Bull Racing,1.0,0 days 00:01:52.724000,112.724,,0 days 00:00:39.823000,0 days 00:00:34.518000,SOFT,4.0,1.0,,,4.0,False,124
STR,18,Racing Point,1.0,0 days 00:01:53.996000,113.996,,0 days 00:00:41.287000,0 days 00:00:33.801000,SOFT,4.0,1.0,,,5.0,False,124
RIC,3,Renault,1.0,0 days 00:01:56.335000,116.335,,0 days 00:00:43.570000,0 days 00:00:33.443000,SOFT,4.0,1.0,,,6.0,False,124
PER,11,Racing Point,1.0,0 days 00:01:57.098000,117.098,,0 days 00:00:44.285000,0 days 00:00:33.087000,SOFT,4.0,1.0,,,7.0,False,124
NOR,4,McLaren,1.0,0 days 00:01:59.936000,119.936,,0 days 00:00:45.211000,0 days 00:00:34.097000,SOFT,1.0,1.0,,,8.0,False,124
KVY,26,AlphaTauri,1.0,0 days 00:02:02.355000,122.355,,0 days 00:00:46.407000,0 days 00:00:34.780000,MEDIUM,1.0,1.0,,,9.0,False,124
OCO,31,Renault,1.0,0 days 00:02:03.478000,123.478,,0 days 00:00:46.627000,0 days 00:00:34.901000,SOFT,4.0,1.0,,,10.0,False,124
RUS,63,Williams,1.0,0 days 00:02:04.620000,124.62,,0 days 00:00:47.349000,0 days 00:00:34.993000,MEDIUM,1.0,1.0,,,11.0,False,124
MAG,20,Haas F1 Team,1.0,0 days 00:02:08.433000,128.433,,0 days 00:00:47.688000,0 days 00:00:37.804000,SOFT,1.0,1.0,,,12.0,False,124
LAT,6,Williams,1.0,0 days 00:02:09.418000,129.418,,0 days 00:00:48.778000,0 days 00:00:36.904000,MEDIUM,1.0,1.0,,,13.0,False,124
GIO,99,Alfa Romeo Racing,1.0,0 days 00:02:10.612000,130.612,,0 days 00:00:48.987000,0 days 00:00:36.861000,SOFT,1.0,1.0,,,14.0,False,124
SAI,55,McLaren,1.0,0 days 00:02:18.942000,138.942,,0 days 00:00:49.698000,0 days 00:00:39.608000,SOFT,4.0,1.0,,,15.0,False,124
RAI,7,Alfa Romeo Racing,1.0,0 days 00:02:35.829000,155.829,,0 days 00:00:49.354000,0 days 00:00:59.638000,MEDIUM,1.0,1.0,,0 days 00:35:33.441000,16.0,False,124
GRO,8,Haas F1 Team,1.0,0 days 00:02:38.359000,158.359,,0 days 00:00:30.671000,0 days 00:00:40.151000,MEDIUM,1.0,1.0,,,17.0,False,124
VET,5,Ferrari,1.0,0 days 00:02:46.818000,166.818,,0 days 00:00:50.654000,0 days 00:01:08.026000,SOFT,1.0,1.0,,0 days 00:35:41.390000,18.0,False,124
