pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,48,84.93,82.684,78.833,11.213,0.0
2,BOT,Mercedes,77,47,85.079,82.798,79.432,11.075,0.149
3,PER,Racing Point,11,47,86.176,83.284,80.632,11.384,1.246
4,RIC,Renault,3,47,85.833,83.356,80.426,11.484,0.903
5,NOR,McLaren,4,47,86.338,83.407,81.198,11.519,1.408
6,ALB,Red Bull Racing,23,47,85.702,83.628,80.039,11.32,0.772
7,STR,Racing Point,18,35,88.878,83.821,82.068,15.26,3.948
8,LEC,Ferrari,16,47,87.562,83.973,81.229,11.912,2.632
9,KVY,AlphaTauri,26,47,86.656,84.182,81.458,11.561,1.726
10,VET,Ferrari,5,45,85.26,84.235,81.202,6.681,0.33
11,RAI,Alfa Romeo Racing,7,44,85.194,84.243,81.164,6.909,0.264
12,RUS,Williams,63,47,87.232,84.512,81.645,11.389,2.302
13,GRO,Haas F1 Team,8,46,87.866,85.516,82.263,10.81,2.936
14,LAT,Williams,6,6,134.828,134.055,129.418,4.745,49.898
15,OCO,Renault,31,6,134.21,134.072,123.478,6.762,49.28
16,GIO,Alfa Romeo Racing,99,5,135.709,134.22,130.612,4.68,50.779
17,MAG,Haas F1 Team,20,5,135.315,134.825,128.433,5.046,50.385
18,SAI,McLaren,55,5,135.891,135.826,134.103,1.989,50.961
