Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
RAI,Alfa Romeo Racing,1,2.0,MEDIUM,MEDIUM
VET,Ferrari,1,2.0,SOFT,MEDIUM
ALB,Red Bull Racing,7,10.0,SOFT,SOFT
BOT,Mercedes,7,10.0,SOFT,MEDIUM
GRO,Haas F1 Team,7,10.0,MEDIUM,SOFT
HAM,Mercedes,7,10.0,SOFT,MEDIUM
KVY,AlphaTauri,7,10.0,MEDIUM,SOFT
LEC,Ferrari,7,10.0,SOFT,SOFT
NOR,McLaren,7,10.0,SOFT,SOFT
OCO,Renault,7,,SOFT,
PER,Racing Point,7,10.0,SOFT,SOFT
RAI,Alfa Romeo Racing,7,10.0,MEDIUM,MEDIUM
RIC,Renault,7,10.0,SOFT,SOFT
RUS,Williams,7,10.0,MEDIUM,MEDIUM
STR,Racing Point,7,10.0,SOFT,SOFT
VET,Ferrari,7,10.0,MEDIUM,SOFT
LEC,Ferrari,21,22.0,SOFT,HARD
RAI,Alfa Romeo Racing,27,28.0,MEDIUM,HARD
RIC,Renault,27,28.0,SOFT,MEDIUM
GRO,Haas F1 Team,28,29.0,SOFT,HARD
PER,Racing Point,28,29.0,SOFT,MEDIUM
VET,Ferrari,28,29.0,SOFT,HARD
KVY,AlphaTauri,29,30.0,SOFT,MEDIUM
NOR,McLaren,29,30.0,SOFT,MEDIUM
RUS,Williams,29,30.0,MEDIUM,HARD
STR,Racing Point,30,31.0,SOFT,MEDIUM
BOT,Mercedes,31,32.0,MEDIUM,HARD
ALB,Red Bull Racing,32,33.0,SOFT,MEDIUM
HAM,Mercedes,32,33.0,MEDIUM,HARD
LEC,Ferrari,37,38.0,HARD,MEDIUM
GRO,Haas F1 Team,42,43.0,HARD,SOFT
RAI,Alfa Romeo Racing,42,43.0,HARD,SOFT
ALB,Red Bull Racing,43,44.0,MEDIUM,SOFT
BOT,Mercedes,43,44.0,HARD,MEDIUM
KVY,AlphaTauri,43,44.0,MEDIUM,SOFT
NOR,McLaren,43,44.0,MEDIUM,SOFT
PER,Racing Point,43,44.0,MEDIUM,SOFT
RIC,Renault,43,44.0,MEDIUM,SOFT
RUS,Williams,43,44.0,HARD,SOFT
VET,Ferrari,43,44.0,HARD,SOFT
HAM,Mercedes,44,47.0,HARD,SOFT
