stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,HAM,Mercedes,SOFT,6.0,47.0,59.0,13,80.535,80.518,78.833
2,BOT,Mercedes,SOFT,6.0,47.0,59.0,13,80.872,80.596,79.432
3,ALB,Red Bull Racing,SOFT,6.0,47.0,59.0,13,81.086,80.83,80.039
4,RIC,Renault,SOFT,6.0,47.0,59.0,13,81.299,80.919,80.426
5,PER,Racing Point,SOFT,6.0,47.0,59.0,13,81.659,81.352,80.632
6,NOR,McLaren,SOFT,6.0,47.0,59.0,13,81.894,81.443,81.198
7,BOT,Mercedes,HARD,4.0,33.0,42.0,10,82.105,82.112,81.799
8,KVY,AlphaTauri,SOFT,6.0,47.0,59.0,13,82.113,81.594,81.458
9,ALB,Red Bull Racing,MEDIUM,4.0,34.0,42.0,9,82.198,82.154,81.756
10,HAM,Mercedes,HARD,4.0,34.0,43.0,10,82.236,82.281,81.965
11,RAI,Alfa Romeo Racing,SOFT,7.0,47.0,59.0,13,82.307,81.91,81.164
12,LEC,Ferrari,SOFT,6.0,47.0,59.0,13,82.601,82.079,81.229
13,VET,Ferrari,SOFT,7.0,47.0,59.0,13,82.707,82.013,81.202
14,STR,Racing Point,MEDIUM,4.0,32.0,42.0,11,82.71,82.739,82.068
15,RUS,Williams,SOFT,6.0,47.0,59.0,13,82.887,82.081,81.645
16,PER,Racing Point,MEDIUM,4.0,30.0,42.0,13,82.932,82.922,82.111
17,NOR,McLaren,MEDIUM,4.0,31.0,42.0,12,82.954,82.932,82.583
18,RIC,Renault,MEDIUM,4.0,29.0,42.0,14,83.077,83.174,82.152
19,HAM,Mercedes,MEDIUM,3.0,10.0,31.0,22,83.122,83.124,82.376
20,KVY,AlphaTauri,MEDIUM,4.0,31.0,42.0,12,83.396,83.38,82.589
21,BOT,Mercedes,MEDIUM,3.0,10.0,30.0,21,83.419,83.231,82.435
22,GRO,Haas F1 Team,SOFT,6.0,47.0,59.0,13,83.608,83.268,82.263
23,RAI,Alfa Romeo Racing,HARD,5.0,29.0,41.0,13,84.057,83.955,83.285
24,RUS,Williams,HARD,4.0,31.0,42.0,12,84.065,84.157,83.235
25,VET,Ferrari,HARD,5.0,30.0,42.0,13,84.068,84.076,83.708
26,STR,Racing Point,SOFT,3.0,10.0,29.0,20,84.092,83.986,83.259
27,RIC,Renault,SOFT,3.0,10.0,26.0,17,84.093,83.778,83.356
28,ALB,Red Bull Racing,SOFT,3.0,10.0,31.0,22,84.24,83.946,83.206
29,LEC,Ferrari,HARD,4.0,23.0,36.0,14,84.398,84.225,83.488
30,LEC,Ferrari,SOFT,3.0,10.0,20.0,11,84.693,84.39,83.491
31,NOR,McLaren,SOFT,3.0,10.0,28.0,19,84.766,84.469,83.851
32,PER,Racing Point,SOFT,3.0,10.0,27.0,18,84.776,84.622,83.762
33,KVY,AlphaTauri,SOFT,3.0,10.0,28.0,19,85.029,84.765,84.182
34,GRO,Haas F1 Team,HARD,4.0,30.0,41.0,12,85.141,84.67,84.346
35,RUS,Williams,MEDIUM,3.0,10.0,28.0,19,85.505,85.2,84.71
36,VET,Ferrari,SOFT,4.0,10.0,27.0,18,85.646,85.27,84.538
37,RAI,Alfa Romeo Racing,MEDIUM,4.0,10.0,26.0,17,85.739,85.371,84.885
38,GRO,Haas F1 Team,SOFT,3.0,10.0,27.0,18,86.196,85.707,85.447
39,LEC,Ferrari,MEDIUM,5.0,39.0,44.0,6,91.408,83.084,82.506
40,BOT,Mercedes,SOFT,1.0,1.0,5.0,3,124.85,133.468,106.834
41,HAM,Mercedes,SOFT,1.0,1.0,5.0,3,126.218,133.693,110.341
42,LEC,Ferrari,SOFT,1.0,1.0,5.0,3,126.643,133.4,111.398
43,ALB,Red Bull Racing,SOFT,1.0,1.0,5.0,3,126.939,133.442,112.724
44,VET,Ferrari,MEDIUM,2.0,6.0,6.0,1,127.016,127.016,127.016
45,GRO,Haas F1 Team,MEDIUM,1.0,2.0,6.0,3,127.228,130.396,117.221
46,RIC,Renault,SOFT,1.0,1.0,5.0,3,128.198,132.873,116.335
47,PER,Racing Point,SOFT,1.0,1.0,5.0,3,128.214,132.602,117.098
48,RAI,Alfa Romeo Racing,MEDIUM,2.0,6.0,6.0,1,128.229,128.229,128.229
49,NOR,McLaren,SOFT,1.0,1.0,5.0,3,129.084,132.713,119.936
50,RUS,Williams,MEDIUM,1.0,1.0,6.0,3,129.672,130.896,124.62
51,KVY,AlphaTauri,MEDIUM,1.0,1.0,6.0,3,129.683,132.98,122.355
52,STR,Racing Point,SOFT,1.0,1.0,5.0,4,129.772,133.854,113.996
53,OCO,Renault,SOFT,1.0,1.0,6.0,6,134.21,134.072,123.478
54,LAT,Williams,MEDIUM,1.0,1.0,6.0,6,134.828,134.055,129.418
55,MAG,Haas F1 Team,SOFT,1.0,1.0,5.0,5,135.315,134.825,128.433
56,GIO,Alfa Romeo Racing,SOFT,1.0,1.0,5.0,5,135.709,134.22,130.612
57,SAI,McLaren,SOFT,1.0,1.0,5.0,5,135.891,135.826,134.103
