Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
HAM,44,Mercedes,1.0,0 days 00:01:31.686000,91.686,,0 days 00:00:38.189000,0 days 00:00:33.146000,MEDIUM,4.0,1.0,,,1.0,False,1
VER,33,Red Bull Racing,1.0,0 days 00:01:32.800000,92.8,,0 days 00:00:38.428000,0 days 00:00:33.563000,SOFT,4.0,1.0,,,2.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:33.756000,93.756,,0 days 00:00:38.140000,0 days 00:00:34.170000,SOFT,4.0,1.0,,,3.0,False,1
SAI,55,Ferrari,1.0,0 days 00:01:34.819000,94.819,,0 days 00:00:38.292000,0 days 00:00:34.551000,SOFT,4.0,1.0,,,4.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:35.658000,95.658,,0 days 00:00:38.839000,0 days 00:00:35.122000,SOFT,4.0,1.0,,,5.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:36.143000,96.143,,0 days 00:00:38.817000,0 days 00:00:35.108000,SOFT,4.0,1.0,,,6.0,False,1
TSU,22,AlphaTauri,1.0,0 days 00:01:36.600000,96.6,,0 days 00:00:39.009000,0 days 00:00:34.934000,MEDIUM,5.0,1.0,,,7.0,False,1
BOT,77,Mercedes,1.0,0 days 00:01:37.280000,97.28,,0 days 00:00:39.157000,0 days 00:00:35.555000,MEDIUM,6.0,1.0,,,8.0,False,1
OCO,31,Alpine,1.0,0 days 00:01:37.772000,97.772,,0 days 00:00:39.333000,0 days 00:00:35.265000,SOFT,4.0,1.0,,,9.0,False,1
RIC,3,McLaren,1.0,0 days 00:01:38.267000,98.267,,0 days 00:00:39.461000,0 days 00:00:35.753000,SOFT,4.0,1.0,,,10.0,False,1
ALO,14,Alpine,1.0,0 days 00:01:38.679000,98.679,,0 days 00:00:39.179000,0 days 00:00:35.998000,HARD,2.0,1.0,,,11.0,False,1
GAS,10,AlphaTauri,1.0,0 days 00:01:39.330000,99.33,,0 days 00:00:39.238000,0 days 00:00:36.292000,HARD,1.0,1.0,,,12.0,False,1
GIO,99,Alfa Romeo Racing,1.0,0 days 00:01:39.822000,99.822,,0 days 00:00:39.667000,0 days 00:00:36.107000,MEDIUM,1.0,1.0,,,13.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:40.334000,100.334,,0 days 00:00:39.246000,0 days 00:00:36.663000,MEDIUM,1.0,1.0,,,14.0,False,1
VET,5,Aston Martin,1.0,0 days 00:01:40.689000,100.689,,0 days 00:00:39.753000,0 days 00:00:36.154000,MEDIUM,1.0,1.0,,,15.0,False,1
LAT,6,Williams,1.0,0 days 00:01:41.174000,101.174,,0 days 00:00:40.348000,0 days 00:00:36.131000,MEDIUM,1.0,1.0,,,16.0,False,1
RAI,7,Alfa Romeo Racing,1.0,0 days 00:01:41.610000,101.61,,0 days 00:00:40.387000,0 days 00:00:36.246000,MEDIUM,1.0,1.0,,,17.0,False,1
MSC,47,Haas F1 Team,1.0,0 days 00:01:42.098000,102.098,,0 days 00:00:40.132000,0 days 00:00:36.898000,SOFT,1.0,1.0,,,18.0,False,1
RUS,63,Williams,1.0,0 days 00:01:42.644000,102.644,,0 days 00:00:40.204000,0 days 00:00:37.282000,MEDIUM,1.0,1.0,,,19.0,False,1
HAM,44,Mercedes,2.0,0 days 00:01:28.791000,88.791,0 days 00:00:17.961000,0 days 00:00:38.053000,0 days 00:00:32.777000,MEDIUM,5.0,1.0,,,1.0,True,1
VER,33,Red Bull Racing,2.0,0 days 00:01:29.103000,89.103,0 days 00:00:18.116000,0 days 00:00:38.026000,0 days 00:00:32.961000,SOFT,5.0,1.0,,,2.0,True,1
PER,11,Red Bull Racing,2.0,0 days 00:01:29.507000,89.507,0 days 00:00:18.135000,0 days 00:00:38.127000,0 days 00:00:33.245000,SOFT,5.0,1.0,,,3.0,True,1
SAI,55,Ferrari,2.0,0 days 00:01:30.325000,90.325,0 days 00:00:18.265000,0 days 00:00:38.790000,0 days 00:00:33.270000,SOFT,5.0,1.0,,,4.0,True,1
NOR,4,McLaren,2.0,0 days 00:01:30.963000,90.963,0 days 00:00:18.335000,0 days 00:00:38.644000,0 days 00:00:33.984000,SOFT,5.0,1.0,,,5.0,True,1
LEC,16,Ferrari,2.0,0 days 00:01:31.140000,91.14,0 days 00:00:18.247000,0 days 00:00:38.498000,0 days 00:00:34.395000,SOFT,5.0,1.0,,,6.0,True,1
TSU,22,AlphaTauri,2.0,0 days 00:01:31.494000,91.494,0 days 00:00:18.477000,0 days 00:00:38.695000,0 days 00:00:34.322000,MEDIUM,6.0,1.0,,,7.0,True,1
BOT,77,Mercedes,2.0,0 days 00:01:31.738000,91.738,0 days 00:00:18.376000,0 days 00:00:38.736000,0 days 00:00:34.626000,MEDIUM,7.0,1.0,,,8.0,True,1
OCO,31,Alpine,2.0,0 days 00:01:32.085000,92.085,0 days 00:00:18.733000,0 days 00:00:38.687000,0 days 00:00:34.665000,SOFT,5.0,1.0,,,9.0,True,1
RIC,3,McLaren,2.0,0 days 00:01:32.138000,92.138,0 days 00:00:18.532000,0 days 00:00:38.859000,0 days 00:00:34.747000,SOFT,5.0,1.0,,,10.0,True,1
ALO,14,Alpine,2.0,0 days 00:01:32.422000,92.422,0 days 00:00:18.850000,0 days 00:00:38.966000,0 days 00:00:34.606000,HARD,3.0,1.0,,,11.0,True,1
GAS,10,AlphaTauri,2.0,0 days 00:01:32.814000,92.814,0 days 00:00:18.899000,0 days 00:00:38.961000,0 days 00:00:34.954000,HARD,2.0,1.0,,,12.0,True,1
GIO,99,Alfa Romeo Racing,2.0,0 days 00:01:33.170000,93.17,0 days 00:00:18.971000,0 days 00:00:38.826000,0 days 00:00:35.373000,MEDIUM,2.0,1.0,,,13.0,True,1
STR,18,Aston Martin,2.0,0 days 00:01:33.222000,93.222,0 days 00:00:18.808000,0 days 00:00:39.145000,0 days 00:00:35.269000,MEDIUM,2.0,1.0,,,14.0,True,1
VET,5,Aston Martin,2.0,0 days 00:01:33.380000,93.38,0 days 00:00:18.811000,0 days 00:00:39.399000,0 days 00:00:35.170000,MEDIUM,2.0,1.0,,,15.0,True,1
RAI,7,Alfa Romeo Racing,2.0,0 days 00:01:33.319000,93.319,0 days 00:00:19.059000,0 days 00:00:38.961000,0 days 00:00:35.299000,MEDIUM,2.0,1.0,,,16.0,True,1
LAT,6,Williams,2.0,0 days 00:01:34.545000,94.545,0 days 00:00:19.131000,0 days 00:00:39.368000,0 days 00:00:36.046000,MEDIUM,2.0,1.0,,,17.0,True,1
MSC,47,Haas F1 Team,2.0,0 days 00:01:34.049000,94.049,0 days 00:00:19.129000,0 days 00:00:39.372000,0 days 00:00:35.548000,SOFT,2.0,1.0,,,18.0,True,1
RUS,63,Williams,2.0,0 days 00:01:34.186000,94.186,0 days 00:00:19.032000,0 days 00:00:39.486000,0 days 00:00:35.668000,MEDIUM,2.0,1.0,,,19.0,True,1
HAM,44,Mercedes,3.0,0 days 00:01:28.587000,88.587,0 days 00:00:18.136000,0 days 00:00:37.860000,0 days 00:00:32.591000,MEDIUM,6.0,1.0,,,1.0,True,1
VER,33,Red Bull Racing,3.0,0 days 00:01:28.827000,88.827,0 days 00:00:17.999000,0 days 00:00:38.043000,0 days 00:00:32.785000,SOFT,6.0,1.0,,,2.0,True,1
PER,11,Red Bull Racing,3.0,0 days 00:01:29.273000,89.273,0 days 00:00:18.078000,0 days 00:00:38.133000,0 days 00:00:33.062000,SOFT,6.0,1.0,,,3.0,True,1
SAI,55,Ferrari,3.0,0 days 00:01:30.155000,90.155,0 days 00:00:18.143000,0 days 00:00:38.554000,0 days 00:00:33.458000,SOFT,6.0,1.0,,,4.0,True,1
NOR,4,McLaren,3.0,0 days 00:01:30.765000,90.765,0 days 00:00:18.146000,0 days 00:00:38.718000,0 days 00:00:33.901000,SOFT,6.0,1.0,,,5.0,True,1
LEC,16,Ferrari,3.0,0 days 00:01:30.910000,90.91,0 days 00:00:18.311000,0 days 00:00:37.847000,0 days 00:00:34.752000,SOFT,6.0,1.0,,,6.0,True,1
TSU,22,AlphaTauri,3.0,0 days 00:01:30.811000,90.811,0 days 00:00:18.388000,0 days 00:00:37.924000,0 days 00:00:34.499000,MEDIUM,7.0,1.0,,,7.0,True,1
BOT,77,Mercedes,3.0,0 days 00:01:30.683000,90.683,0 days 00:00:18.042000,0 days 00:00:38.031000,0 days 00:00:34.610000,MEDIUM,8.0,1.0,,,8.0,True,1
OCO,31,Alpine,3.0,0 days 00:01:30.852000,90.852,0 days 00:00:18.424000,0 days 00:00:38.414000,0 days 00:00:34.014000,SOFT,6.0,1.0,,,9.0,True,1
RIC,3,McLaren,3.0,0 days 00:01:31.096000,91.096,0 days 00:00:18.594000,0 days 00:00:37.965000,0 days 00:00:34.537000,SOFT,6.0,1.0,,,10.0,True,1
ALO,14,Alpine,3.0,0 days 00:01:31.511000,91.511,0 days 00:00:18.652000,0 days 00:00:38.610000,0 days 00:00:34.249000,HARD,4.0,1.0,,,11.0,True,1
GAS,10,AlphaTauri,3.0,0 days 00:01:31.533000,91.533,0 days 00:00:18.581000,0 days 00:00:38.489000,0 days 00:00:34.463000,HARD,3.0,1.0,,,12.0,True,1
GIO,99,Alfa Romeo Racing,3.0,0 days 00:01:31.837000,91.837,0 days 00:00:18.603000,0 days 00:00:38.354000,0 days 00:00:34.880000,MEDIUM,3.0,1.0,,,13.0,True,1
STR,18,Aston Martin,3.0,0 days 00:01:31.943000,91.943,0 days 00:00:18.587000,0 days 00:00:38.325000,0 days 00:00:35.031000,MEDIUM,3.0,1.0,,,14.0,True,1
VET,5,Aston Martin,3.0,0 days 00:01:31.953000,91.953,0 days 00:00:18.670000,0 days 00:00:38.325000,0 days 00:00:34.958000,MEDIUM,3.0,1.0,,,15.0,True,1
RAI,7,Alfa Romeo Racing,3.0,0 days 00:01:31.945000,91.945,0 days 00:00:18.463000,0 days 00:00:38.541000,0 days 00:00:34.941000,MEDIUM,3.0,1.0,,,16.0,True,1
LAT,6,Williams,3.0,0 days 00:01:33.236000,93.236,0 days 00:00:18.869000,0 days 00:00:39.611000,0 days 00:00:34.756000,MEDIUM,3.0,1.0,,,17.0,True,1
MSC,47,Haas F1 Team,3.0,0 days 00:01:33.612000,93.612,0 days 00:00:18.876000,0 days 00:00:39.208000,0 days 00:00:35.528000,SOFT,3.0,1.0,,,18.0,True,1
RUS,63,Williams,3.0,0 days 00:01:33.882000,93.882,0 days 00:00:18.843000,0 days 00:00:38.848000,0 days 00:00:36.191000,MEDIUM,3.0,1.0,,,19.0,True,1
HAM,44,Mercedes,4.0,0 days 00:01:28.789000,88.789,0 days 00:00:18.013000,0 days 00:00:38.111000,0 days 00:00:32.665000,MEDIUM,7.0,1.0,,,1.0,False,1
VER,33,Red Bull Racing,4.0,0 days 00:01:29.026000,89.026,0 days 00:00:18.019000,0 days 00:00:38.125000,0 days 00:00:32.882000,SOFT,7.0,1.0,,,2.0,False,1
PER,11,Red Bull Racing,4.0,0 days 00:01:28.902000,88.902,0 days 00:00:18.064000,0 days 00:00:37.926000,0 days 00:00:32.912000,SOFT,7.0,1.0,,,3.0,True,1
SAI,55,Ferrari,4.0,0 days 00:01:30.356000,90.356,0 days 00:00:18.273000,0 days 00:00:38.757000,0 days 00:00:33.326000,SOFT,7.0,1.0,,,4.0,False,1
NOR,4,McLaren,4.0,0 days 00:01:30.355000,90.355,0 days 00:00:18.061000,0 days 00:00:38.661000,0 days 00:00:33.633000,SOFT,7.0,1.0,,,5.0,True,1
LEC,16,Ferrari,4.0,0 days 00:01:30.509000,90.509,0 days 00:00:18.179000,0 days 00:00:38.358000,0 days 00:00:33.972000,SOFT,7.0,1.0,,,6.0,True,1
