Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,33,Red Bull Racing,1.0,0 days 00:01:27.835000,87.835,,0 days 00:00:30.727000,0 days 00:00:37.013000,MEDIUM,4.0,1.0,,,1.0,False,14
NOR,4,McLaren,1.0,0 days 00:01:30.875000,90.875,,0 days 00:00:31.655000,0 days 00:00:38.863000,MEDIUM,4.0,1.0,,,2.0,False,14
PER,11,Red Bull Racing,1.0,0 days 00:01:33.418000,93.418,,0 days 00:00:31.916000,0 days 00:00:40.657000,MEDIUM,4.0,1.0,,,3.0,False,14
HAM,44,Mercedes,1.0,0 days 00:01:35.027000,95.027,,0 days 00:00:32.156000,0 days 00:00:41.761000,MEDIUM,4.0,1.0,,,4.0,False,14
BOT,77,Mercedes,1.0,0 days 00:01:35.924000,95.924,,0 days 00:00:32.120000,0 days 00:00:42.383000,MEDIUM,4.0,1.0,,,5.0,False,14
GAS,10,AlphaTauri,1.0,0 days 00:01:37.666000,97.666,,0 days 00:00:32.519000,0 days 00:00:43.643000,SOFT,4.0,1.0,,,6.0,False,14
TSU,22,AlphaTauri,1.0,0 days 00:01:39.370000,99.37,,0 days 00:00:32.601000,0 days 00:00:44.835000,SOFT,4.0,1.0,,,7.0,False,14
STR,18,Aston Martin,1.0,0 days 00:01:41.722000,101.722,,0 days 00:00:32.707000,0 days 00:00:46.764000,SOFT,4.0,1.0,,,8.0,False,14
VET,5,Aston Martin,1.0,0 days 00:01:43.358000,103.358,,0 days 00:00:32.531000,0 days 00:00:48.249000,SOFT,4.0,1.0,,,9.0,False,14
LEC,16,Ferrari,1.0,0 days 00:01:44.259000,104.259,,0 days 00:00:32.643000,0 days 00:00:49.031000,MEDIUM,4.0,1.0,,,10.0,False,14
