Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
LEC,16,Ferrari,1.0,0 days 00:01:52.162000,112.162,,0 days 00:00:44.779000,0 days 00:00:26.473000,SOFT,4.0,1.0,,,1.0,False,1
HAM,44,Mercedes,1.0,0 days 00:01:52.533000,112.533,,0 days 00:00:44.590000,0 days 00:00:25.796000,SOFT,5.0,1.0,,,2.0,False,1
VER,33,Red Bull Racing,1.0,0 days 00:01:53.236000,113.236,,0 days 00:00:44.496000,0 days 00:00:25.909000,SOFT,2.0,1.0,,,3.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:54.523000,114.523,,0 days 00:00:44.858000,0 days 00:00:25.935000,SOFT,4.0,1.0,,,4.0,False,1
GAS,10,AlphaTauri,1.0,0 days 00:01:55.240000,115.24,,0 days 00:00:44.998000,0 days 00:00:25.941000,SOFT,6.0,1.0,,,5.0,False,1
SAI,55,Ferrari,1.0,0 days 00:01:55.799000,115.799,,0 days 00:00:45.096000,0 days 00:00:25.716000,SOFT,4.0,1.0,,,6.0,False,1
ALO,14,Alpine,1.0,0 days 00:01:57.109000,117.109,,0 days 00:00:45.658000,0 days 00:00:25.978000,SOFT,4.0,1.0,,,7.0,False,1
TSU,22,AlphaTauri,1.0,0 days 00:01:57.578000,117.578,,0 days 00:00:45.834000,0 days 00:00:25.831000,SOFT,7.0,1.0,,,8.0,False,1
VET,5,Aston Martin,1.0,0 days 00:01:58.358000,118.358,,0 days 00:00:46.670000,0 days 00:00:25.603000,SOFT,1.0,1.0,,,9.0,False,1
BOT,77,Mercedes,1.0,0 days 00:01:59.467000,119.467,,0 days 00:00:46.771000,0 days 00:00:26.101000,SOFT,5.0,1.0,,,10.0,False,1
OCO,31,Alpine,1.0,0 days 00:02:00.049000,120.049,,0 days 00:00:47.130000,0 days 00:00:25.996000,SOFT,1.0,1.0,,,11.0,False,1
NOR,4,McLaren,1.0,0 days 00:02:00.202000,120.202,,0 days 00:00:47.510000,0 days 00:00:25.602000,SOFT,4.0,1.0,,,12.0,False,1
RIC,3,McLaren,1.0,0 days 00:02:00.631000,120.631,,0 days 00:00:47.781000,0 days 00:00:25.499000,SOFT,1.0,1.0,,,13.0,False,1
RAI,7,Alfa Romeo Racing,1.0,0 days 00:02:01.534000,121.534,,0 days 00:00:48.008000,0 days 00:00:25.765000,MEDIUM,1.0,1.0,,,14.0,False,1
GIO,99,Alfa Romeo Racing,1.0,0 days 00:02:02.391000,122.391,,0 days 00:00:48.325000,0 days 00:00:25.901000,SOFT,1.0,1.0,,,15.0,False,1
STR,18,Aston Martin,1.0,0 days 00:02:04.253000,124.253,,0 days 00:00:49.259000,0 days 00:00:25.607000,HARD,1.0,1.0,,,16.0,False,1
LAT,6,Williams,1.0,0 days 00:02:04.905000,124.905,,0 days 00:00:49.174000,0 days 00:00:25.827000,MEDIUM,1.0,1.0,,,17.0,False,1
MSC,47,Haas F1 Team,1.0,0 days 00:02:05.671000,125.671,,0 days 00:00:49.423000,0 days 00:00:26.114000,SOFT,1.0,1.0,,,18.0,False,1
MAZ,9,Haas F1 Team,1.0,0 days 00:02:06.029000,126.029,,0 days 00:00:50.049000,0 days 00:00:25.905000,SOFT,1.0,1.0,,,19.0,False,1
RUS,63,Williams,1.0,0 days 00:02:08.197000,128.197,,0 days 00:00:49.118000,0 days 00:00:30.309000,MEDIUM,1.0,1.0,,0 days 00:36:07.663000,20.0,False,1
HAM,44,Mercedes,2.0,0 days 00:01:49.236000,109.236,0 days 00:00:39.121000,0 days 00:00:44.561000,0 days 00:00:25.554000,SOFT,6.0,1.0,,,1.0,True,1
LEC,16,Ferrari,2.0,0 days 00:01:49.672000,109.672,0 days 00:00:38.748000,0 days 00:00:44.755000,0 days 00:00:26.169000,SOFT,5.0,1.0,,,2.0,True,1
VER,33,Red Bull Racing,2.0,0 days 00:01:49.550000,109.55,0 days 00:00:39.138000,0 days 00:00:44.561000,0 days 00:00:25.851000,SOFT,3.0,1.0,,,3.0,True,1
PER,11,Red Bull Racing,2.0,0 days 00:01:49.180000,109.18,0 days 00:00:38.882000,0 days 00:00:44.372000,0 days 00:00:25.926000,SOFT,5.0,1.0,,,4.0,True,1
GAS,10,AlphaTauri,2.0,0 days 00:01:49.031000,109.031,0 days 00:00:39.182000,0 days 00:00:44.378000,0 days 00:00:25.471000,SOFT,7.0,1.0,,,5.0,True,1
SAI,55,Ferrari,2.0,0 days 00:01:49.542000,109.542,0 days 00:00:39.436000,0 days 00:00:44.427000,0 days 00:00:25.679000,SOFT,5.0,1.0,,,6.0,True,1
ALO,14,Alpine,2.0,0 days 00:01:50.062000,110.062,0 days 00:00:39.490000,0 days 00:00:44.679000,0 days 00:00:25.893000,SOFT,5.0,1.0,,,7.0,True,1
TSU,22,AlphaTauri,2.0,0 days 00:01:50.071000,110.071,0 days 00:00:39.920000,0 days 00:00:44.656000,0 days 00:00:25.495000,SOFT,8.0,1.0,,,8.0,True,1
VET,5,Aston Martin,2.0,0 days 00:01:50.157000,110.157,0 days 00:00:39.773000,0 days 00:00:44.966000,0 days 00:00:25.418000,SOFT,2.0,1.0,,,9.0,True,1
BOT,77,Mercedes,2.0,0 days 00:01:50.418000,110.418,0 days 00:00:39.433000,0 days 00:00:45.237000,0 days 00:00:25.748000,SOFT,6.0,1.0,,,10.0,True,1
OCO,31,Alpine,2.0,0 days 00:01:50.850000,110.85,0 days 00:00:39.769000,0 days 00:00:45.238000,0 days 00:00:25.843000,SOFT,2.0,1.0,,,11.0,True,1
NOR,4,McLaren,2.0,0 days 00:01:51.296000,111.296,0 days 00:00:40.498000,0 days 00:00:45.139000,0 days 00:00:25.659000,SOFT,5.0,1.0,,,12.0,True,1
RIC,3,McLaren,2.0,0 days 00:01:50.972000,110.972,0 days 00:00:40.320000,0 days 00:00:45.565000,0 days 00:00:25.087000,SOFT,2.0,1.0,,,13.0,True,1
RAI,7,Alfa Romeo Racing,2.0,0 days 00:01:51.655000,111.655,0 days 00:00:40.097000,0 days 00:00:45.826000,0 days 00:00:25.732000,MEDIUM,2.0,1.0,,,14.0,True,1
STR,18,Aston Martin,2.0,0 days 00:01:51.395000,111.395,0 days 00:00:39.939000,0 days 00:00:45.666000,0 days 00:00:25.790000,HARD,2.0,1.0,,,15.0,True,1
LAT,6,Williams,2.0,0 days 00:01:52.208000,112.208,0 days 00:00:40.610000,0 days 00:00:46.054000,0 days 00:00:25.544000,MEDIUM,2.0,1.0,,,16.0,True,1
MSC,47,Haas F1 Team,2.0,0 days 00:01:52.393000,112.393,0 days 00:00:40.462000,0 days 00:00:45.992000,0 days 00:00:25.939000,SOFT,2.0,1.0,,,17.0,True,1
GIO,99,Alfa Romeo Racing,2.0,0 days 00:01:55.997000,115.997,0 days 00:00:39.797000,0 days 00:00:46.145000,0 days 00:00:30.055000,SOFT,2.0,1.0,,0 days 00:37:56.858000,18.0,False,1
MAZ,9,Haas F1 Team,2.0,0 days 00:01:53.144000,113.144,0 days 00:00:40.773000,0 days 00:00:46.234000,0 days 00:00:26.137000,SOFT,2.0,1.0,,,19.0,True,1
RUS,63,Williams,2.0,0 days 00:02:07.330000,127.33,0 days 00:00:55.754000,0 days 00:00:45.524000,0 days 00:00:26.052000,HARD,1.0,2.0,0 days 00:36:26.660000,,20.0,False,1
