stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,PER,Red Bull Racing,SOFT,4.0,51.0,51.0,1,104.703,104.703,104.703
2,VET,Aston Martin,SOFT,4.0,51.0,51.0,1,105.138,105.138,105.138
3,TSU,AlphaTauri,SOFT,4.0,51.0,51.0,1,105.401,105.401,105.401
4,VER,Red Bull Racing,HARD,2.0,14.0,45.0,27,105.564,105.55,104.481
5,GAS,AlphaTauri,SOFT,4.0,51.0,51.0,1,105.588,105.588,105.588
6,ALO,Alpine,SOFT,5.0,51.0,51.0,1,105.715,105.715,105.715
7,PER,Red Bull Racing,HARD,2.0,15.0,46.0,27,105.795,105.81,104.687
8,HAM,Mercedes,HARD,2.0,13.0,46.0,29,105.955,105.91,104.769
9,SAI,Ferrari,SOFT,4.0,51.0,51.0,1,106.175,106.175,106.175
10,VET,Aston Martin,HARD,2.0,20.0,46.0,22,106.295,106.321,104.89
11,RAI,Alfa Romeo Racing,SOFT,4.0,51.0,51.0,1,106.426,106.426,106.426
12,RIC,McLaren,SOFT,4.0,51.0,51.0,1,106.618,106.618,106.618
13,GIO,Alfa Romeo Racing,SOFT,5.0,51.0,51.0,1,106.651,106.651,106.651
14,NOR,McLaren,SOFT,4.0,51.0,51.0,1,106.663,106.663,106.663
15,LEC,Ferrari,SOFT,4.0,51.0,51.0,1,106.692,106.692,106.692
16,LEC,Ferrari,HARD,2.0,11.0,46.0,30,106.733,106.578,105.382
17,GAS,AlphaTauri,HARD,2.0,13.0,46.0,29,106.75,106.751,105.22
18,BOT,Mercedes,SOFT,4.0,51.0,51.0,1,106.762,106.762,106.762
19,TSU,AlphaTauri,HARD,2.0,11.0,46.0,31,106.82,106.684,104.939
20,NOR,McLaren,HARD,2.0,9.0,46.0,33,106.987,106.758,105.326
21,RIC,McLaren,HARD,2.0,13.0,46.0,29,107.107,106.779,105.713
22,BOT,Mercedes,HARD,2.0,13.0,46.0,29,107.264,106.626,105.665
23,STR,Aston Martin,HARD,1.0,3.0,29.0,27,107.393,106.882,106.207
24,ALO,Alpine,SOFT,3.0,36.0,46.0,11,107.401,106.649,105.624
25,SAI,Ferrari,HARD,2.0,12.0,46.0,30,107.449,107.122,105.7
26,GIO,Alfa Romeo Racing,HARD,3.0,36.0,46.0,11,107.527,106.36,105.575
27,PER,Red Bull Racing,SOFT,1.0,2.0,12.0,11,107.568,107.415,106.8
28,VER,Red Bull Racing,SOFT,1.0,2.0,11.0,10,107.618,107.311,107.107
29,HAM,Mercedes,SOFT,1.0,2.0,10.0,9,107.642,107.441,107.056
30,VET,Aston Martin,SOFT,1.0,2.0,17.0,16,107.92,107.923,106.582
31,GAS,AlphaTauri,SOFT,1.0,2.0,10.0,9,107.927,107.705,107.098
32,RUS,Williams,HARD,3.0,36.0,46.0,11,107.989,106.781,105.959
33,RAI,Alfa Romeo Racing,HARD,2.0,15.0,46.0,27,108.015,107.457,105.601
34,SAI,Ferrari,SOFT,1.0,2.0,9.0,8,108.28,107.989,107.295
35,MSC,Haas F1 Team,SOFT,3.0,36.0,43.0,8,108.367,108.362,107.624
36,ALO,Alpine,HARD,2.0,9.0,30.0,22,108.493,108.116,107.202
37,GIO,Alfa Romeo Racing,HARD,2.0,4.0,30.0,27,108.587,108.093,107.317
38,MAZ,Haas F1 Team,SOFT,3.0,36.0,43.0,8,108.678,108.212,107.747
39,BOT,Mercedes,SOFT,1.0,2.0,10.0,9,108.806,108.418,108.134
40,TSU,AlphaTauri,SOFT,1.0,2.0,8.0,7,108.813,108.695,108.142
41,LEC,Ferrari,SOFT,1.0,1.0,8.0,8,108.842,108.666,107.26
42,LAT,Williams,HARD,2.0,11.0,46.0,31,108.956,107.868,106.608
43,RIC,McLaren,SOFT,1.0,2.0,10.0,9,108.976,108.635,108.211
44,RUS,Williams,HARD,2.0,3.0,30.0,28,109.023,108.774,107.048
45,NOR,McLaren,SOFT,1.0,2.0,6.0,5,109.294,109.001,107.49
46,MSC,Haas F1 Team,HARD,2.0,10.0,32.0,21,109.305,108.363,107.834
47,MAZ,Haas F1 Team,HARD,2.0,11.0,29.0,19,110.087,109.043,108.358
48,ALO,Alpine,SOFT,1.0,1.0,6.0,6,110.329,108.846,108.448
49,RAI,Alfa Romeo Racing,MEDIUM,1.0,1.0,12.0,12,110.588,109.274,108.499
50,MAZ,Haas F1 Team,SOFT,1.0,2.0,8.0,7,110.875,110.664,109.871
51,HAM,Mercedes,SOFT,4.0,51.0,51.0,1,111.085,111.085,111.085
52,LAT,Williams,MEDIUM,1.0,1.0,8.0,8,111.908,109.709,109.254
53,LAT,Williams,SOFT,3.0,50.0,51.0,2,112.122,112.122,107.331
54,MAZ,Haas F1 Team,SOFT,7.0,50.0,51.0,2,112.546,112.546,108.123
55,MSC,Haas F1 Team,SOFT,1.0,1.0,7.0,7,112.682,110.49,109.707
56,MSC,Haas F1 Team,SOFT,4.0,46.0,46.0,1,112.849,112.849,112.849
57,MSC,Haas F1 Team,SOFT,6.0,50.0,51.0,2,112.855,112.855,107.769
58,OCO,Alpine,SOFT,1.0,1.0,2.0,2,115.45,115.45,110.85
59,GIO,Alfa Romeo Racing,SOFT,1.0,1.0,1.0,1,122.391,122.391,122.391
