Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
LEC,16,Ferrari,1.0,0 days 00:02:02.700000,122.7,,0 days 00:00:38.579000,0 days 00:00:51.561000,MEDIUM,1.0,1.0,,,1.0,False,124
HAM,44,Mercedes,1.0,0 days 00:02:05.599000,125.599,,0 days 00:00:40.610000,0 days 00:00:52.926000,MEDIUM,2.0,1.0,,,2.0,False,124
BOT,77,Mercedes,1.0,0 days 00:02:06.173000,126.173,,0 days 00:00:40.519000,0 days 00:00:52.904000,MEDIUM,2.0,1.0,,,3.0,False,124
NOR,4,McLaren,1.0,0 days 00:02:08.698000,128.698,,0 days 00:00:41.664000,0 days 00:00:53.757000,MEDIUM,1.0,1.0,,,4.0,False,124
RIC,3,McLaren,1.0,0 days 00:02:09.397000,129.397,,0 days 00:00:42.270000,0 days 00:00:53.438000,MEDIUM,1.0,1.0,,,5.0,False,124
VET,5,Aston Martin,1.0,0 days 00:02:10.610000,130.61,,0 days 00:00:42.343000,0 days 00:00:54.028000,MEDIUM,4.0,1.0,,,6.0,False,124
ALO,14,Alpine,1.0,0 days 00:02:12.307000,132.307,,0 days 00:00:42.485000,0 days 00:00:55.210000,MEDIUM,1.0,1.0,,,7.0,False,124
SAI,55,Ferrari,1.0,0 days 00:02:13.629000,133.629,,0 days 00:00:43.635000,0 days 00:00:55.370000,MEDIUM,1.0,1.0,,,8.0,False,124
RAI,7,Alfa Romeo Racing,1.0,0 days 00:02:16.273000,136.273,,,,MEDIUM,1.0,1.0,,,9.0,False,124
OCO,31,Alpine,1.0,0 days 00:02:16.727000,136.727,,0 days 00:00:49.096000,0 days 00:00:52.644000,MEDIUM,1.0,1.0,,,10.0,False,124
STR,18,Aston Martin,1.0,0 days 00:02:17.724000,137.724,,0 days 00:00:49.966000,0 days 00:00:52.659000,MEDIUM,4.0,1.0,,,11.0,False,124
GAS,10,AlphaTauri,1.0,0 days 00:02:19.081000,139.081,,0 days 00:00:50.658000,0 days 00:00:52.905000,MEDIUM,1.0,1.0,,,12.0,False,124
GIO,99,Alfa Romeo Racing,1.0,0 days 00:02:20.441000,140.441,,0 days 00:00:51.602000,0 days 00:00:53.207000,MEDIUM,1.0,1.0,,,13.0,False,124
RUS,63,Williams,1.0,0 days 00:02:22.688000,142.688,,0 days 00:00:53.195000,0 days 00:00:53.658000,MEDIUM,1.0,1.0,,,14.0,False,124
TSU,22,AlphaTauri,1.0,0 days 00:02:24.225000,144.225,,0 days 00:00:54.318000,0 days 00:00:53.720000,MEDIUM,1.0,1.0,,,15.0,False,124
MSC,47,Haas F1 Team,1.0,0 days 00:02:25.570000,145.57,,0 days 00:00:54.869000,0 days 00:00:54.169000,MEDIUM,4.0,1.0,,,16.0,False,124
LAT,6,Williams,1.0,0 days 00:02:26.229000,146.229,,0 days 00:00:55.219000,0 days 00:00:54.207000,MEDIUM,1.0,1.0,,,17.0,False,124
MAZ,9,Haas F1 Team,1.0,0 days 00:02:28.985000,148.985,,0 days 00:00:55.987000,0 days 00:00:55.906000,MEDIUM,4.0,1.0,,,18.0,False,124
PER,11,Red Bull Racing,1.0,0 days 00:02:29.563000,149.563,,0 days 00:00:56.024000,0 days 00:00:54.861000,HARD,1.0,1.0,0 days 01:02:33.068000,,19.0,False,124
ALO,14,Alpine,4.0,0 days 00:02:24.593000,144.593,0 days 00:01:18.985000,0 days 00:00:39.455000,0 days 00:00:26.153000,MEDIUM,3.0,2.0,,,6.0,True,12
SAI,55,Ferrari,4.0,0 days 00:02:22.426000,142.426,0 days 00:01:16.678000,0 days 00:00:39.524000,0 days 00:00:26.224000,MEDIUM,2.0,2.0,,,7.0,True,12
STR,18,Aston Martin,4.0,0 days 00:02:12.540000,132.54,0 days 00:01:06.089000,0 days 00:00:40.043000,0 days 00:00:26.408000,MEDIUM,4.0,2.0,,,8.0,True,12
RAI,7,Alfa Romeo Racing,4.0,0 days 00:02:19.184000,139.184,0 days 00:01:12.062000,0 days 00:00:40.307000,0 days 00:00:26.815000,MEDIUM,2.0,2.0,,,9.0,True,12
OCO,31,Alpine,4.0,0 days 00:02:16.604000,136.604,0 days 00:01:09.656000,0 days 00:00:40.653000,0 days 00:00:26.295000,MEDIUM,2.0,2.0,,,10.0,True,12
GIO,99,Alfa Romeo Racing,4.0,0 days 00:02:05.661000,125.661,0 days 00:00:58.329000,0 days 00:00:40.507000,0 days 00:00:26.825000,MEDIUM,2.0,2.0,,,11.0,True,12
