Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
OCO,Alpine,1,3.0,WET,INTERMEDIATE
VET,Aston Martin,3,4.0,INTERMEDIATE,INTERMEDIATE
MSC,Haas F1 Team,5,6.0,WET,INTERMEDIATE
MAZ,Haas F1 Team,12,13.0,WET,INTERMEDIATE
GAS,AlphaTauri,14,15.0,WET,INTERMEDIATE
VET,Aston Martin,20,21.0,INTERMEDIATE,MEDIUM
MSC,Haas F1 Team,21,22.0,INTERMEDIATE,SOFT
VET,Aston Martin,22,23.0,MEDIUM,MEDIUM
MAZ,Haas F1 Team,23,24.0,INTERMEDIATE,SOFT
TSU,AlphaTauri,25,26.0,INTERMEDIATE,MEDIUM
GAS,AlphaTauri,26,27.0,INTERMEDIATE,MEDIUM
RAI,Alfa Romeo Racing,26,27.0,INTERMEDIATE,MEDIUM
RUS,Williams,26,27.0,INTERMEDIATE,MEDIUM
GIO,Alfa Romeo Racing,27,28.0,INTERMEDIATE,MEDIUM
OCO,Alpine,27,28.0,INTERMEDIATE,MEDIUM
RIC,McLaren,27,28.0,INTERMEDIATE,MEDIUM
SAI,Ferrari,27,28.0,INTERMEDIATE,MEDIUM
STR,Aston Martin,27,28.0,INTERMEDIATE,MEDIUM
VER,Red Bull Racing,27,28.0,INTERMEDIATE,MEDIUM
ALO,Alpine,28,29.0,INTERMEDIATE,MEDIUM
BOT,Mercedes,28,29.0,INTERMEDIATE,MEDIUM
HAM,Mercedes,28,29.0,INTERMEDIATE,MEDIUM
LEC,Ferrari,28,29.0,INTERMEDIATE,MEDIUM
NOR,McLaren,28,29.0,INTERMEDIATE,MEDIUM
PER,Red Bull Racing,28,29.0,INTERMEDIATE,MEDIUM
MAZ,Haas F1 Team,31,33.0,SOFT,MEDIUM
MSC,Haas F1 Team,31,33.0,SOFT,MEDIUM
OCO,Alpine,31,32.0,MEDIUM,SOFT
ALO,Alpine,32,35.0,MEDIUM,MEDIUM
GAS,AlphaTauri,32,35.0,MEDIUM,MEDIUM
GIO,Alfa Romeo Racing,32,35.0,MEDIUM,MEDIUM
OCO,Alpine,32,35.0,SOFT,MEDIUM
RAI,Alfa Romeo Racing,32,35.0,MEDIUM,MEDIUM
STR,Aston Martin,32,35.0,MEDIUM,MEDIUM
TSU,AlphaTauri,32,35.0,MEDIUM,SOFT
VET,Aston Martin,32,35.0,MEDIUM,SOFT
LEC,Ferrari,33,35.0,MEDIUM,MEDIUM
NOR,McLaren,33,35.0,MEDIUM,SOFT
PER,Red Bull Racing,33,35.0,MEDIUM,SOFT
RIC,McLaren,33,35.0,MEDIUM,SOFT
SAI,Ferrari,33,35.0,MEDIUM,MEDIUM
VER,Red Bull Racing,33,35.0,MEDIUM,MEDIUM
GIO,Alfa Romeo Racing,40,41.0,MEDIUM,MEDIUM
VET,Aston Martin,61,,SOFT,
