pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,33,46,97.909,97.682,96.404,0.972,0.0
2,PER,Red Bull Racing,11,48,98.442,98.196,96.693,1.055,0.533
3,HAM,Mercedes,44,48,98.412,98.42,97.41,0.657,0.503
4,BOT,Mercedes,77,48,98.601,98.671,96.96,0.765,0.692
5,NOR,McLaren,4,48,99.366,99.032,97.425,1.174,1.457
6,RIC,McLaren,3,48,99.668,99.385,98.324,0.838,1.759
7,ALO,Alpine,14,48,99.651,99.478,97.646,1.179,1.742
8,GAS,AlphaTauri,10,48,99.704,99.738,98.103,1.022,1.795
9,RUS,Williams,63,47,100.191,99.961,98.314,0.949,2.282
10,TSU,AlphaTauri,22,46,100.176,99.965,98.98,0.706,2.267
11,SAI,Ferrari,55,48,100.185,100.044,98.931,0.75,2.276
12,VET,Aston Martin,5,48,99.67,100.138,97.138,1.258,1.761
13,LEC,Ferrari,16,45,100.089,100.147,97.681,1.091,2.18
14,STR,Aston Martin,18,48,99.891,100.392,97.828,1.161,1.982
15,LAT,Williams,6,47,100.497,100.615,98.313,1.152,2.588
16,MSC,Haas F1 Team,47,47,100.855,100.625,98.847,1.189,2.946
17,GIO,Alfa Romeo Racing,99,47,100.416,100.772,98.702,1.075,2.507
18,OCO,Alpine,31,47,100.315,100.793,98.645,1.11,2.406
19,RAI,Alfa Romeo Racing,7,47,100.504,101.053,97.992,1.276,2.595
20,MAZ,Haas F1 Team,9,47,101.28,101.579,99.317,1.118,3.371
