Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
BOT,Mercedes,1,2,MEDIUM,HARD
RIC,McLaren,1,2,MEDIUM,HARD
LAT,Williams,11,12,MEDIUM,HARD
STR,Aston Martin,12,13,MEDIUM,HARD
MAZ,Haas F1 Team,13,14,MEDIUM,HARD
OCO,Alpine,14,15,SOFT,HARD
RUS,Williams,15,16,MEDIUM,HARD
GIO,Alfa Romeo Racing,16,17,MEDIUM,HARD
HAM,Mercedes,29,30,MEDIUM,HARD
LEC,Ferrari,30,31,MEDIUM,HARD
GAS,AlphaTauri,31,32,MEDIUM,HARD
RAI,Alfa Romeo Racing,32,33,MEDIUM,HARD
VER,Red Bull Racing,33,34,MEDIUM,HARD
VET,Aston Martin,33,34,MEDIUM,HARD
STR,Aston Martin,34,35,HARD,MEDIUM
RIC,McLaren,38,39,HARD,MEDIUM
ALO,Alpine,39,40,MEDIUM,HARD
BOT,Mercedes,40,41,HARD,MEDIUM
PER,Red Bull Racing,40,41,MEDIUM,HARD
SAI,Ferrari,42,43,MEDIUM,HARD
NOR,McLaren,44,45,MEDIUM,HARD
LAT,Williams,49,50,HARD,MEDIUM
MAZ,Haas F1 Team,58,59,HARD,MEDIUM
BOT,Mercedes,63,64,MEDIUM,SOFT
BOT,Mercedes,67,68,SOFT,SOFT
