pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,33,72,75.692,75.569,74.649,0.684,0.0
2,SAI,Ferrari,55,72,75.748,75.616,74.621,0.704,0.056
3,PER,Red Bull Racing,11,72,75.811,75.703,74.552,0.89,0.119
4,NOR,McLaren,4,72,75.883,75.746,74.67,0.693,0.191
5,VET,Aston Martin,5,72,76.269,76.068,75.316,0.635,0.577
6,GAS,AlphaTauri,10,72,76.288,76.133,75.412,0.546,0.596
7,HAM,Mercedes,44,70,76.276,76.297,72.909,0.937,0.584
8,STR,Aston Martin,18,71,76.633,76.518,74.674,0.986,0.941
9,BOT,Mercedes,77,27,76.532,76.543,75.706,0.466,0.84
10,OCO,Alpine,31,71,77.098,76.876,75.316,0.908,1.406
11,GIO,Alfa Romeo Racing,99,71,77.1,76.88,75.331,0.88,1.408
12,RAI,Alfa Romeo Racing,7,71,77.029,77.064,74.971,1.049,1.337
13,RUS,Williams,63,71,77.324,77.078,75.539,1.299,1.632
14,LAT,Williams,6,71,77.396,77.179,75.573,1.308,1.704
15,RIC,McLaren,3,71,77.029,77.227,74.578,1.171,1.337
16,ALO,Alpine,14,71,77.068,77.241,75.026,1.13,1.376
17,TSU,AlphaTauri,22,71,77.43,77.469,74.037,1.331,1.738
18,MSC,Haas F1 Team,47,69,78.664,78.294,76.425,2.046,2.972
19,MAZ,Haas F1 Team,9,69,78.913,78.904,76.866,1.691,3.221
