stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,HAM,Mercedes,SOFT,3.0,69.0,78.0,10,75.16,75.08,72.909
2,VER,Red Bull Racing,HARD,2.0,36.0,78.0,43,75.31,75.301,74.649
3,SAI,Ferrari,HARD,2.0,34.0,78.0,45,75.33,75.288,74.621
4,PER,Red Bull Racing,HARD,2.0,37.0,78.0,42,75.362,75.288,74.743
5,NOR,McLaren,HARD,2.0,32.0,78.0,47,75.492,75.524,74.67
6,STR,Aston Martin,SOFT,2.0,60.0,77.0,18,75.949,75.76,74.674
7,ALO,Alpine,SOFT,2.0,47.0,77.0,30,75.992,75.994,75.026
8,GAS,AlphaTauri,HARD,2.0,33.0,78.0,46,76.052,76.002,75.412
9,VET,Aston Martin,HARD,2.0,33.0,78.0,46,76.06,75.972,75.316
10,TSU,AlphaTauri,SOFT,2.0,66.0,77.0,12,76.169,76.556,74.037
11,HAM,Mercedes,HARD,2.0,33.0,66.0,34,76.229,76.178,75.261
12,LAT,Williams,HARD,2.0,45.0,77.0,33,76.245,76.058,75.573
13,VER,Red Bull Racing,SOFT,1.0,5.0,33.0,29,76.259,76.244,75.167
14,RAI,Alfa Romeo Racing,HARD,2.0,45.0,77.0,31,76.347,76.304,74.971
15,RIC,McLaren,HARD,2.0,38.0,77.0,39,76.363,76.217,74.578
16,PER,Red Bull Racing,SOFT,1.0,4.0,34.0,30,76.44,76.239,74.552
17,SAI,Ferrari,SOFT,1.0,5.0,31.0,27,76.446,76.485,75.766
18,BOT,Mercedes,SOFT,1.0,3.0,29.0,27,76.532,76.543,75.706
19,RUS,Williams,HARD,2.0,33.0,77.0,44,76.538,76.306,75.539
20,NOR,McLaren,SOFT,1.0,3.0,29.0,25,76.617,76.602,75.8
21,VET,Aston Martin,SOFT,1.0,5.0,30.0,26,76.639,76.308,75.868
22,GAS,AlphaTauri,SOFT,1.0,3.0,29.0,26,76.707,76.712,75.925
23,HAM,Mercedes,SOFT,1.0,3.0,28.0,26,76.767,76.652,75.854
24,GIO,Alfa Romeo Racing,HARD,2.0,35.0,77.0,41,76.787,76.736,75.331
25,OCO,Alpine,MEDIUM,2.0,39.0,77.0,37,76.797,76.774,75.316
26,STR,Aston Martin,HARD,1.0,4.0,57.0,53,76.866,76.671,75.595
27,OCO,Alpine,SOFT,1.0,3.0,36.0,34,77.425,77.274,76.052
28,GIO,Alfa Romeo Racing,SOFT,1.0,3.0,32.0,30,77.528,77.219,76.468
29,RAI,Alfa Romeo Racing,MEDIUM,1.0,3.0,42.0,40,77.558,77.294,76.386
30,TSU,AlphaTauri,HARD,1.0,3.0,63.0,59,77.686,77.754,75.635
31,MSC,Haas F1 Team,HARD,2.0,39.0,75.0,37,77.766,77.375,76.425
32,RIC,McLaren,MEDIUM,1.0,4.0,35.0,32,77.841,77.654,76.99
33,ALO,Alpine,MEDIUM,1.0,4.0,44.0,41,77.856,77.803,76.897
34,MAZ,Haas F1 Team,HARD,2.0,36.0,75.0,39,78.302,77.499,76.866
35,LAT,Williams,MEDIUM,1.0,3.0,42.0,38,78.395,78.351,76.692
36,RUS,Williams,MEDIUM,1.0,3.0,30.0,27,78.604,78.444,77.866
37,MSC,Haas F1 Team,SOFT,1.0,2.0,36.0,32,79.701,78.95,77.438
38,MAZ,Haas F1 Team,SOFT,1.0,2.0,33.0,30,79.706,79.265,78.674
