Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
BOT,77,Mercedes,1.0,0 days 00:01:24.937000,84.937,,0 days 00:00:32.560000,0 days 00:00:26.821000,MEDIUM,5.0,1.0,,,1.0,False,1
HAM,44,Mercedes,1.0,0 days 00:01:25.806000,85.806,,0 days 00:00:32.547000,0 days 00:00:26.867000,MEDIUM,5.0,1.0,,,2.0,False,1
VER,33,Red Bull Racing,1.0,0 days 00:01:26.704000,86.704,,0 days 00:00:32.720000,0 days 00:00:27.090000,MEDIUM,6.0,1.0,,,3.0,False,1
SAI,55,Ferrari,1.0,0 days 00:01:28.400000,88.4,,0 days 00:00:33.310000,0 days 00:00:27.420000,SOFT,6.0,1.0,,,4.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:29.236000,89.236,,0 days 00:00:33.975000,0 days 00:00:27.340000,MEDIUM,7.0,1.0,,,5.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:29.671000,89.671,,0 days 00:00:34.174000,0 days 00:00:27.336000,SOFT,5.0,1.0,,,6.0,False,1
OCO,31,Alpine,1.0,0 days 00:01:30.419000,90.419,,0 days 00:00:34.052000,0 days 00:00:28.071000,SOFT,4.0,1.0,,,7.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:30.736000,90.736,,0 days 00:00:34.126000,0 days 00:00:27.653000,MEDIUM,6.0,1.0,,,8.0,False,1
GAS,10,AlphaTauri,1.0,0 days 00:01:31.557000,91.557,,0 days 00:00:34.309000,0 days 00:00:27.869000,SOFT,5.0,1.0,,,9.0,False,1
VET,5,Aston Martin,1.0,0 days 00:01:31.907000,91.907,,0 days 00:00:34.508000,0 days 00:00:27.866000,SOFT,4.0,1.0,,,10.0,False,1
RUS,63,Williams,1.0,0 days 00:01:32.993000,92.993,,0 days 00:00:35.151000,0 days 00:00:28.040000,MEDIUM,1.0,1.0,,,11.0,False,1
GIO,99,Alfa Romeo Racing,1.0,0 days 00:01:33.594000,93.594,,0 days 00:00:34.644000,0 days 00:00:28.371000,MEDIUM,1.0,1.0,,,12.0,False,1
