Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,33,Red Bull Racing,1.0,0 days 00:01:18.399000,78.399,,0 days 00:00:38.016000,0 days 00:00:17.233000,MEDIUM,1.0,1.0,,,1.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:19.651000,79.651,,0 days 00:00:38.763000,0 days 00:00:17.229000,MEDIUM,1.0,1.0,,,2.0,False,1
BOT,77,Mercedes,1.0,0 days 00:01:20.541000,80.541,,0 days 00:00:39.804000,0 days 00:00:17.134000,MEDIUM,1.0,1.0,,,3.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:21.519000,81.519,,0 days 00:00:40.053000,0 days 00:00:17.165000,MEDIUM,1.0,1.0,,,4.0,False,1
SAI,55,Ferrari,1.0,0 days 00:01:22.506000,82.506,,0 days 00:00:40.982000,0 days 00:00:17.267000,MEDIUM,1.0,1.0,,,5.0,False,1
HAM,44,Mercedes,1.0,0 days 00:01:23.099000,83.099,,0 days 00:00:40.850000,0 days 00:00:16.994000,MEDIUM,1.0,1.0,,,6.0,False,1
VET,5,Aston Martin,1.0,0 days 00:01:23.106000,83.106,,0 days 00:00:40.845000,0 days 00:00:17.381000,MEDIUM,3.0,1.0,,,7.0,False,1
GAS,10,AlphaTauri,1.0,0 days 00:01:24.052000,84.052,,0 days 00:00:42.215000,0 days 00:00:17.351000,MEDIUM,1.0,1.0,,,8.0,False,1
RIC,3,McLaren,1.0,0 days 00:01:24.595000,84.595,,0 days 00:00:41.526000,0 days 00:00:17.571000,MEDIUM,1.0,1.0,,,9.0,False,1
OCO,31,Alpine,1.0,0 days 00:01:24.757000,84.757,,0 days 00:00:41.759000,0 days 00:00:17.570000,MEDIUM,1.0,1.0,,,10.0,False,1
ALO,14,Alpine,1.0,0 days 00:01:24.928000,84.928,,0 days 00:00:41.687000,0 days 00:00:17.527000,MEDIUM,1.0,1.0,,,11.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:25.162000,85.162,,0 days 00:00:41.648000,0 days 00:00:17.306000,MEDIUM,3.0,1.0,,,12.0,False,1
GIO,99,Alfa Romeo Racing,1.0,0 days 00:01:25.903000,85.903,,0 days 00:00:42.240000,0 days 00:00:17.549000,MEDIUM,1.0,1.0,,,13.0,False,1
TSU,22,AlphaTauri,1.0,0 days 00:01:26.465000,86.465,,0 days 00:00:42.581000,0 days 00:00:17.586000,SOFT,1.0,1.0,,,14.0,False,1
MSC,47,Haas F1 Team,1.0,0 days 00:01:26.538000,86.538,,0 days 00:00:42.354000,0 days 00:00:17.842000,MEDIUM,1.0,1.0,,,15.0,False,1
MAZ,9,Haas F1 Team,1.0,0 days 00:01:27.015000,87.015,,0 days 00:00:42.507000,0 days 00:00:17.505000,MEDIUM,1.0,1.0,,,16.0,False,1
RUS,63,Williams,1.0,0 days 00:01:27.260000,87.26,,0 days 00:00:42.879000,0 days 00:00:17.480000,MEDIUM,1.0,1.0,,,17.0,False,1
LAT,6,Williams,1.0,0 days 00:01:28.273000,88.273,,0 days 00:00:43.825000,0 days 00:00:17.616000,MEDIUM,1.0,1.0,,,18.0,False,1
RAI,7,Alfa Romeo Racing,1.0,0 days 00:01:33.654000,93.654,,0 days 00:00:38.556000,0 days 00:00:17.275000,MEDIUM,1.0,1.0,0 days 01:02:13.214000,,19.0,False,1
NOR,4,McLaren,1.0,0 days 00:02:01.858000,121.858,,0 days 00:00:55.461000,0 days 00:00:28.951000,MEDIUM,1.0,1.0,,0 days 01:03:50.923000,20.0,False,1
