Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
NOR,McLaren,1,2.0,MEDIUM,HARD
TSU,AlphaTauri,4,5.0,SOFT,HARD
NOR,McLaren,6,7.0,HARD,HARD
RUS,Williams,6,7.0,MEDIUM,HARD
TSU,AlphaTauri,6,7.0,HARD,HARD
ALO,Alpine,7,8.0,MEDIUM,MEDIUM
BOT,Mercedes,7,8.0,MEDIUM,MEDIUM
GAS,AlphaTauri,7,8.0,MEDIUM,MEDIUM
GIO,Alfa Romeo Racing,7,8.0,MEDIUM,MEDIUM
HAM,Mercedes,7,8.0,MEDIUM,MEDIUM
LAT,Williams,7,8.0,MEDIUM,MEDIUM
LEC,Ferrari,7,8.0,MEDIUM,MEDIUM
MAZ,Haas F1 Team,7,8.0,MEDIUM,MEDIUM
MSC,Haas F1 Team,7,8.0,MEDIUM,MEDIUM
NOR,McLaren,7,8.0,HARD,HARD
OCO,Alpine,7,8.0,MEDIUM,MEDIUM
PER,Red Bull Racing,7,8.0,MEDIUM,MEDIUM
RAI,Alfa Romeo Racing,7,8.0,MEDIUM,MEDIUM
RIC,McLaren,7,8.0,MEDIUM,MEDIUM
RUS,Williams,7,8.0,HARD,HARD
SAI,Ferrari,7,8.0,MEDIUM,MEDIUM
STR,Aston Martin,7,8.0,MEDIUM,MEDIUM
TSU,AlphaTauri,7,8.0,HARD,HARD
VER,Red Bull Racing,7,8.0,MEDIUM,MEDIUM
VET,Aston Martin,7,8.0,MEDIUM,MEDIUM
ALO,Alpine,8,9.0,MEDIUM,MEDIUM
BOT,Mercedes,8,9.0,MEDIUM,MEDIUM
GAS,AlphaTauri,8,9.0,MEDIUM,MEDIUM
GIO,Alfa Romeo Racing,8,9.0,MEDIUM,MEDIUM
HAM,Mercedes,8,9.0,MEDIUM,MEDIUM
LAT,Williams,8,9.0,MEDIUM,MEDIUM
LEC,Ferrari,8,9.0,MEDIUM,MEDIUM
MAZ,Haas F1 Team,8,9.0,MEDIUM,MEDIUM
MSC,Haas F1 Team,8,9.0,MEDIUM,MEDIUM
NOR,McLaren,8,9.0,HARD,HARD
OCO,Alpine,8,9.0,MEDIUM,MEDIUM
PER,Red Bull Racing,8,9.0,MEDIUM,MEDIUM
RAI,Alfa Romeo Racing,8,9.0,MEDIUM,MEDIUM
RIC,McLaren,8,9.0,MEDIUM,MEDIUM
RUS,Williams,8,9.0,HARD,HARD
SAI,Ferrari,8,9.0,MEDIUM,MEDIUM
STR,Aston Martin,8,9.0,MEDIUM,MEDIUM
TSU,AlphaTauri,8,9.0,HARD,HARD
VER,Red Bull Racing,8,9.0,MEDIUM,MEDIUM
VET,Aston Martin,8,9.0,MEDIUM,MEDIUM
MSC,Haas F1 Team,11,12.0,MEDIUM,HARD
LAT,Williams,13,14.0,MEDIUM,HARD
STR,Aston Martin,22,23.0,MEDIUM,HARD
GAS,AlphaTauri,25,26.0,MEDIUM,HARD
HAM,Mercedes,26,27.0,MEDIUM,HARD
SAI,Ferrari,26,27.0,MEDIUM,MEDIUM
LEC,Ferrari,27,28.0,MEDIUM,MEDIUM
VER,Red Bull Racing,27,28.0,MEDIUM,HARD
PER,Red Bull Racing,28,29.0,MEDIUM,HARD
RAI,Alfa Romeo Racing,28,29.0,MEDIUM,HARD
VET,Aston Martin,28,29.0,MEDIUM,HARD
GIO,Alfa Romeo Racing,29,30.0,MEDIUM,HARD
MSC,Haas F1 Team,29,30.0,HARD,MEDIUM
BOT,Mercedes,30,31.0,MEDIUM,HARD
OCO,Alpine,30,31.0,MEDIUM,HARD
RIC,McLaren,30,31.0,MEDIUM,HARD
ALO,Alpine,34,35.0,MEDIUM,HARD
MAZ,Haas F1 Team,34,35.0,MEDIUM,HARD
NOR,McLaren,37,38.0,HARD,HARD
LAT,Williams,39,40.0,HARD,HARD
TSU,AlphaTauri,39,40.0,HARD,HARD
VER,Red Bull Racing,40,41.0,HARD,HARD
BOT,Mercedes,41,42.0,HARD,HARD
RUS,Williams,41,42.0,HARD,HARD
GIO,Alfa Romeo Racing,42,43.0,HARD,MEDIUM
PER,Red Bull Racing,42,43.0,HARD,HARD
HAM,Mercedes,43,44.0,HARD,HARD
STR,Aston Martin,47,,HARD,
RIC,McLaren,49,,HARD,
GAS,AlphaTauri,51,52.0,HARD,HARD
LEC,Ferrari,52,53.0,MEDIUM,HARD
RAI,Alfa Romeo Racing,52,53.0,HARD,MEDIUM
SAI,Ferrari,53,54.0,MEDIUM,HARD
VET,Aston Martin,55,56.0,HARD,MEDIUM
MSC,Haas F1 Team,61,62.0,MEDIUM,MEDIUM
PER,Red Bull Racing,69,70.0,HARD,SOFT
