Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
HAM,44,Mercedes,1.0,0 days 00:01:35.234000,95.234,,0 days 00:00:29.642000,0 days 00:00:29.221000,MEDIUM,10.0,1.0,,,1.0,False,1
BOT,77,Mercedes,1.0,0 days 00:01:36.272000,96.272,,0 days 00:00:29.745000,0 days 00:00:29.411000,MEDIUM,8.0,1.0,,,2.0,False,1
VER,33,Red Bull Racing,1.0,0 days 00:01:36.916000,96.916,,0 days 00:00:29.971000,0 days 00:00:29.298000,MEDIUM,5.0,1.0,,,3.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:38.491000,98.491,,0 days 00:00:30.269000,0 days 00:00:29.491000,MEDIUM,6.0,1.0,,,4.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:39.056000,99.056,,0 days 00:00:30.085000,0 days 00:00:29.561000,MEDIUM,8.0,1.0,,,5.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:40.157000,100.157,,0 days 00:00:30.408000,0 days 00:00:29.758000,SOFT,5.0,1.0,,,6.0,False,1
OCO,31,Alpine,1.0,0 days 00:01:41.170000,101.17,,0 days 00:00:30.967000,0 days 00:00:29.812000,MEDIUM,8.0,1.0,,,7.0,False,1
GAS,10,AlphaTauri,1.0,0 days 00:01:41.926000,101.926,,0 days 00:00:31.107000,0 days 00:00:30.024000,MEDIUM,8.0,1.0,,,8.0,False,1
RIC,3,McLaren,1.0,0 days 00:01:42.224000,102.224,,0 days 00:00:31.207000,0 days 00:00:29.872000,HARD,1.0,1.0,,,9.0,False,1
GIO,99,Alfa Romeo Racing,1.0,0 days 00:01:43.867000,103.867,,0 days 00:00:31.534000,0 days 00:00:30.717000,MEDIUM,7.0,1.0,,,10.0,False,1
ALO,14,Alpine,1.0,0 days 00:01:43.891000,103.891,,0 days 00:00:31.359000,0 days 00:00:30.719000,MEDIUM,1.0,1.0,,,11.0,False,1
TSU,22,AlphaTauri,1.0,0 days 00:01:44.425000,104.425,,0 days 00:00:31.680000,0 days 00:00:30.434000,MEDIUM,8.0,1.0,,,12.0,False,1
SAI,55,Ferrari,1.0,0 days 00:01:44.856000,104.856,,0 days 00:00:31.637000,0 days 00:00:30.194000,HARD,1.0,1.0,,,13.0,False,1
RAI,7,Alfa Romeo Racing,1.0,0 days 00:01:44.906000,104.906,,0 days 00:00:31.400000,0 days 00:00:30.839000,MEDIUM,1.0,1.0,,,14.0,False,1
VET,5,Aston Martin,1.0,0 days 00:01:45.422000,105.422,,0 days 00:00:31.394000,0 days 00:00:30.480000,HARD,2.0,1.0,,,15.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:46.177000,106.177,,0 days 00:00:31.328000,0 days 00:00:30.796000,MEDIUM,1.0,1.0,,,16.0,False,1
RUS,63,Williams,1.0,0 days 00:01:46.800000,106.8,,0 days 00:00:31.681000,0 days 00:00:30.882000,MEDIUM,1.0,1.0,,,17.0,False,1
MSC,47,Haas F1 Team,1.0,0 days 00:01:47.170000,107.17,,0 days 00:00:31.888000,0 days 00:00:30.733000,MEDIUM,1.0,1.0,,,18.0,False,1
LAT,6,Williams,1.0,0 days 00:01:47.622000,107.622,,0 days 00:00:31.773000,0 days 00:00:30.793000,MEDIUM,1.0,1.0,,,19.0,False,1
MAZ,9,Haas F1 Team,1.0,0 days 00:01:48.604000,108.604,,0 days 00:00:32.235000,0 days 00:00:30.770000,MEDIUM,1.0,1.0,,,20.0,False,1
HAM,44,Mercedes,2.0,0 days 00:01:34.020000,94.02,0 days 00:00:34.811000,0 days 00:00:29.851000,0 days 00:00:29.358000,MEDIUM,11.0,1.0,,,1.0,True,1
BOT,77,Mercedes,2.0,0 days 00:01:34.048000,94.048,0 days 00:00:34.885000,0 days 00:00:29.867000,0 days 00:00:29.296000,MEDIUM,9.0,1.0,,,2.0,True,1
VER,33,Red Bull Racing,2.0,0 days 00:01:34.338000,94.338,0 days 00:00:35.067000,0 days 00:00:29.861000,0 days 00:00:29.410000,MEDIUM,6.0,1.0,,,3.0,True,1
LEC,16,Ferrari,2.0,0 days 00:01:35.006000,95.006,0 days 00:00:35.332000,0 days 00:00:30.178000,0 days 00:00:29.496000,MEDIUM,7.0,1.0,,,4.0,True,1
PER,11,Red Bull Racing,2.0,0 days 00:01:35.303000,95.303,0 days 00:00:35.786000,0 days 00:00:29.992000,0 days 00:00:29.525000,MEDIUM,9.0,1.0,,,5.0,True,1
NOR,4,McLaren,2.0,0 days 00:01:35.867000,95.867,0 days 00:00:35.966000,0 days 00:00:30.263000,0 days 00:00:29.638000,SOFT,6.0,1.0,,,6.0,True,1
OCO,31,Alpine,2.0,0 days 00:01:36.208000,96.208,0 days 00:00:35.959000,0 days 00:00:30.517000,0 days 00:00:29.732000,MEDIUM,9.0,1.0,,,7.0,True,1
GAS,10,AlphaTauri,2.0,0 days 00:01:36.492000,96.492,0 days 00:00:36.118000,0 days 00:00:30.641000,0 days 00:00:29.733000,MEDIUM,9.0,1.0,,,8.0,True,1
RIC,3,McLaren,2.0,0 days 00:01:37.187000,97.187,0 days 00:00:36.560000,0 days 00:00:30.385000,0 days 00:00:30.242000,HARD,2.0,1.0,,,9.0,True,1
ALO,14,Alpine,2.0,0 days 00:01:36.375000,96.375,0 days 00:00:36.086000,0 days 00:00:30.498000,0 days 00:00:29.791000,MEDIUM,2.0,1.0,,,10.0,True,1
GIO,99,Alfa Romeo Racing,2.0,0 days 00:01:37.348000,97.348,0 days 00:00:36.832000,0 days 00:00:30.482000,0 days 00:00:30.034000,MEDIUM,8.0,1.0,,,11.0,True,1
TSU,22,AlphaTauri,2.0,0 days 00:01:37.397000,97.397,0 days 00:00:36.854000,0 days 00:00:30.744000,0 days 00:00:29.799000,MEDIUM,9.0,1.0,,,12.0,True,1
SAI,55,Ferrari,2.0,0 days 00:01:37.854000,97.854,0 days 00:00:37.089000,0 days 00:00:30.687000,0 days 00:00:30.078000,HARD,2.0,1.0,,,13.0,True,1
RAI,7,Alfa Romeo Racing,2.0,0 days 00:01:38.815000,98.815,0 days 00:00:37.644000,0 days 00:00:31.006000,0 days 00:00:30.165000,MEDIUM,2.0,1.0,,,14.0,True,1
VET,5,Aston Martin,2.0,0 days 00:01:39.283000,99.283,0 days 00:00:37.865000,0 days 00:00:31.212000,0 days 00:00:30.206000,HARD,3.0,1.0,,,15.0,True,1
STR,18,Aston Martin,2.0,0 days 00:01:39.250000,99.25,0 days 00:00:37.655000,0 days 00:00:31.237000,0 days 00:00:30.358000,MEDIUM,2.0,1.0,,,16.0,True,1
RUS,63,Williams,2.0,0 days 00:01:39.616000,99.616,0 days 00:00:37.661000,0 days 00:00:31.441000,0 days 00:00:30.514000,MEDIUM,2.0,1.0,,,17.0,True,1
MSC,47,Haas F1 Team,2.0,0 days 00:01:40.173000,100.173,0 days 00:00:37.765000,0 days 00:00:31.455000,0 days 00:00:30.953000,MEDIUM,2.0,1.0,,,18.0,True,1
LAT,6,Williams,2.0,0 days 00:01:40.248000,100.248,0 days 00:00:37.722000,0 days 00:00:31.806000,0 days 00:00:30.720000,MEDIUM,2.0,1.0,,,19.0,True,1
MAZ,9,Haas F1 Team,2.0,0 days 00:01:40.056000,100.056,0 days 00:00:37.739000,0 days 00:00:31.557000,0 days 00:00:30.760000,MEDIUM,2.0,1.0,,,20.0,True,1
HAM,44,Mercedes,3.0,0 days 00:01:33.782000,93.782,0 days 00:00:34.647000,0 days 00:00:29.755000,0 days 00:00:29.380000,MEDIUM,12.0,1.0,,,1.0,True,1
BOT,77,Mercedes,3.0,0 days 00:01:34.138000,94.138,0 days 00:00:34.972000,0 days 00:00:29.793000,0 days 00:00:29.373000,MEDIUM,10.0,1.0,,,2.0,False,1
VER,33,Red Bull Racing,3.0,0 days 00:01:34.383000,94.383,0 days 00:00:35.349000,0 days 00:00:29.733000,0 days 00:00:29.301000,MEDIUM,7.0,1.0,,,3.0,False,1
LEC,16,Ferrari,3.0,0 days 00:01:34.497000,94.497,0 days 00:00:35.065000,0 days 00:00:30.071000,0 days 00:00:29.361000,MEDIUM,8.0,1.0,,,4.0,True,1
PER,11,Red Bull Racing,3.0,0 days 00:01:34.461000,94.461,0 days 00:00:35.269000,0 days 00:00:29.795000,0 days 00:00:29.397000,MEDIUM,10.0,1.0,,,5.0,True,1
NOR,4,McLaren,3.0,0 days 00:01:35.600000,95.6,0 days 00:00:35.690000,0 days 00:00:30.305000,0 days 00:00:29.605000,SOFT,7.0,1.0,,,6.0,True,1
OCO,31,Alpine,3.0,0 days 00:01:35.655000,95.655,0 days 00:00:35.602000,0 days 00:00:30.395000,0 days 00:00:29.658000,MEDIUM,10.0,1.0,,,7.0,True,1
GAS,10,AlphaTauri,3.0,0 days 00:01:35.872000,95.872,0 days 00:00:35.867000,0 days 00:00:30.327000,0 days 00:00:29.678000,MEDIUM,10.0,1.0,,,8.0,True,1
RIC,3,McLaren,3.0,0 days 00:01:35.879000,95.879,0 days 00:00:35.897000,0 days 00:00:30.157000,0 days 00:00:29.825000,HARD,3.0,1.0,,,9.0,True,1
ALO,14,Alpine,3.0,0 days 00:01:36.275000,96.275,0 days 00:00:36.009000,0 days 00:00:30.492000,0 days 00:00:29.774000,MEDIUM,3.0,1.0,,,10.0,True,1
GIO,99,Alfa Romeo Racing,3.0,0 days 00:01:35.939000,95.939,0 days 00:00:36.016000,0 days 00:00:30.211000,0 days 00:00:29.712000,MEDIUM,9.0,1.0,,,11.0,True,1
TSU,22,AlphaTauri,3.0,0 days 00:01:36.504000,96.504,0 days 00:00:36.380000,0 days 00:00:30.458000,0 days 00:00:29.666000,MEDIUM,10.0,1.0,,,12.0,True,1
SAI,55,Ferrari,3.0,0 days 00:01:36.003000,96.003,0 days 00:00:36.254000,0 days 00:00:30.187000,0 days 00:00:29.562000,HARD,3.0,1.0,,,13.0,True,1
RAI,7,Alfa Romeo Racing,3.0,0 days 00:01:36.194000,96.194,0 days 00:00:36.247000,0 days 00:00:30.299000,0 days 00:00:29.648000,MEDIUM,3.0,1.0,,,14.0,True,1
VET,5,Aston Martin,3.0,0 days 00:01:36.568000,96.568,0 days 00:00:36.298000,0 days 00:00:30.563000,0 days 00:00:29.707000,HARD,4.0,1.0,,,15.0,True,1
RUS,63,Williams,3.0,0 days 00:01:37.844000,97.844,0 days 00:00:36.431000,0 days 00:00:30.505000,0 days 00:00:30.908000,MEDIUM,3.0,1.0,,,16.0,True,1
STR,18,Aston Martin,3.0,0 days 00:01:39.266000,99.266,0 days 00:00:36.270000,0 days 00:00:30.527000,0 days 00:00:32.469000,MEDIUM,3.0,1.0,,,17.0,False,1
MSC,47,Haas F1 Team,3.0,0 days 00:01:37.879000,97.879,0 days 00:00:36.592000,0 days 00:00:30.844000,0 days 00:00:30.443000,MEDIUM,3.0,1.0,,,18.0,True,1
LAT,6,Williams,3.0,0 days 00:01:37.640000,97.64,0 days 00:00:37.191000,0 days 00:00:30.451000,0 days 00:00:29.998000,MEDIUM,3.0,1.0,,,19.0,True,1
MAZ,9,Haas F1 Team,3.0,0 days 00:01:38.699000,98.699,0 days 00:00:37.570000,0 days 00:00:31.017000,0 days 00:00:30.112000,MEDIUM,3.0,1.0,,,20.0,True,1
HAM,44,Mercedes,4.0,0 days 00:01:33.792000,93.792,0 days 00:00:34.661000,0 days 00:00:29.805000,0 days 00:00:29.326000,MEDIUM,13.0,1.0,,,1.0,False,1
BOT,77,Mercedes,4.0,0 days 00:01:33.585000,93.585,0 days 00:00:34.739000,0 days 00:00:29.566000,0 days 00:00:29.280000,MEDIUM,11.0,1.0,,,2.0,True,1
VER,33,Red Bull Racing,4.0,0 days 00:01:33.654000,93.654,0 days 00:00:34.738000,0 days 00:00:29.674000,0 days 00:00:29.242000,MEDIUM,8.0,1.0,,,3.0,True,1
LEC,16,Ferrari,4.0,0 days 00:01:34.414000,94.414,0 days 00:00:34.990000,0 days 00:00:29.991000,0 days 00:00:29.433000,MEDIUM,9.0,1.0,,,4.0,True,1
PER,11,Red Bull Racing,4.0,0 days 00:01:34.474000,94.474,0 days 00:00:35.174000,0 days 00:00:29.970000,0 days 00:00:29.330000,MEDIUM,11.0,1.0,,,5.0,False,1
NOR,4,McLaren,4.0,0 days 00:01:35.385000,95.385,0 days 00:00:35.476000,0 days 00:00:30.270000,0 days 00:00:29.639000,SOFT,8.0,1.0,,,6.0,True,1
OCO,31,Alpine,4.0,0 days 00:01:35.587000,95.587,0 days 00:00:35.479000,0 days 00:00:30.451000,0 days 00:00:29.657000,MEDIUM,11.0,1.0,,,7.0,True,1
GAS,10,AlphaTauri,4.0,0 days 00:01:35.490000,95.49,0 days 00:00:35.435000,0 days 00:00:30.281000,0 days 00:00:29.774000,MEDIUM,11.0,1.0,,,8.0,True,1
RIC,3,McLaren,4.0,0 days 00:01:35.324000,95.324,0 days 00:00:35.635000,0 days 00:00:30.151000,0 days 00:00:29.538000,HARD,4.0,1.0,,,9.0,True,1
