Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
GAS,AlphaTauri,1,,SOFT,
LAT,Williams,1,2.0,MEDIUM,SOFT
LEC,Ferrari,1,2.0,SOFT,HARD
MAZ,Haas F1 Team,21,22.0,MEDIUM,HARD
GIO,Alfa Romeo Racing,23,24.0,MEDIUM,HARD
LAT,Williams,25,26.0,SOFT,HARD
RUS,Williams,25,26.0,MEDIUM,HARD
PER,Red Bull Racing,26,27.0,SOFT,HARD
RUS,Williams,26,27.0,HARD,HARD
TSU,AlphaTauri,26,27.0,SOFT,HARD
ALO,Alpine,27,28.0,SOFT,HARD
BOT,Mercedes,27,28.0,MEDIUM,HARD
VET,Aston Martin,27,28.0,MEDIUM,HARD
HAM,Mercedes,28,29.0,MEDIUM,HARD
STR,Aston Martin,28,29.0,SOFT,HARD
VER,Red Bull Racing,29,30.0,MEDIUM,HARD
NOR,McLaren,31,32.0,SOFT,HARD
MSC,Haas F1 Team,33,34.0,MEDIUM,HARD
OCO,Alpine,36,37.0,MEDIUM,HARD
RAI,Alfa Romeo Racing,36,37.0,HARD,MEDIUM
RUS,Williams,36,,HARD,
LEC,Ferrari,37,38.0,HARD,MEDIUM
RIC,McLaren,41,42.0,MEDIUM,HARD
SAI,Ferrari,41,42.0,MEDIUM,HARD
PER,Red Bull Racing,54,55.0,HARD,MEDIUM
HAM,Mercedes,69,70.0,HARD,SOFT
