Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
BOT,77,Mercedes,1.0,0 days 00:01:35.354000,95.354,,0 days 00:00:33.213000,0 days 00:00:25.635000,INTERMEDIATE,1.0,1.0,,,1.0,False,12
VER,33,Red Bull Racing,1.0,0 days 00:01:36.680000,96.68,,0 days 00:00:33.453000,0 days 00:00:25.664000,INTERMEDIATE,1.0,1.0,,,2.0,False,12
LEC,16,Ferrari,1.0,0 days 00:01:38.086000,98.086,,0 days 00:00:33.741000,0 days 00:00:25.856000,INTERMEDIATE,1.0,1.0,,,3.0,False,12
PER,11,Red Bull Racing,1.0,0 days 00:01:39.250000,99.25,,0 days 00:00:33.980000,0 days 00:00:25.950000,INTERMEDIATE,1.0,1.0,,,4.0,False,12
GAS,10,AlphaTauri,1.0,0 days 00:01:40.686000,100.686,,0 days 00:00:34.448000,0 days 00:00:25.963000,INTERMEDIATE,1.0,1.0,,,5.0,False,12
NOR,4,McLaren,1.0,0 days 00:01:41.915000,101.915,,0 days 00:00:35.061000,0 days 00:00:26.188000,INTERMEDIATE,1.0,1.0,,,6.0,False,12
STR,18,Aston Martin,1.0,0 days 00:01:42.748000,102.748,,0 days 00:00:35.017000,0 days 00:00:26.465000,INTERMEDIATE,1.0,1.0,,,7.0,False,12
TSU,22,AlphaTauri,1.0,0 days 00:01:43.576000,103.576,,0 days 00:00:35.094000,0 days 00:00:26.863000,INTERMEDIATE,1.0,1.0,,,8.0,False,12
HAM,44,Mercedes,1.0,0 days 00:01:44.097000,104.097,,0 days 00:00:35.379000,0 days 00:00:26.410000,INTERMEDIATE,1.0,1.0,,,9.0,False,12
VET,5,Aston Martin,1.0,0 days 00:01:44.475000,104.475,,0 days 00:00:35.507000,0 days 00:00:26.996000,INTERMEDIATE,1.0,1.0,,,10.0,False,12
OCO,31,Alpine,1.0,0 days 00:01:45.348000,105.348,,0 days 00:00:35.386000,0 days 00:00:27.026000,INTERMEDIATE,1.0,1.0,,,11.0,False,12
GIO,99,Alfa Romeo Racing,1.0,0 days 00:01:46.204000,106.204,,0 days 00:00:35.958000,0 days 00:00:26.898000,INTERMEDIATE,1.0,1.0,,,12.0,False,12
RAI,7,Alfa Romeo Racing,1.0,0 days 00:01:46.760000,106.76,,0 days 00:00:35.989000,0 days 00:00:26.549000,INTERMEDIATE,1.0,1.0,,,13.0,False,12
RUS,63,Williams,1.0,0 days 00:01:47.669000,107.669,,0 days 00:00:36.497000,0 days 00:00:26.801000,INTERMEDIATE,1.0,1.0,,,14.0,False,12
MSC,47,Haas F1 Team,1.0,0 days 00:01:48.030000,108.03,,0 days 00:00:36.822000,0 days 00:00:27.339000,INTERMEDIATE,1.0,1.0,,,15.0,False,12
ALO,14,Alpine,1.0,0 days 00:01:48.675000,108.675,,0 days 00:00:37.272000,0 days 00:00:26.388000,INTERMEDIATE,1.0,1.0,,,16.0,False,12
SAI,55,Ferrari,1.0,0 days 00:01:49.270000,109.27,,0 days 00:00:37.498000,0 days 00:00:26.492000,INTERMEDIATE,1.0,1.0,,,17.0,False,12
RIC,3,McLaren,1.0,0 days 00:01:49.322000,109.322,,0 days 00:00:37.246000,0 days 00:00:26.734000,INTERMEDIATE,1.0,1.0,,,18.0,False,12
MAZ,9,Haas F1 Team,1.0,0 days 00:01:50.248000,110.248,,0 days 00:00:37.638000,0 days 00:00:26.991000,INTERMEDIATE,1.0,1.0,,,19.0,False,12
LAT,6,Williams,1.0,0 days 00:01:56.674000,116.674,,0 days 00:00:45.017000,0 days 00:00:26.694000,INTERMEDIATE,1.0,1.0,,,20.0,False,12
BOT,77,Mercedes,2.0,0 days 00:01:34.359000,94.359,0 days 00:00:35.419000,0 days 00:00:33.085000,0 days 00:00:25.855000,INTERMEDIATE,2.0,1.0,,,1.0,True,12
