pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,BOT,Mercedes,77,53,93.769,93.872,90.432,0.842,0.0
2,VER,Red Bull Racing,33,53,94.059,94.154,92.759,0.579,0.29
3,GAS,AlphaTauri,10,53,94.367,94.288,92.814,0.772,0.598
4,LEC,Ferrari,16,53,94.288,94.302,92.737,0.839,0.519
5,SAI,Ferrari,55,53,94.292,94.454,91.921,1.308,0.523
6,PER,Red Bull Racing,11,53,94.273,94.458,92.459,0.793,0.504
7,HAM,Mercedes,44,53,94.382,94.529,92.763,0.968,0.613
8,NOR,McLaren,4,53,94.476,94.565,92.446,0.997,0.707
9,STR,Aston Martin,18,53,94.854,94.822,92.608,0.981,1.085
10,VET,Aston Martin,5,51,95.068,95.152,92.73,1.162,1.299
11,RIC,McLaren,3,52,95.532,95.215,93.255,1.255,1.763
12,LAT,Williams,6,52,95.451,95.272,93.672,1.175,1.682
13,GIO,Alfa Romeo Racing,99,52,95.453,95.319,92.904,1.001,1.684
14,RAI,Alfa Romeo Racing,7,52,95.545,95.432,92.586,1.296,1.776
15,ALO,Alpine,14,52,95.58,95.532,93.252,1.142,1.811
16,TSU,AlphaTauri,22,52,95.496,95.586,92.844,1.17,1.727
17,RUS,Williams,63,52,95.68,95.633,93.399,1.22,1.911
18,OCO,Alpine,31,54,95.782,95.642,94.584,0.911,2.013
19,MSC,Haas F1 Team,47,51,97.195,97.106,94.209,1.413,3.426
20,MAZ,Haas F1 Team,9,51,97.629,97.394,95.438,1.306,3.86
