Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
RIC,McLaren,21,22,INTERMEDIATE,INTERMEDIATE
ALO,Alpine,30,31,INTERMEDIATE,INTERMEDIATE
LAT,Williams,34,35,INTERMEDIATE,INTERMEDIATE
NOR,McLaren,34,35,INTERMEDIATE,INTERMEDIATE
MAZ,Haas F1 Team,35,36,INTERMEDIATE,INTERMEDIATE
RUS,Williams,35,36,INTERMEDIATE,INTERMEDIATE
TSU,AlphaTauri,35,36,INTERMEDIATE,INTERMEDIATE
SAI,Ferrari,36,37,INTERMEDIATE,INTERMEDIATE
VER,Red Bull Racing,36,37,INTERMEDIATE,INTERMEDIATE
VET,Aston Martin,36,38,INTERMEDIATE,INTERMEDIATE
BOT,Mercedes,37,38,INTERMEDIATE,INTERMEDIATE
PER,Red Bull Racing,37,38,INTERMEDIATE,INTERMEDIATE
RAI,Alfa Romeo Racing,37,38,INTERMEDIATE,INTERMEDIATE
GAS,AlphaTauri,39,40,INTERMEDIATE,INTERMEDIATE
MSC,Haas F1 Team,39,40,INTERMEDIATE,INTERMEDIATE
STR,Aston Martin,39,40,INTERMEDIATE,INTERMEDIATE
GIO,Alfa Romeo Racing,40,41,INTERMEDIATE,INTERMEDIATE
LEC,Ferrari,47,48,INTERMEDIATE,INTERMEDIATE
HAM,Mercedes,50,51,INTERMEDIATE,INTERMEDIATE
