stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,BOT,Mercedes,INTERMEDIATE,2.0,39.0,58.0,18,93.381,93.811,90.432
2,SAI,Ferrari,INTERMEDIATE,2.0,38.0,58.0,21,93.572,92.903,91.921
3,GAS,AlphaTauri,INTERMEDIATE,2.0,41.0,58.0,18,93.853,93.834,92.814
4,NOR,McLaren,INTERMEDIATE,2.0,36.0,58.0,23,93.874,94.067,92.446
5,HAM,Mercedes,INTERMEDIATE,2.0,52.0,58.0,7,93.884,93.657,92.763
6,PER,Red Bull Racing,INTERMEDIATE,2.0,39.0,58.0,20,93.944,93.972,92.459
7,BOT,Mercedes,INTERMEDIATE,1.0,2.0,36.0,35,93.969,93.883,93.146
8,VET,Aston Martin,INTERMEDIATE,3.0,39.0,57.0,18,94.023,94.032,92.73
9,VER,Red Bull Racing,INTERMEDIATE,2.0,39.0,58.0,20,94.037,94.221,92.759
10,VER,Red Bull Racing,INTERMEDIATE,1.0,2.0,35.0,33,94.071,94.141,93.181
11,LEC,Ferrari,INTERMEDIATE,2.0,49.0,58.0,10,94.151,93.905,92.737
12,LEC,Ferrari,INTERMEDIATE,1.0,2.0,46.0,43,94.319,94.362,92.981
13,HAM,Mercedes,INTERMEDIATE,1.0,2.0,49.0,46,94.458,94.588,93.019
14,PER,Red Bull Racing,INTERMEDIATE,1.0,2.0,36.0,33,94.473,94.58,93.194
15,STR,Aston Martin,INTERMEDIATE,2.0,41.0,58.0,18,94.61,95.024,92.608
16,GAS,AlphaTauri,INTERMEDIATE,1.0,2.0,38.0,35,94.632,94.41,93.514
17,RAI,Alfa Romeo Racing,INTERMEDIATE,2.0,39.0,57.0,19,94.646,94.79,92.586
18,LAT,Williams,INTERMEDIATE,2.0,36.0,57.0,22,94.651,94.48,93.672
19,SAI,Ferrari,INTERMEDIATE,1.0,4.0,35.0,32,94.764,94.584,93.269
20,TSU,AlphaTauri,INTERMEDIATE,2.0,37.0,57.0,20,94.785,94.94,92.844
21,ALO,Alpine,INTERMEDIATE,2.0,32.0,57.0,25,94.917,94.725,93.252
22,RUS,Williams,INTERMEDIATE,2.0,37.0,57.0,20,94.927,94.558,93.399
23,NOR,McLaren,INTERMEDIATE,1.0,2.0,33.0,30,94.938,94.814,93.55
24,STR,Aston Martin,INTERMEDIATE,1.0,2.0,38.0,35,94.98,94.641,93.392
25,GIO,Alfa Romeo Racing,INTERMEDIATE,2.0,42.0,57.0,16,95.043,95.298,92.904
26,RIC,McLaren,INTERMEDIATE,2.0,23.0,56.0,34,95.118,94.946,93.255
27,GIO,Alfa Romeo Racing,INTERMEDIATE,1.0,3.0,39.0,36,95.636,95.354,94.589
28,VET,Aston Martin,INTERMEDIATE,1.0,2.0,35.0,33,95.638,95.48,94.633
29,OCO,Alpine,INTERMEDIATE,1.0,3.0,57.0,54,95.782,95.642,94.584
30,TSU,AlphaTauri,INTERMEDIATE,1.0,2.0,34.0,32,95.941,95.829,94.541
31,LAT,Williams,INTERMEDIATE,1.0,2.0,32.0,30,96.037,95.848,94.889
32,RAI,Alfa Romeo Racing,INTERMEDIATE,1.0,3.0,36.0,33,96.063,95.926,94.764
33,RUS,Williams,INTERMEDIATE,1.0,2.0,34.0,32,96.151,95.859,94.83
34,ALO,Alpine,INTERMEDIATE,1.0,2.0,29.0,27,96.194,95.893,94.794
35,RIC,McLaren,INTERMEDIATE,1.0,3.0,20.0,18,96.316,96.226,94.775
36,MSC,Haas F1 Team,INTERMEDIATE,2.0,41.0,56.0,16,96.413,96.329,94.209
37,MAZ,Haas F1 Team,INTERMEDIATE,2.0,37.0,56.0,19,97.349,96.972,95.438
38,MSC,Haas F1 Team,INTERMEDIATE,1.0,3.0,38.0,35,97.552,97.382,95.946
39,MAZ,Haas F1 Team,INTERMEDIATE,1.0,2.0,33.0,32,97.795,97.814,96.209
