Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
GAS,Alpine,5,6.0,MEDIUM,HARD
BOT,Alfa Romeo,6,7.0,MEDIUM,HARD
ALB,Williams,7,8.0,MEDIUM,HARD
PIA,McLaren,8,9.0,MEDIUM,HARD
SAR,Williams,8,9.0,MEDIUM,HARD
TSU,AlphaTauri,8,9.0,MEDIUM,HARD
HAM,Mercedes,9,10.0,MEDIUM,HARD
NOR,McLaren,9,10.0,MEDIUM,HARD
MAG,Haas F1 Team,10,12.0,MEDIUM,HARD
VER,Red Bull Racing,10,14.0,MEDIUM,HARD
ALO,Aston Martin,11,14.0,MEDIUM,HARD
LEC,Ferrari,11,14.0,MEDIUM,HARD
PER,Red Bull Racing,11,14.0,MEDIUM,HARD
BOT,Alfa Romeo,12,13.0,HARD,HARD
GAS,Alpine,23,24.0,HARD,HARD
BOT,Alfa Romeo,34,35.0,HARD,MEDIUM
ZHO,Alfa Romeo,36,,HARD,
HUL,Haas F1 Team,49,50.0,HARD,SOFT
RUS,Mercedes,49,50.0,HARD,SOFT
OCO,Alpine,50,51.0,HARD,SOFT
