stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,ZHO,Alfa Romeo,SOFT,4.0,39.0,52.0,14,92.475,92.48,91.769
2,DEV,AlphaTauri,MEDIUM,2.0,29.0,31.0,3,92.631,92.564,92.499
3,VER,Red Bull Racing,MEDIUM,1.0,1.0,32.0,32,92.722,92.588,92.138
4,LEC,Ferrari,HARD,2.0,20.0,31.0,12,92.812,92.806,92.464
5,ZHO,Alfa Romeo,HARD,2.0,26.0,31.0,6,92.888,92.956,92.524
6,NOR,McLaren,MEDIUM,1.0,1.0,32.0,32,93.026,92.856,92.5
7,PIA,McLaren,MEDIUM,1.0,1.0,28.0,28,93.187,93.006,92.499
8,TSU,AlphaTauri,HARD,2.0,16.0,31.0,16,93.197,93.208,92.952
9,RUS,Mercedes,SOFT,1.0,1.0,27.0,27,93.398,93.136,92.568
10,HAM,Mercedes,MEDIUM,1.0,1.0,32.0,32,93.469,93.178,92.155
11,HUL,Haas F1 Team,MEDIUM,2.0,9.0,31.0,23,93.564,93.555,93.107
12,SAI,Ferrari,MEDIUM,1.0,1.0,25.0,25,93.586,93.323,92.755
13,LEC,Ferrari,MEDIUM,1.0,1.0,17.0,17,93.683,93.248,92.934
14,GAS,Alpine,MEDIUM,1.0,1.0,30.0,30,93.771,93.442,92.846
15,ALO,Aston Martin,MEDIUM,1.0,1.0,32.0,32,93.811,93.37,92.686
16,ALB,Williams,MEDIUM,1.0,1.0,31.0,31,93.861,93.731,92.816
17,PER,Red Bull Racing,MEDIUM,1.0,1.0,27.0,27,93.871,93.364,92.726
18,STR,Aston Martin,MEDIUM,1.0,1.0,30.0,30,94.111,93.863,93.114
19,MAG,Haas F1 Team,MEDIUM,1.0,3.0,31.0,29,94.269,94.281,93.356
20,OCO,Alpine,SOFT,1.0,2.0,8.0,7,94.284,94.113,93.941
21,VER,Red Bull Racing,SOFT,2.0,38.0,52.0,15,94.307,91.114,90.275
22,SAR,Williams,MEDIUM,1.0,1.0,28.0,28,94.331,93.848,93.212
23,NOR,McLaren,HARD,2.0,38.0,52.0,15,94.466,91.094,90.543
24,BOT,Alfa Romeo,HARD,1.0,1.0,31.0,31,94.493,94.306,93.292
25,DEV,AlphaTauri,SOFT,1.0,1.0,26.0,26,94.524,93.94,93.453
26,HAM,Mercedes,SOFT,2.0,38.0,52.0,15,94.55,91.359,90.545
27,ZHO,Alfa Romeo,MEDIUM,1.0,1.0,23.0,23,94.775,94.263,93.56
28,HUL,Haas F1 Team,SOFT,3.0,34.0,52.0,16,94.979,92.246,91.776
29,ALO,Aston Martin,SOFT,2.0,38.0,52.0,15,95.009,91.93,91.338
30,TSU,AlphaTauri,SOFT,1.0,1.0,13.0,13,95.158,94.433,94.085
31,DEV,AlphaTauri,SOFT,3.0,34.0,52.0,16,95.892,92.641,92.353
32,TSU,AlphaTauri,SOFT,3.0,34.0,52.0,16,96.156,92.676,92.084
33,BOT,Alfa Romeo,SOFT,2.0,34.0,52.0,16,96.185,92.198,91.852
34,HUL,Haas F1 Team,HARD,1.0,1.0,6.0,6,96.48,95.432,94.354
35,LEC,Ferrari,MEDIUM,3.0,34.0,52.0,16,96.758,91.913,91.255
36,ALB,Williams,SOFT,2.0,34.0,52.0,16,96.781,91.921,91.273
37,PER,Red Bull Racing,SOFT,2.0,30.0,52.0,20,97.982,91.623,90.914
38,SAI,Ferrari,HARD,2.0,28.0,52.0,22,98.068,92.037,91.366
39,RUS,Mercedes,MEDIUM,2.0,30.0,52.0,20,98.151,91.609,91.124
40,STR,Aston Martin,SOFT,2.0,33.0,52.0,17,98.157,91.998,91.508
41,SAR,Williams,SOFT,2.0,31.0,52.0,19,98.5,92.085,91.699
42,PIA,McLaren,HARD,2.0,31.0,52.0,19,98.503,91.465,90.85
43,GAS,Alpine,SOFT,2.0,33.0,45.0,10,103.897,92.921,91.539
