Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,1,Red Bull Racing,1.0,0 days 00:01:23.080000,83.08,,0 days 00:00:25.105000,0 days 00:00:31.257000,MEDIUM,1.0,1.0,,,1.0,False,1
HAM,44,Mercedes,1.0,0 days 00:01:23.978000,83.978,,0 days 00:00:25.153000,0 days 00:00:31.543000,MEDIUM,1.0,1.0,,,2.0,False,1
ALO,14,Aston Martin,1.0,0 days 00:01:24.892000,84.892,,0 days 00:00:25.329000,0 days 00:00:31.639000,MEDIUM,1.0,1.0,,,3.0,False,1
RUS,63,Mercedes,1.0,0 days 00:01:25.376000,85.376,,0 days 00:00:25.462000,0 days 00:00:31.643000,MEDIUM,1.0,1.0,,,4.0,False,1
OCO,31,Alpine,1.0,0 days 00:01:26.367000,86.367,,0 days 00:00:25.750000,0 days 00:00:31.834000,MEDIUM,1.0,1.0,,,5.0,False,1
HUL,27,Haas F1 Team,1.0,0 days 00:01:27.105000,87.105,,0 days 00:00:25.855000,0 days 00:00:31.880000,MEDIUM,1.0,1.0,,,6.0,False,1
PIA,81,McLaren,1.0,0 days 00:01:27.463000,87.463,,0 days 00:00:26.103000,0 days 00:00:31.753000,MEDIUM,1.0,1.0,,,7.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:28.099000,88.099,,0 days 00:00:26.397000,0 days 00:00:31.880000,MEDIUM,1.0,1.0,,,8.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:28.596000,88.596,,0 days 00:00:26.469000,0 days 00:00:31.936000,MEDIUM,1.0,1.0,,,9.0,False,1
ALB,23,Williams,1.0,0 days 00:01:29.175000,89.175,,0 days 00:00:26.375000,0 days 00:00:31.993000,MEDIUM,2.0,1.0,,,10.0,False,1
SAI,55,Ferrari,1.0,0 days 00:01:30.282000,90.282,,0 days 00:00:27.393000,0 days 00:00:31.649000,MEDIUM,1.0,1.0,,,11.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:30.734000,90.734,,0 days 00:00:27.516000,0 days 00:00:32.202000,HARD,1.0,1.0,,,12.0,False,1
GAS,10,Alpine,1.0,0 days 00:01:31.271000,91.271,,0 days 00:00:27.139000,0 days 00:00:32.270000,SOFT,1.0,1.0,,,13.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:31.721000,91.721,,0 days 00:00:27.148000,0 days 00:00:32.493000,MEDIUM,1.0,1.0,,,14.0,False,1
MAG,20,Haas F1 Team,1.0,0 days 00:01:32.026000,92.026,,0 days 00:00:27.202000,0 days 00:00:33.243000,HARD,1.0,1.0,,,15.0,False,1
BOT,77,Alfa Romeo,1.0,0 days 00:01:32.120000,92.12,,0 days 00:00:27.302000,0 days 00:00:32.508000,HARD,1.0,1.0,,,16.0,False,1
DEV,21,AlphaTauri,1.0,0 days 00:01:32.516000,92.516,,0 days 00:00:27.366000,0 days 00:00:32.403000,MEDIUM,1.0,1.0,,,17.0,False,1
SAR,2,Williams,1.0,0 days 00:01:33.033000,93.033,,0 days 00:00:27.938000,0 days 00:00:32.131000,MEDIUM,1.0,1.0,,,18.0,False,1
ZHO,24,Alfa Romeo,1.0,0 days 00:01:33.913000,93.913,,0 days 00:00:27.692000,0 days 00:00:32.735000,MEDIUM,1.0,1.0,,,19.0,False,1
TSU,22,AlphaTauri,1.0,0 days 00:01:49.276000,109.276,,0 days 00:00:27.630000,0 days 00:00:48.482000,MEDIUM,1.0,1.0,,0 days 01:03:32.868000,20.0,False,1
VER,1,Red Bull Racing,2.0,0 days 00:01:18.075000,78.075,0 days 00:00:21.686000,0 days 00:00:25.051000,0 days 00:00:31.338000,MEDIUM,2.0,1.0,,,1.0,True,1
