Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,1,Red Bull Racing,1.0,0 days 00:01:31.585000,91.585,,0 days 00:00:28.929000,0 days 00:00:30.478000,SOFT,1.0,1.0,,,1.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:32.227000,92.227,,0 days 00:00:28.594000,0 days 00:00:30.567000,SOFT,1.0,1.0,,,2.0,False,1
ALO,14,Aston Martin,1.0,0 days 00:01:32.766000,92.766,,0 days 00:00:28.764000,0 days 00:00:30.590000,SOFT,1.0,1.0,,,3.0,False,1
ALB,23,Williams,1.0,0 days 00:01:34.276000,94.276,,0 days 00:00:29.096000,0 days 00:00:31.301000,SOFT,1.0,1.0,,,4.0,False,1
SAI,55,Ferrari,1.0,0 days 00:01:34.694000,94.694,,0 days 00:00:29.401000,0 days 00:00:31.249000,SOFT,1.0,1.0,,,5.0,False,1
RUS,63,Mercedes,1.0,0 days 00:01:33.241000,93.241,,0 days 00:00:28.820000,0 days 00:00:30.679000,SOFT,1.0,1.0,,,6.0,False,1
PIA,81,McLaren,1.0,0 days 00:01:35.554000,95.554,,0 days 00:00:29.247000,0 days 00:00:31.488000,SOFT,1.0,1.0,,,7.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:37.074000,97.074,,0 days 00:00:29.907000,0 days 00:00:32.066000,SOFT,1.0,1.0,,,8.0,False,1
BOT,77,Alfa Romeo,1.0,0 days 00:01:37.804000,97.804,,0 days 00:00:29.254000,0 days 00:00:32.586000,SOFT,1.0,1.0,,,9.0,False,1
HUL,27,Haas F1 Team,1.0,0 days 00:01:38.096000,98.096,,0 days 00:00:29.602000,0 days 00:00:32.789000,SOFT,1.0,1.0,,,10.0,False,1
HAM,44,Mercedes,1.0,0 days 00:01:38.801000,98.801,,0 days 00:00:29.606000,0 days 00:00:33.122000,MEDIUM,1.0,1.0,,,11.0,False,1
OCO,31,Alpine,1.0,0 days 00:01:39.075000,99.075,,0 days 00:00:29.897000,0 days 00:00:33.030000,SOFT,1.0,1.0,,,12.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:39.743000,99.743,,0 days 00:00:29.339000,0 days 00:00:36.163000,SOFT,1.0,1.0,,0 days 01:03:43.380000,13.0,False,1
SAR,2,Williams,1.0,0 days 00:01:39.822000,99.822,,0 days 00:00:30.081000,0 days 00:00:33.506000,SOFT,1.0,1.0,,,14.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:42.801000,102.801,,0 days 00:00:29.565000,0 days 00:00:38.556000,SOFT,1.0,1.0,,0 days 01:03:46.443000,15.0,False,1
GAS,10,Alpine,1.0,0 days 00:01:43.893000,103.893,,0 days 00:00:29.821000,0 days 00:00:38.852000,SOFT,1.0,1.0,,0 days 01:03:47.474000,16.0,False,1
ZHO,24,Alfa Romeo,1.0,0 days 00:01:45.469000,105.469,,0 days 00:00:29.945000,0 days 00:00:39.176000,SOFT,1.0,1.0,,0 days 01:03:49.114000,17.0,False,1
TSU,22,AlphaTauri,1.0,0 days 00:01:46.869000,106.869,,0 days 00:00:30.312000,0 days 00:00:39.927000,SOFT,1.0,1.0,,0 days 01:03:50.536000,18.0,False,1
LAW,40,AlphaTauri,1.0,0 days 00:01:50.452000,110.452,,0 days 00:00:30.748000,0 days 00:00:42.908000,SOFT,1.0,1.0,,0 days 01:03:53.911000,19.0,False,1
MAG,20,Haas F1 Team,1.0,0 days 00:01:51.944000,111.944,,0 days 00:00:29.953000,0 days 00:00:39.577000,SOFT,1.0,1.0,0 days 01:02:17.710000,0 days 01:03:55.646000,20.0,False,1
NOR,4,McLaren,2.0,0 days 00:01:47.848000,107.848,0 days 00:00:37.353000,0 days 00:00:36.440000,0 days 00:00:34.055000,SOFT,2.0,1.0,,,1.0,True,1
VER,1,Red Bull Racing,2.0,0 days 00:01:49.972000,109.972,0 days 00:00:36.330000,0 days 00:00:36.685000,0 days 00:00:36.957000,SOFT,2.0,1.0,,0 days 01:05:25.519000,2.0,False,1
ALB,23,Williams,2.0,0 days 00:01:48.180000,108.18,0 days 00:00:36.857000,0 days 00:00:36.643000,0 days 00:00:34.680000,SOFT,2.0,1.0,,,3.0,True,1
