pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,58,79.75,75.568,73.889,10.113,0.092
2,PER,Red Bull Racing,11,58,80.27,75.791,74.231,9.97,0.612
3,ALO,Aston Martin,14,58,79.658,76.011,73.837,8.77,0.0
4,GAS,Alpine,10,58,80.037,76.18,74.441,8.689,0.379
5,SAI,Ferrari,55,58,80.195,76.312,74.934,8.783,0.537
6,ALB,Williams,23,61,81.486,76.452,74.468,10.576,1.828
7,HAM,Mercedes,44,58,80.586,76.558,73.904,9.017,0.928
8,OCO,Alpine,31,58,80.713,76.721,74.57,9.579,1.055
9,NOR,McLaren,4,58,80.933,76.722,74.39,9.911,1.275
10,PIA,McLaren,81,59,81.165,76.801,74.299,9.779,1.507
11,ZHO,Alfa Romeo,24,51,79.884,77.136,75.417,8.214,0.226
12,TSU,AlphaTauri,22,59,80.759,77.214,76.253,7.794,1.101
13,RUS,Mercedes,63,56,79.726,77.255,75.124,7.71,0.068
14,MAG,Haas F1 Team,20,58,81.257,77.432,75.489,9.284,1.599
15,HUL,Haas F1 Team,27,59,81.09,77.514,74.472,8.829,1.432
16,STR,Aston Martin,18,56,80.144,77.558,75.171,7.579,0.486
17,LAW,AlphaTauri,40,56,80.461,77.738,74.82,6.659,0.803
18,BOT,Alfa Romeo,77,59,81.453,77.867,74.698,8.71,1.795
19,LEC,Ferrari,16,34,83.445,78.208,77.277,10.096,3.787
20,SAR,Williams,2,13,91.249,89.878,77.399,12.523,11.591
