stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VER,Red Bull Racing,SOFT,4.0,51.0,60.0,10,74.201,74.264,73.889
2,ALO,Aston Martin,SOFT,4.0,50.0,60.0,11,74.243,74.153,73.837
3,PIA,McLaren,MEDIUM,3.0,48.0,59.0,12,74.643,74.709,74.299
4,PER,Red Bull Racing,SOFT,4.0,47.0,59.0,13,74.654,74.702,74.231
5,HAM,Mercedes,SOFT,4.0,47.0,59.0,13,74.732,74.708,73.904
6,HUL,Haas F1 Team,SOFT,3.0,50.0,59.0,10,74.831,74.905,74.472
7,GAS,Alpine,SOFT,4.0,48.0,59.0,12,75.012,75.002,74.441
8,ALB,Williams,MEDIUM,2.0,46.0,60.0,15,75.168,75.024,74.468
9,LAW,AlphaTauri,SOFT,5.0,48.0,58.0,11,75.174,75.12,74.82
10,BOT,Alfa Romeo,SOFT,3.0,49.0,58.0,10,75.278,75.26,74.698
11,NOR,McLaren,SOFT,4.0,44.0,59.0,16,75.29,75.064,74.39
12,SAI,Ferrari,SOFT,4.0,43.0,59.0,17,75.314,75.25,74.934
13,OCO,Alpine,SOFT,4.0,45.0,60.0,16,75.379,75.232,74.57
14,STR,Aston Martin,SOFT,5.0,36.0,59.0,24,75.772,75.754,75.171
15,ZHO,Alfa Romeo,SOFT,4.0,39.0,59.0,21,75.93,75.895,75.417
16,MAG,Haas F1 Team,MEDIUM,4.0,37.0,59.0,23,76.315,76.333,75.489
17,RUS,Mercedes,SOFT,3.0,12.0,15.0,4,77.116,77.077,76.406
18,RUS,Mercedes,HARD,4.0,18.0,59.0,40,77.576,76.331,75.124
19,STR,Aston Martin,SOFT,3.0,11.0,15.0,5,78.45,78.291,77.585
20,LAW,AlphaTauri,MEDIUM,4.0,19.0,45.0,25,78.903,77.593,76.925
21,HUL,Haas F1 Team,MEDIUM,2.0,18.0,47.0,28,78.975,77.082,76.549
22,PIA,McLaren,SOFT,2.0,17.0,45.0,26,79.009,76.658,76.036
23,ALO,Aston Martin,SOFT,3.0,12.0,47.0,33,79.027,75.944,75.575
24,TSU,AlphaTauri,SOFT,3.0,12.0,59.0,45,79.173,76.943,76.253
25,GAS,Alpine,SOFT,3.0,13.0,45.0,30,79.283,76.078,75.626
26,BOT,Alfa Romeo,MEDIUM,2.0,18.0,46.0,27,79.284,77.715,76.456
27,HAM,Mercedes,SOFT,3.0,11.0,44.0,31,79.543,76.533,75.729
28,VER,Red Bull Racing,SOFT,3.0,13.0,48.0,34,79.863,75.535,75.071
29,SAI,Ferrari,SOFT,3.0,12.0,40.0,26,80.061,76.312,75.961
30,PER,Red Bull Racing,SOFT,3.0,14.0,44.0,29,80.676,75.777,75.377
31,RUS,Mercedes,INTERMEDIATE,8.0,69.0,72.0,4,81.122,80.988,80.548
32,OCO,Alpine,SOFT,3.0,12.0,42.0,29,81.479,76.735,76.116
33,STR,Aston Martin,MEDIUM,4.0,18.0,33.0,15,81.543,77.689,77.011
34,NOR,McLaren,SOFT,3.0,12.0,41.0,28,81.636,76.643,76.032
35,ZHO,Alfa Romeo,MEDIUM,3.0,12.0,36.0,22,81.647,77.791,76.713
36,PIA,McLaren,INTERMEDIATE,4.0,62.0,62.0,1,82.135,82.135,82.135
37,VER,Red Bull Racing,INTERMEDIATE,7.0,67.0,72.0,6,82.161,81.392,80.865
38,NOR,McLaren,INTERMEDIATE,5.0,62.0,62.0,1,82.488,82.488,82.488
39,RUS,Mercedes,INTERMEDIATE,5.0,62.0,62.0,1,82.553,82.553,82.553
40,LEC,Ferrari,SOFT,3.0,13.0,40.0,26,82.568,77.905,77.277
