Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,1,Red Bull Racing,1.0,0 days 00:01:27.912000,87.912,,0 days 00:00:30.370000,0 days 00:00:23.495000,MEDIUM,4.0,1.0,,,1.0,False,12
PIA,81,McLaren,1.0,0 days 00:01:28.684000,88.684,,0 days 00:00:30.676000,0 days 00:00:23.689000,MEDIUM,3.0,1.0,,,2.0,False,12
NOR,4,McLaren,1.0,0 days 00:01:29.901000,89.901,,0 days 00:00:31.302000,0 days 00:00:23.736000,MEDIUM,1.0,1.0,,,3.0,False,12
HAM,44,Mercedes,1.0,0 days 00:01:30.539000,90.539,,0 days 00:00:31.880000,0 days 00:00:23.746000,MEDIUM,4.0,1.0,,,4.0,False,12
LEC,16,Ferrari,1.0,0 days 00:01:31.328000,91.328,,0 days 00:00:32.027000,0 days 00:00:24.014000,MEDIUM,4.0,1.0,,,5.0,False,12
SAI,55,Ferrari,1.0,0 days 00:01:31.784000,91.784,,0 days 00:00:32.012000,0 days 00:00:24.155000,SOFT,1.0,1.0,,,6.0,False,12
ALO,14,Aston Martin,1.0,0 days 00:01:32.571000,92.571,,0 days 00:00:32.308000,0 days 00:00:24.373000,MEDIUM,4.0,1.0,,,7.0,False,12
PER,11,Red Bull Racing,1.0,0 days 00:01:33.068000,93.068,,0 days 00:00:32.628000,0 days 00:00:24.342000,HARD,4.0,1.0,,,8.0,False,12
HUL,27,Haas F1 Team,1.0,0 days 00:01:33.589000,93.589,,0 days 00:00:32.518000,0 days 00:00:24.382000,MEDIUM,4.0,1.0,,,9.0,False,12
STR,18,Aston Martin,1.0,0 days 00:01:34.105000,94.105,,0 days 00:00:32.662000,0 days 00:00:24.396000,SOFT,1.0,1.0,,,10.0,False,12
TSU,22,AlphaTauri,1.0,0 days 00:01:34.830000,94.83,,0 days 00:00:32.979000,0 days 00:00:24.556000,SOFT,1.0,1.0,,,11.0,False,12
BOT,77,Alfa Romeo,1.0,0 days 00:01:35.238000,95.238,,0 days 00:00:33.595000,0 days 00:00:24.605000,MEDIUM,4.0,1.0,,,12.0,False,12
MAG,20,Haas F1 Team,1.0,0 days 00:01:35.783000,95.783,,0 days 00:00:33.369000,0 days 00:00:24.611000,MEDIUM,1.0,1.0,,,13.0,False,12
RUS,63,Mercedes,1.0,0 days 00:01:36.022000,96.022,,0 days 00:00:33.469000,0 days 00:00:24.508000,HARD,1.0,1.0,,,14.0,False,12
ALB,23,Williams,1.0,0 days 00:01:36.553000,96.553,,0 days 00:00:34.602000,0 days 00:00:24.512000,MEDIUM,1.0,1.0,,,15.0,False,12
ZHO,24,Alfa Romeo,1.0,0 days 00:01:36.733000,96.733,,0 days 00:00:34.025000,0 days 00:00:24.426000,MEDIUM,4.0,1.0,,,16.0,False,12
SAR,2,Williams,1.0,0 days 00:01:37.428000,97.428,,0 days 00:00:34.089000,0 days 00:00:24.770000,MEDIUM,1.0,1.0,,,17.0,False,12
RIC,3,AlphaTauri,1.0,0 days 00:01:38.117000,98.117,,0 days 00:00:32.713000,0 days 00:00:24.834000,MEDIUM,4.0,1.0,,,18.0,False,12
OCO,31,Alpine,1.0,0 days 00:01:46.965000,106.965,,0 days 00:00:34.912000,0 days 00:00:25.512000,MEDIUM,4.0,1.0,,,19.0,False,12
GAS,10,Alpine,1.0,0 days 00:02:04.981000,124.981,,0 days 00:00:41.231000,0 days 00:00:36.698000,SOFT,1.0,1.0,,0 days 01:04:07.619000,20.0,False,12
VER,1,Red Bull Racing,2.0,0 days 00:01:25.157000,85.157,0 days 00:00:30.527000,0 days 00:00:30.848000,0 days 00:00:23.782000,MEDIUM,5.0,1.0,,,1.0,True,1
PIA,81,McLaren,2.0,0 days 00:01:25.617000,85.617,0 days 00:00:30.599000,0 days 00:00:30.983000,0 days 00:00:24.035000,MEDIUM,4.0,1.0,,,2.0,True,1
NOR,4,McLaren,2.0,0 days 00:01:25.820000,85.82,0 days 00:00:30.556000,0 days 00:00:31.161000,0 days 00:00:24.103000,MEDIUM,2.0,1.0,,,3.0,True,1
HAM,44,Mercedes,2.0,0 days 00:01:26.052000,86.052,0 days 00:00:30.556000,0 days 00:00:31.467000,0 days 00:00:24.029000,MEDIUM,5.0,1.0,,,4.0,True,1
LEC,16,Ferrari,2.0,0 days 00:01:26.336000,86.336,0 days 00:00:30.738000,0 days 00:00:31.484000,0 days 00:00:24.114000,MEDIUM,5.0,1.0,,,5.0,True,1
SAI,55,Ferrari,2.0,0 days 00:01:26.230000,86.23,0 days 00:00:30.609000,0 days 00:00:31.511000,0 days 00:00:24.110000,SOFT,2.0,1.0,,,6.0,True,1
ALO,14,Aston Martin,2.0,0 days 00:01:26.881000,86.881,0 days 00:00:31.068000,0 days 00:00:31.636000,0 days 00:00:24.177000,MEDIUM,5.0,1.0,,,7.0,True,1
PER,11,Red Bull Racing,2.0,0 days 00:01:26.770000,86.77,0 days 00:00:30.959000,0 days 00:00:31.640000,0 days 00:00:24.171000,HARD,5.0,1.0,,,8.0,True,1
