stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VER,Red Bull Racing,MEDIUM,3.0,53.0,70.0,18,82.02,81.91,80.504
2,HAM,Mercedes,MEDIUM,3.0,51.0,70.0,20,82.42,82.346,81.601
3,PER,Red Bull Racing,MEDIUM,3.0,44.0,70.0,27,82.916,82.86,82.295
4,RUS,Mercedes,MEDIUM,3.0,48.0,70.0,23,82.995,82.954,82.158
5,NOR,McLaren,MEDIUM,3.0,46.0,70.0,25,83.09,83.075,82.178
6,ALO,Aston Martin,HARD,3.0,45.0,70.0,26,83.258,83.194,82.745
7,LEC,Ferrari,HARD,3.0,45.0,70.0,26,83.334,83.45,82.469
8,SAI,Ferrari,HARD,3.0,46.0,70.0,25,83.395,83.36,82.584
9,VER,Red Bull Racing,HARD,2.0,25.0,50.0,26,83.583,83.616,83.023
10,RUS,Mercedes,MEDIUM,2.0,30.0,45.0,16,83.752,83.718,83.014
11,PER,Red Bull Racing,MEDIUM,2.0,26.0,41.0,16,83.817,83.626,83.086
12,PIA,McLaren,MEDIUM,3.0,44.0,70.0,26,83.843,83.785,82.736
13,STR,Aston Martin,HARD,3.0,36.0,69.0,33,84.025,83.987,83.425
14,NOR,McLaren,HARD,2.0,19.0,43.0,25,84.16,84.136,83.499
15,BOT,Alfa Romeo,HARD,3.0,42.0,69.0,28,84.249,84.209,83.651
16,HAM,Mercedes,HARD,2.0,19.0,48.0,30,84.278,84.254,83.749
17,VER,Red Bull Racing,MEDIUM,1.0,4.0,22.0,18,84.335,84.366,84.012
18,RIC,AlphaTauri,MEDIUM,3.0,31.0,68.0,38,84.37,84.216,83.934
19,ALB,Williams,HARD,3.0,33.0,69.0,37,84.436,84.277,84.051
20,PIA,McLaren,HARD,2.0,20.0,41.0,21,84.443,84.531,83.876
21,TSU,AlphaTauri,MEDIUM,3.0,46.0,69.0,24,84.495,84.301,83.269
22,SAR,Williams,HARD,3.0,36.0,66.0,30,84.548,84.403,83.496
23,LEC,Ferrari,HARD,2.0,19.0,42.0,24,84.668,84.584,84.149
24,SAI,Ferrari,HARD,2.0,17.0,43.0,26,84.677,84.624,84.265
25,HUL,Haas F1 Team,HARD,3.0,40.0,69.0,29,84.688,84.472,83.573
26,ZHO,Alfa Romeo,HARD,3.0,40.0,69.0,29,84.715,84.6,84.06
27,ALO,Aston Martin,HARD,2.0,22.0,42.0,21,84.827,84.758,84.349
28,MAG,Haas F1 Team,HARD,3.0,43.0,69.0,25,84.875,84.491,83.864
29,PIA,McLaren,MEDIUM,1.0,3.0,17.0,15,84.937,84.927,84.729
30,NOR,McLaren,MEDIUM,1.0,4.0,16.0,12,84.956,84.98,84.794
31,PER,Red Bull Racing,HARD,1.0,4.0,23.0,19,85.073,85.077,84.52
32,HAM,Mercedes,MEDIUM,1.0,3.0,14.0,12,85.15,85.16,84.559
33,STR,Aston Martin,HARD,2.0,11.0,33.0,22,85.222,85.17,84.61
34,BOT,Alfa Romeo,HARD,2.0,11.0,39.0,27,85.266,85.312,84.246
35,LEC,Ferrari,MEDIUM,1.0,4.0,16.0,12,85.275,85.238,85.052
36,ALO,Aston Martin,MEDIUM,1.0,3.0,19.0,15,85.439,85.459,85.078
37,SAI,Ferrari,SOFT,1.0,4.0,14.0,11,85.486,85.543,85.254
38,ALB,Williams,HARD,2.0,10.0,30.0,21,85.514,85.585,84.834
39,RIC,AlphaTauri,HARD,2.0,20.0,28.0,9,85.514,85.462,84.86
40,ZHO,Alfa Romeo,HARD,2.0,12.0,37.0,26,85.529,85.742,83.743
41,TSU,AlphaTauri,HARD,2.0,11.0,42.0,31,85.551,85.606,84.738
42,RUS,Mercedes,HARD,1.0,4.0,27.0,23,85.653,85.76,85.017
43,HUL,Haas F1 Team,HARD,2.0,18.0,37.0,19,85.67,85.729,85.195
44,SAR,Williams,HARD,2.0,15.0,33.0,19,85.791,85.998,84.883
45,STR,Aston Martin,SOFT,1.0,3.0,8.0,6,85.962,85.922,85.688
46,TSU,AlphaTauri,SOFT,1.0,3.0,8.0,6,85.966,85.896,85.674
47,BOT,Alfa Romeo,MEDIUM,1.0,3.0,8.0,6,86.004,85.978,85.73
48,RIC,AlphaTauri,MEDIUM,1.0,3.0,16.0,14,86.022,86.038,85.233
49,HUL,Haas F1 Team,MEDIUM,1.0,3.0,15.0,13,86.03,86.091,85.612
50,ALB,Williams,MEDIUM,1.0,4.0,7.0,3,86.069,86.085,85.884
51,SAR,Williams,MEDIUM,1.0,4.0,12.0,9,86.071,86.047,85.62
52,MAG,Haas F1 Team,HARD,2.0,16.0,40.0,24,86.092,86.168,84.782
53,ZHO,Alfa Romeo,MEDIUM,1.0,4.0,9.0,6,86.146,86.174,85.844
54,MAG,Haas F1 Team,MEDIUM,1.0,2.0,13.0,12,86.332,86.101,85.969
55,OCO,Alpine,MEDIUM,1.0,1.0,1.0,1,106.965,106.965,106.965
