Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
SAI,55,Ferrari,1.0,0 days 00:01:27.117000,87.117,,0 days 00:00:29.288000,0 days 00:00:28.470000,MEDIUM,1.0,1.0,,,1.0,False,1
VER,1,Red Bull Racing,1.0,0 days 00:01:27.905000,87.905,,0 days 00:00:29.666000,0 days 00:00:28.473000,MEDIUM,1.0,1.0,,,2.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:28.755000,88.755,,0 days 00:00:29.908000,0 days 00:00:28.623000,MEDIUM,1.0,1.0,,,3.0,False,1
RUS,63,Mercedes,1.0,0 days 00:01:29.339000,89.339,,0 days 00:00:30.358000,0 days 00:00:28.700000,MEDIUM,1.0,1.0,,,4.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:29.806000,89.806,,0 days 00:00:30.555000,0 days 00:00:28.768000,MEDIUM,1.0,1.0,,,5.0,False,1
PIA,81,McLaren,1.0,0 days 00:01:30.315000,90.315,,0 days 00:00:30.703000,0 days 00:00:28.748000,MEDIUM,1.0,1.0,,,6.0,False,1
ALB,23,Williams,1.0,0 days 00:01:30.785000,90.785,,0 days 00:00:30.961000,0 days 00:00:28.839000,MEDIUM,4.0,1.0,,,7.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:31.513000,91.513,,0 days 00:00:31.119000,0 days 00:00:28.885000,MEDIUM,1.0,1.0,,,8.0,False,1
HAM,44,Mercedes,1.0,0 days 00:01:32.011000,92.011,,0 days 00:00:31.059000,0 days 00:00:29.053000,HARD,4.0,1.0,,,9.0,False,1
HUL,27,Haas F1 Team,1.0,0 days 00:01:32.720000,92.72,,0 days 00:00:31.435000,0 days 00:00:29.179000,MEDIUM,4.0,1.0,,,10.0,False,1
ALO,14,Aston Martin,1.0,0 days 00:01:33.340000,93.34,,0 days 00:00:32.049000,0 days 00:00:29.284000,MEDIUM,1.0,1.0,,,11.0,False,1
LAW,40,AlphaTauri,1.0,0 days 00:01:33.893000,93.893,,0 days 00:00:32.335000,0 days 00:00:29.410000,MEDIUM,4.0,1.0,,,12.0,False,1
SAR,2,Williams,1.0,0 days 00:01:34.407000,94.407,,0 days 00:00:32.159000,0 days 00:00:29.492000,MEDIUM,4.0,1.0,,,13.0,False,1
BOT,77,Alfa Romeo,1.0,0 days 00:01:34.811000,94.811,,0 days 00:00:32.732000,0 days 00:00:29.685000,HARD,4.0,1.0,,,14.0,False,1
ZHO,24,Alfa Romeo,1.0,0 days 00:01:35.194000,95.194,,0 days 00:00:32.414000,0 days 00:00:29.962000,MEDIUM,1.0,1.0,,,15.0,False,1
OCO,31,Alpine,1.0,0 days 00:01:35.655000,95.655,,0 days 00:00:32.271000,0 days 00:00:29.923000,MEDIUM,1.0,1.0,,,16.0,False,1
GAS,10,Alpine,1.0,0 days 00:01:35.974000,95.974,,0 days 00:00:32.313000,0 days 00:00:29.984000,MEDIUM,1.0,1.0,,,17.0,False,1
MAG,20,Haas F1 Team,1.0,0 days 00:01:36.466000,96.466,,0 days 00:00:32.419000,0 days 00:00:30.247000,HARD,5.0,1.0,,,18.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:36.787000,96.787,,0 days 00:00:32.640000,0 days 00:00:30.195000,MEDIUM,1.0,1.0,,,19.0,False,1
SAI,55,Ferrari,2.0,0 days 00:01:26.006000,86.006,0 days 00:00:28.266000,0 days 00:00:29.312000,0 days 00:00:28.428000,MEDIUM,2.0,1.0,,,1.0,True,1
VER,1,Red Bull Racing,2.0,0 days 00:01:26.163000,86.163,0 days 00:00:28.274000,0 days 00:00:29.543000,0 days 00:00:28.346000,MEDIUM,2.0,1.0,,,2.0,True,1
LEC,16,Ferrari,2.0,0 days 00:01:26.312000,86.312,0 days 00:00:28.155000,0 days 00:00:29.728000,0 days 00:00:28.429000,MEDIUM,2.0,1.0,,,3.0,True,1
RUS,63,Mercedes,2.0,0 days 00:01:26.686000,86.686,0 days 00:00:28.274000,0 days 00:00:29.786000,0 days 00:00:28.626000,MEDIUM,2.0,1.0,,,4.0,True,1
PER,11,Red Bull Racing,2.0,0 days 00:01:26.881000,86.881,0 days 00:00:28.473000,0 days 00:00:29.887000,0 days 00:00:28.521000,MEDIUM,2.0,1.0,,,5.0,True,1
ALB,23,Williams,2.0,0 days 00:01:27.067000,87.067,0 days 00:00:28.248000,0 days 00:00:30.336000,0 days 00:00:28.483000,MEDIUM,5.0,1.0,,,6.0,True,1
PIA,81,McLaren,2.0,0 days 00:01:28.053000,88.053,0 days 00:00:28.711000,0 days 00:00:30.778000,0 days 00:00:28.564000,MEDIUM,2.0,1.0,,,7.0,True,1
NOR,4,McLaren,2.0,0 days 00:01:27.575000,87.575,0 days 00:00:28.537000,0 days 00:00:30.360000,0 days 00:00:28.678000,MEDIUM,2.0,1.0,,,8.0,True,1
HAM,44,Mercedes,2.0,0 days 00:01:27.837000,87.837,0 days 00:00:28.509000,0 days 00:00:30.313000,0 days 00:00:29.015000,HARD,5.0,1.0,,,9.0,True,1
HUL,27,Haas F1 Team,2.0,0 days 00:01:27.920000,87.92,0 days 00:00:28.659000,0 days 00:00:30.195000,0 days 00:00:29.066000,MEDIUM,5.0,1.0,,,10.0,True,1
ALO,14,Aston Martin,2.0,0 days 00:01:28.012000,88.012,0 days 00:00:28.525000,0 days 00:00:30.380000,0 days 00:00:29.107000,MEDIUM,2.0,1.0,,,11.0,True,1
LAW,40,AlphaTauri,2.0,0 days 00:01:28.018000,88.018,0 days 00:00:28.272000,0 days 00:00:30.618000,0 days 00:00:29.128000,MEDIUM,5.0,1.0,,,12.0,True,1
SAR,2,Williams,2.0,0 days 00:01:28.080000,88.08,0 days 00:00:28.252000,0 days 00:00:30.443000,0 days 00:00:29.385000,MEDIUM,5.0,1.0,,,13.0,True,1
BOT,77,Alfa Romeo,2.0,0 days 00:01:28.032000,88.032,0 days 00:00:28.453000,0 days 00:00:30.353000,0 days 00:00:29.226000,HARD,5.0,1.0,,,14.0,True,1
ZHO,24,Alfa Romeo,2.0,0 days 00:01:28.167000,88.167,0 days 00:00:28.482000,0 days 00:00:30.515000,0 days 00:00:29.170000,MEDIUM,2.0,1.0,,,15.0,True,1
OCO,31,Alpine,2.0,0 days 00:01:28.667000,88.667,0 days 00:00:28.747000,0 days 00:00:30.479000,0 days 00:00:29.441000,MEDIUM,2.0,1.0,,,16.0,True,1
GAS,10,Alpine,2.0,0 days 00:01:28.696000,88.696,0 days 00:00:28.782000,0 days 00:00:30.575000,0 days 00:00:29.339000,MEDIUM,2.0,1.0,,,17.0,True,1
MAG,20,Haas F1 Team,2.0,0 days 00:01:28.923000,88.923,0 days 00:00:28.604000,0 days 00:00:30.826000,0 days 00:00:29.493000,HARD,6.0,1.0,,,18.0,True,1
STR,18,Aston Martin,2.0,0 days 00:01:28.953000,88.953,0 days 00:00:28.810000,0 days 00:00:30.757000,0 days 00:00:29.386000,MEDIUM,2.0,1.0,,,19.0,True,1
SAI,55,Ferrari,3.0,0 days 00:01:25.976000,85.976,0 days 00:00:28.262000,0 days 00:00:29.365000,0 days 00:00:28.349000,MEDIUM,3.0,1.0,,,1.0,True,1
VER,1,Red Bull Racing,3.0,0 days 00:01:25.702000,85.702,0 days 00:00:28.097000,0 days 00:00:29.320000,0 days 00:00:28.285000,MEDIUM,3.0,1.0,,,2.0,True,1
