Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,1,Red Bull Racing,1.0,0 days 00:02:00.179000,120.179,,0 days 00:00:49.276000,0 days 00:00:35.061000,MEDIUM,1.0,1.0,,,1.0,False,124
NOR,4,McLaren,1.0,0 days 00:02:03.324000,123.324,,0 days 00:00:51.197000,0 days 00:00:35.256000,MEDIUM,1.0,1.0,,,2.0,False,124
PIA,81,McLaren,1.0,0 days 00:02:04.940000,124.94,,0 days 00:00:53.066000,0 days 00:00:34.514000,MEDIUM,1.0,1.0,,,3.0,False,124
LEC,16,Ferrari,1.0,0 days 00:02:06.863000,126.863,,0 days 00:00:55.770000,0 days 00:00:32.985000,MEDIUM,1.0,1.0,,,4.0,False,124
SAI,55,Ferrari,1.0,0 days 00:02:07.963000,127.963,,0 days 00:00:56.733000,0 days 00:00:32.606000,MEDIUM,1.0,1.0,,,5.0,False,124
ALO,14,Aston Martin,1.0,0 days 00:02:09.194000,129.194,,0 days 00:00:58.215000,0 days 00:00:31.977000,SOFT,4.0,1.0,,,6.0,False,124
PER,11,Red Bull Racing,1.0,0 days 00:02:10.824000,130.824,,0 days 00:00:59.375000,0 days 00:00:31.834000,MEDIUM,1.0,1.0,,,7.0,False,124
HAM,44,Mercedes,1.0,0 days 00:02:11.543000,131.543,,0 days 00:01:01.711000,0 days 00:00:29.990000,MEDIUM,1.0,1.0,,,8.0,False,124
RUS,63,Mercedes,1.0,0 days 00:02:14.167000,134.167,,0 days 00:01:04.185000,0 days 00:00:29.601000,MEDIUM,1.0,1.0,,,9.0,False,124
LAW,40,AlphaTauri,1.0,0 days 00:02:16.700000,136.7,,0 days 00:01:06.413000,0 days 00:00:29.288000,SOFT,1.0,1.0,,,10.0,False,124
TSU,22,AlphaTauri,1.0,0 days 00:02:18.243000,138.243,,0 days 00:01:07.530000,0 days 00:00:29.748000,SOFT,4.0,1.0,,,11.0,False,124
STR,18,Aston Martin,1.0,0 days 00:02:19.493000,139.493,,0 days 00:01:08.163000,0 days 00:00:29.776000,SOFT,1.0,1.0,,,12.0,False,124
HUL,27,Haas F1 Team,1.0,0 days 00:02:21.615000,141.615,,0 days 00:01:10.005000,0 days 00:00:29.933000,SOFT,1.0,1.0,,,13.0,False,124
GAS,10,Alpine,1.0,0 days 00:02:22.428000,142.428,,0 days 00:01:12.048000,0 days 00:00:28.712000,MEDIUM,1.0,1.0,,,14.0,False,124
MAG,20,Haas F1 Team,1.0,0 days 00:02:23.466000,143.466,,0 days 00:01:12.761000,0 days 00:00:28.800000,MEDIUM,1.0,1.0,,,15.0,False,124
SAR,2,Williams,1.0,0 days 00:02:24.824000,144.824,,0 days 00:01:10.508000,0 days 00:00:27.853000,MEDIUM,1.0,1.0,0 days 01:03:12.844000,,16.0,False,124
ALB,23,Williams,1.0,0 days 00:02:25.855000,145.855,,0 days 00:01:11.816000,0 days 00:00:29.713000,MEDIUM,1.0,1.0,,0 days 01:05:28.529000,17.0,False,124
ZHO,24,Alfa Romeo,1.0,0 days 00:02:30.466000,150.466,,0 days 00:01:09.261000,0 days 00:00:31.676000,SOFT,1.0,1.0,,0 days 01:05:33.248000,18.0,False,124
OCO,31,Alpine,1.0,0 days 00:02:41.813000,161.813,,0 days 00:01:16.272000,0 days 00:00:35.229000,MEDIUM,1.0,1.0,,0 days 01:05:44.560000,19.0,False,124
BOT,77,Alfa Romeo,1.0,0 days 00:02:54.634000,174.634,,0 days 00:01:20.547000,0 days 00:00:37.325000,SOFT,1.0,1.0,,0 days 01:05:57.419000,20.0,False,124
OCO,31,Alpine,2.0,0 days 00:02:24.519000,144.519,0 days 00:01:08.474000,0 days 00:00:48.151000,0 days 00:00:27.894000,HARD,1.0,2.0,0 days 01:06:11.528000,,16.0,False,4
BOT,77,Alfa Romeo,3.0,0 days 00:02:20.615000,140.615,0 days 00:00:52.496000,0 days 00:00:55.724000,0 days 00:00:32.395000,SOFT,2.0,2.0,,,20.0,True,4
VER,1,Red Bull Racing,5.0,0 days 00:01:36.748000,96.748,0 days 00:00:34.900000,0 days 00:00:42.960000,0 days 00:00:18.888000,MEDIUM,5.0,1.0,,,1.0,True,1
NOR,4,McLaren,5.0,0 days 00:01:37.660000,97.66,0 days 00:00:35.358000,0 days 00:00:43.164000,0 days 00:00:19.138000,MEDIUM,5.0,1.0,,,2.0,True,1
