pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,43,97.182,97.592,94.183,1.017,0.0
2,NOR,McLaren,4,43,97.497,97.728,95.247,1.083,0.315
3,LEC,Ferrari,16,43,98.153,98.166,96.362,0.893,0.971
4,HAM,Mercedes,44,43,98.152,98.333,95.611,0.992,0.97
5,PIA,McLaren,81,43,98.036,98.44,96.328,0.892,0.854
6,OCO,Alpine,31,44,99.165,98.575,97.398,1.256,1.983
7,SAI,Ferrari,55,43,98.271,98.588,96.187,1.027,1.089
8,HUL,Haas F1 Team,27,40,98.824,98.605,97.25,1.08,1.642
9,ALO,Aston Martin,14,43,98.77,98.637,97.203,1.015,1.588
10,ZHO,Alfa Romeo,24,41,99.232,98.649,97.791,1.044,2.05
11,GAS,Alpine,10,43,98.76,98.656,96.371,1.38,1.578
12,LAW,AlphaTauri,40,42,99.27,98.81,98.267,0.905,2.088
13,RUS,Mercedes,63,45,98.842,98.88,97.653,0.764,1.66
14,MAG,Haas F1 Team,20,42,99.275,99.248,97.842,0.94,2.093
15,TSU,AlphaTauri,22,42,99.327,99.286,97.768,1.112,2.145
16,STR,Aston Martin,18,13,99.975,100.082,99.05,0.497,2.793
17,ALB,Williams,23,18,100.386,100.312,99.185,0.622,3.204
18,PER,Red Bull Racing,11,7,100.384,100.466,99.704,0.452,3.202
19,SAR,Williams,2,13,100.748,100.619,98.848,1.192,3.566
20,BOT,Alfa Romeo,77,2,131.685,131.685,122.755,12.629,34.503
