Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,1,Red Bull Racing,1.0,0 days 00:01:45.670000,105.67,,0 days 00:00:33.497000,0 days 00:00:38.249000,MEDIUM,1.0,1.0,,,1.0,False,126
LEC,16,Ferrari,1.0,0 days 00:01:47.347000,107.347,,0 days 00:00:34.387000,0 days 00:00:38.540000,MEDIUM,1.0,1.0,,,2.0,False,126
RUS,63,Mercedes,1.0,0 days 00:01:48.990000,108.99,,0 days 00:00:34.813000,0 days 00:00:38.966000,MEDIUM,1.0,1.0,,,3.0,False,126
GAS,10,Alpine,1.0,0 days 00:01:50.543000,110.543,,0 days 00:00:34.683000,0 days 00:00:39.870000,MEDIUM,1.0,1.0,,,4.0,False,126
ALB,23,Williams,1.0,0 days 00:01:52.364000,112.364,,0 days 00:00:34.851000,0 days 00:00:40.922000,MEDIUM,1.0,1.0,,,5.0,False,126
SAR,2,Williams,1.0,0 days 00:01:55.541000,115.541,,0 days 00:00:35.567000,0 days 00:00:42.615000,MEDIUM,1.0,1.0,,,6.0,False,126
MAG,20,Haas F1 Team,1.0,0 days 00:01:56.721000,116.721,,0 days 00:00:35.629000,0 days 00:00:44.158000,MEDIUM,1.0,1.0,,,7.0,False,126
OCO,31,Alpine,1.0,0 days 00:01:58.932000,118.932,,0 days 00:00:35.428000,0 days 00:00:45.431000,MEDIUM,1.0,1.0,,,8.0,False,126
STR,18,Aston Martin,1.0,0 days 00:01:59.754000,119.754,,0 days 00:00:35.290000,0 days 00:00:45.949000,SOFT,5.0,1.0,,,9.0,False,126
HUL,27,Haas F1 Team,1.0,0 days 00:02:02.459000,122.459,,0 days 00:00:36.120000,0 days 00:00:46.695000,MEDIUM,1.0,1.0,,,10.0,False,126
PER,11,Red Bull Racing,1.0,0 days 00:02:04.700000,124.7,,0 days 00:00:36.193000,0 days 00:00:49.250000,MEDIUM,1.0,1.0,,0 days 00:16:04.197000,11.0,False,126
