Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALO,Aston Martin,1,2,MEDIUM,HARD
BOT,Alfa Romeo,1,2,MEDIUM,HARD
PER,Red Bull Racing,1,2,MEDIUM,HARD
SAI,Ferrari,3,6,MEDIUM,HARD
STR,Aston Martin,3,6,SOFT,HARD
TSU,AlphaTauri,10,11,SOFT,MEDIUM
HUL,Haas F1 Team,12,13,MEDIUM,HARD
MAG,Haas F1 Team,14,15,MEDIUM,HARD
RUS,Mercedes,15,16,MEDIUM,HARD
SAR,Williams,15,16,MEDIUM,HARD
ALB,Williams,16,17,MEDIUM,HARD
PIA,McLaren,16,17,HARD,HARD
VER,Red Bull Racing,16,17,MEDIUM,HARD
GAS,Alpine,17,18,MEDIUM,HARD
HAM,Mercedes,17,18,HARD,MEDIUM
RIC,AlphaTauri,17,18,MEDIUM,HARD
OCO,Alpine,20,21,MEDIUM,HARD
LEC,Ferrari,21,22,MEDIUM,HARD
TSU,AlphaTauri,21,22,MEDIUM,HARD
BOT,Alfa Romeo,24,25,HARD,MEDIUM
ALO,Aston Martin,26,29,HARD,HARD
HAM,Mercedes,26,27,MEDIUM,HARD
HUL,Haas F1 Team,26,27,HARD,HARD
MAG,Haas F1 Team,26,29,HARD,HARD
PER,Red Bull Racing,26,29,HARD,HARD
RUS,Mercedes,26,29,HARD,HARD
SAI,Ferrari,26,29,HARD,HARD
STR,Aston Martin,26,29,HARD,HARD
VER,Red Bull Racing,26,29,HARD,HARD
ZHO,Alfa Romeo,26,29,HARD,MEDIUM
PIA,McLaren,43,44,HARD,MEDIUM
