pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,61,82.672,82.418,81.644,0.612,0.0
2,HAM,Mercedes,44,62,83.128,83.036,81.334,0.77,0.456
3,LEC,Ferrari,16,62,83.259,83.116,82.332,0.515,0.587
4,SAI,Ferrari,55,62,83.41,83.178,82.539,0.633,0.738
5,NOR,McLaren,4,62,83.416,83.34,81.944,0.835,0.744
6,RUS,Mercedes,63,63,83.699,83.435,82.78,0.735,1.027
7,PIA,McLaren,81,63,83.68,83.471,82.76,0.655,1.008
8,RIC,AlphaTauri,3,62,83.666,83.54,82.679,0.649,0.994
9,TSU,AlphaTauri,22,63,84.187,83.923,82.501,1.639,1.515
10,ALB,Williams,23,64,84.193,84.065,82.773,0.97,1.521
11,SAR,Williams,2,62,84.599,84.258,83.003,1.265,1.927
12,GAS,Alpine,10,63,84.3,84.274,83.23,0.651,1.628
13,ZHO,Alfa Romeo,24,63,84.568,84.377,83.567,0.716,1.896
14,HUL,Haas F1 Team,27,63,84.502,84.408,83.222,0.844,1.83
15,OCO,Alpine,31,65,84.726,84.487,82.976,1.34,2.054
16,BOT,Alfa Romeo,77,63,84.679,84.517,83.166,0.902,2.007
17,STR,Aston Martin,18,57,84.706,84.6,83.257,1.183,2.034
18,MAG,Haas F1 Team,20,27,84.952,85.139,83.146,0.736,2.28
19,ALO,Aston Martin,14,39,85.585,85.212,83.531,1.99,2.913
