stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VER,Red Bull Racing,MEDIUM,4.0,53.0,57.0,5,85.135,85.223,84.319
2,NOR,McLaren,HARD,4.0,46.0,57.0,12,85.166,85.214,84.842
3,PIA,McLaren,HARD,4.0,45.0,57.0,13,85.288,85.326,84.921
4,VER,Red Bull Racing,HARD,3.0,36.0,50.0,15,85.901,85.88,85.475
5,RUS,Mercedes,HARD,4.0,34.0,49.0,16,86.177,86.097,85.77
6,LEC,Ferrari,MEDIUM,4.0,45.0,57.0,13,86.222,86.005,84.992
7,NOR,McLaren,MEDIUM,3.0,29.0,43.0,15,86.283,86.202,85.685
8,ALO,Aston Martin,MEDIUM,4.0,46.0,57.0,12,86.367,86.294,86.045
9,ZHO,Alfa Romeo,SOFT,4.0,54.0,57.0,4,86.688,86.692,86.323
10,PIA,McLaren,MEDIUM,3.0,27.0,42.0,16,86.708,86.505,86.234
11,ZHO,Alfa Romeo,HARD,3.0,37.0,51.0,15,86.971,86.911,86.534
12,RUS,Mercedes,SOFT,5.0,52.0,57.0,6,87.046,86.614,85.804
13,OCO,Alpine,MEDIUM,4.0,45.0,57.0,13,87.07,86.887,86.458
14,BOT,Alfa Romeo,HARD,4.0,41.0,57.0,17,87.115,87.122,86.652
15,GAS,Alpine,MEDIUM,4.0,46.0,57.0,12,87.128,86.597,85.793
16,ALB,Williams,HARD,4.0,46.0,57.0,12,87.132,87.229,86.666
17,LEC,Ferrari,HARD,3.0,27.0,42.0,16,87.139,87.16,86.513
18,PER,Red Bull Racing,MEDIUM,4.0,45.0,57.0,13,87.177,87.013,86.22
19,STR,Aston Martin,MEDIUM,4.0,41.0,57.0,17,87.274,87.096,86.352
20,PER,Red Bull Racing,MEDIUM,3.0,33.0,42.0,10,87.344,87.342,86.735
21,ALB,Williams,HARD,3.0,33.0,43.0,11,87.485,87.409,86.959
