pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,60,75.248,75.389,73.422,0.802,0.0
2,NOR,McLaren,4,60,75.32,75.562,72.486,0.984,0.072
3,PER,Red Bull Racing,11,60,75.663,75.785,74.124,0.812,0.415
4,GAS,Alpine,10,60,75.953,75.846,74.521,0.953,0.705
5,ALO,Aston Martin,14,60,75.696,75.918,74.442,0.697,0.448
6,STR,Aston Martin,18,60,75.764,75.936,74.007,0.989,0.516
7,SAI,Ferrari,55,60,75.924,75.966,74.406,0.905,0.676
8,TSU,AlphaTauri,22,60,76.044,76.104,74.231,0.815,0.796
9,RIC,AlphaTauri,3,59,75.997,76.126,73.866,0.905,0.749
10,HAM,Mercedes,44,60,76.096,76.193,74.739,0.68,0.848
11,OCO,Alpine,31,58,76.117,76.197,74.206,0.839,0.869
12,PIA,McLaren,81,58,76.16,76.31,74.31,0.984,0.912
13,SAR,Williams,2,59,76.63,76.648,75.738,0.59,1.382
14,RUS,Mercedes,63,46,76.541,76.649,74.934,0.6,1.293
15,HUL,Haas F1 Team,27,59,76.628,76.781,75.036,0.985,1.38
16,BOT,Alfa Romeo,77,31,77.008,76.94,75.731,0.49,1.76
17,ZHO,Alfa Romeo,24,15,77.129,77.043,76.232,0.491,1.881
