Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
PIA,McLaren,1,2,MEDIUM,HARD
NOR,McLaren,2,3,SOFT,HARD
MAG,Haas F1 Team,8,9,MEDIUM,HARD
BOT,Alfa Romeo,9,10,MEDIUM,HARD
HUL,Haas F1 Team,11,12,MEDIUM,HARD
ZHO,Alfa Romeo,11,12,MEDIUM,HARD
STR,Aston Martin,13,14,MEDIUM,HARD
GAS,Alpine,14,15,MEDIUM,HARD
SAI,Ferrari,15,16,MEDIUM,HARD
LEC,Ferrari,16,17,SOFT,HARD
OCO,Alpine,16,17,MEDIUM,HARD
ALB,Williams,17,19,MEDIUM,HARD
BOT,Alfa Romeo,17,19,HARD,MEDIUM
DEV,AlphaTauri,17,18,MEDIUM,HARD
TSU,AlphaTauri,17,18,MEDIUM,HARD
ALO,Aston Martin,18,21,MEDIUM,HARD
HAM,Mercedes,18,21,HARD,MEDIUM
PER,Red Bull Racing,18,21,MEDIUM,HARD
RUS,Mercedes,18,21,MEDIUM,HARD
SAR,Williams,18,19,HARD,MEDIUM
VER,Red Bull Racing,18,21,MEDIUM,HARD
ZHO,Alfa Romeo,18,19,HARD,MEDIUM
NOR,McLaren,19,20,HARD,MEDIUM
BOT,Alfa Romeo,35,36,MEDIUM,SOFT
