Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ZHO,Alfa Romeo,2,3,SOFT,HARD
SAR,Williams,19,21,MEDIUM,HARD
ALB,Williams,20,22,MEDIUM,HARD
ALO,Aston Martin,20,22,MEDIUM,HARD
GAS,Alpine,20,22,MEDIUM,HARD
HAM,Mercedes,20,22,MEDIUM,HARD
HUL,Haas F1 Team,20,22,MEDIUM,HARD
LAW,AlphaTauri,20,22,MEDIUM,HARD
LEC,Ferrari,20,22,SOFT,HARD
MAG,Haas F1 Team,20,22,MEDIUM,HARD
NOR,McLaren,20,22,MEDIUM,HARD
OCO,Alpine,20,22,MEDIUM,HARD
PIA,McLaren,20,22,MEDIUM,HARD
RUS,Mercedes,20,22,MEDIUM,HARD
SAI,Ferrari,20,23,MEDIUM,HARD
ZHO,Alfa Romeo,20,22,HARD,MEDIUM
PER,Red Bull Racing,39,40,HARD,MEDIUM
BOT,Alfa Romeo,40,41,HARD,MEDIUM
VER,Red Bull Racing,40,41,HARD,MEDIUM
ALB,Williams,43,45,HARD,MEDIUM
MAG,Haas F1 Team,43,45,HARD,SOFT
SAR,Williams,43,45,HARD,MEDIUM
ALO,Aston Martin,44,45,HARD,SOFT
HAM,Mercedes,44,45,HARD,MEDIUM
RUS,Mercedes,44,45,HARD,MEDIUM
