Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,1,Red Bull Racing,1.0,0 days 00:01:23.935000,83.935,,0 days 00:00:32.084000,0 days 00:00:23.926000,MEDIUM,1.0,1.0,,,1.0,False,1
SAI,55,Ferrari,1.0,0 days 00:01:25.014000,85.014,,0 days 00:00:32.553000,0 days 00:00:24.119000,SOFT,4.0,1.0,,,2.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:25.739000,85.739,,0 days 00:00:32.697000,0 days 00:00:24.197000,SOFT,4.0,1.0,,,3.0,False,1
HAM,44,Mercedes,1.0,0 days 00:01:26.376000,86.376,,0 days 00:00:33.216000,0 days 00:00:24.402000,SOFT,4.0,1.0,,,4.0,False,1
OCO,31,Alpine,1.0,0 days 00:01:27.129000,87.129,,0 days 00:00:33.346000,0 days 00:00:24.590000,SOFT,4.0,1.0,,,5.0,False,1
ALO,14,Aston Martin,1.0,0 days 00:01:28.039000,88.039,,0 days 00:00:33.951000,0 days 00:00:24.489000,SOFT,4.0,1.0,,,6.0,False,1
RUS,63,Mercedes,1.0,0 days 00:01:28.534000,88.534,,0 days 00:00:34.021000,0 days 00:00:24.555000,SOFT,1.0,1.0,,,7.0,False,1
HUL,27,Haas F1 Team,1.0,0 days 00:01:29.133000,89.133,,0 days 00:00:34.586000,0 days 00:00:24.855000,SOFT,4.0,1.0,,,8.0,False,1
ZHO,24,Alfa Romeo,1.0,0 days 00:01:29.482000,89.482,,0 days 00:00:34.370000,0 days 00:00:24.943000,SOFT,1.0,1.0,,,9.0,False,1
PIA,81,McLaren,1.0,0 days 00:01:30.075000,90.075,,0 days 00:00:34.839000,0 days 00:00:24.987000,SOFT,3.0,1.0,,,10.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:30.355000,90.355,,0 days 00:00:34.725000,0 days 00:00:25.147000,MEDIUM,1.0,1.0,,,11.0,False,1
TSU,22,AlphaTauri,1.0,0 days 00:01:30.844000,90.844,,0 days 00:00:34.697000,0 days 00:00:25.458000,SOFT,1.0,1.0,,,12.0,False,1
MAG,20,Haas F1 Team,1.0,0 days 00:01:31.193000,91.193,,0 days 00:00:34.606000,0 days 00:00:25.414000,SOFT,1.0,1.0,,,13.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:31.428000,91.428,,0 days 00:00:34.052000,0 days 00:00:28.208000,SOFT,3.0,1.0,,0 days 01:03:44.836000,14.0,False,1
GAS,10,Alpine,1.0,0 days 00:01:31.543000,91.543,,0 days 00:00:35.264000,0 days 00:00:25.363000,SOFT,4.0,1.0,,,15.0,False,1
DEV,21,AlphaTauri,1.0,0 days 00:01:31.797000,91.797,,0 days 00:00:35.153000,0 days 00:00:25.236000,SOFT,1.0,1.0,,,16.0,False,1
ALB,23,Williams,1.0,0 days 00:01:32.275000,92.275,,0 days 00:00:35.248000,0 days 00:00:25.235000,SOFT,1.0,1.0,,,17.0,False,1
