pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,PER,Red Bull Racing,11,44,107.962,107.806,107.013,0.565,0.046
2,PIA,McLaren,81,45,107.916,107.817,107.06,0.521,0.0
3,SAI,Ferrari,55,44,107.93,107.852,106.866,0.741,0.014
4,LEC,Ferrari,16,45,107.98,107.893,107.067,0.532,0.064
5,RUS,Mercedes,63,45,108.176,108.224,106.628,0.984,0.26
6,VER,Red Bull Racing,1,43,108.264,108.299,106.798,0.792,0.348
7,HAM,Mercedes,44,44,108.714,108.545,107.236,0.982,0.798
8,HUL,Haas F1 Team,27,45,108.823,108.637,107.691,0.781,0.907
9,BEA,Haas F1 Team,50,45,108.963,108.703,107.048,1.166,1.047
10,NOR,McLaren,4,45,108.196,108.888,105.255,1.52,0.28
11,ALO,Aston Martin,14,45,108.785,109.047,107.057,0.886,0.869
12,ALB,Williams,23,45,108.786,109.115,106.947,0.968,0.87
13,COL,Williams,43,45,109.001,109.148,107.274,0.796,1.085
14,STR,Aston Martin,18,38,109.384,109.408,108.148,0.783,1.468
15,RIC,RB,3,45,109.769,109.436,108.38,1.144,1.853
16,GAS,Alpine,10,46,109.473,109.559,108.018,0.856,1.557
17,BOT,Kick Sauber,77,44,109.989,109.666,108.418,1.352,2.073
18,OCO,Alpine,31,44,110.191,110.053,108.831,0.949,2.275
19,ZHO,Kick Sauber,24,44,109.766,110.078,107.644,1.283,1.85
20,TSU,RB,22,10,111.986,111.463,110.887,1.151,4.07
