pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,50,95.593,95.41,92.608,1.04,0.0
2,SAI,Ferrari,55,50,96.018,96.096,94.507,0.993,0.425
3,PER,Red Bull Racing,11,50,95.964,96.188,94.364,0.986,0.371
4,RUS,Mercedes,63,50,96.409,96.423,95.065,0.84,0.816
5,NOR,McLaren,4,50,96.396,96.536,94.476,0.966,0.803
6,HAM,Mercedes,44,50,96.415,96.572,94.722,1.08,0.822
7,PIA,McLaren,81,50,96.464,96.61,94.774,0.99,0.871
8,STR,Aston Martin,18,50,97.054,96.728,95.632,0.871,1.461
9,LEC,Ferrari,16,50,96.281,96.748,94.09,1.05,0.688
10,HUL,Haas F1 Team,27,47,96.725,96.784,94.834,0.937,1.132
11,ALO,Aston Martin,14,50,96.845,97.15,94.199,1.349,1.252
12,ZHO,Kick Sauber,24,49,97.319,97.383,95.458,0.77,1.726
13,TSU,RB,22,49,97.425,97.498,95.833,0.881,1.832
14,SAR,Williams,2,46,97.397,97.514,94.735,1.507,1.804
15,GAS,Alpine,10,47,97.217,97.521,94.805,1.313,1.624
16,MAG,Haas F1 Team,20,49,97.377,97.59,95.57,0.986,1.784
17,RIC,RB,3,49,97.343,97.7,95.163,1.21,1.75
18,BOT,Kick Sauber,77,49,97.636,97.73,96.202,0.896,2.043
19,ALB,Williams,23,49,97.476,97.767,95.723,1.075,1.883
20,OCO,Alpine,31,49,97.746,97.784,96.226,0.895,2.153
