Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HUL,Haas F1 Team,1,2,SOFT,HARD
STR,Aston Martin,9,10,SOFT,HARD
ZHO,Kick Sauber,9,10,SOFT,HARD
OCO,Alpine,10,11,SOFT,HARD
LEC,Ferrari,11,12,SOFT,HARD
MAG,Haas F1 Team,11,12,SOFT,HARD
RUS,Mercedes,11,12,SOFT,HARD
BOT,Kick Sauber,12,13,SOFT,HARD
GAS,Alpine,12,13,SOFT,HARD
HAM,Mercedes,12,13,SOFT,HARD
PER,Red Bull Racing,12,13,SOFT,HARD
PIA,McLaren,12,13,SOFT,HARD
NOR,McLaren,13,14,SOFT,HARD
RIC,RB,13,14,SOFT,HARD
SAI,Ferrari,14,15,SOFT,HARD
TSU,RB,14,15,SOFT,HARD
ALB,Williams,15,16,SOFT,HARD
ALO,Aston Martin,15,16,SOFT,HARD
VER,Red Bull Racing,17,18,SOFT,HARD
HUL,Haas F1 Team,20,21,HARD,HARD
STR,Aston Martin,27,28,HARD,HARD
SAR,Williams,28,29,HARD,HARD
ZHO,Kick Sauber,28,29,HARD,HARD
BOT,Kick Sauber,30,32,HARD,HARD
OCO,Alpine,30,31,HARD,HARD
GAS,Alpine,31,32,HARD,HARD
RUS,Mercedes,31,32,HARD,HARD
MAG,Haas F1 Team,32,33,HARD,HARD
HAM,Mercedes,33,34,HARD,HARD
NOR,McLaren,33,34,HARD,HARD
LEC,Ferrari,34,35,HARD,HARD
PIA,McLaren,34,35,HARD,HARD
TSU,RB,34,35,HARD,HARD
RIC,RB,35,36,HARD,SOFT
SAI,Ferrari,35,36,HARD,HARD
ALB,Williams,36,37,HARD,HARD
PER,Red Bull Racing,36,37,HARD,SOFT
VER,Red Bull Racing,37,38,HARD,SOFT
SAR,Williams,40,41,HARD,SOFT
ALO,Aston Martin,41,42,HARD,HARD
HUL,Haas F1 Team,41,42,HARD,SOFT
GAS,Alpine,43,44,HARD,SOFT
