stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VER,Red Bull Racing,SOFT,3.0,39.0,57.0,19,94.685,94.667,92.608
2,PER,Red Bull Racing,SOFT,3.0,38.0,57.0,20,94.987,94.864,94.364
3,ALO,Aston Martin,HARD,3.0,43.0,57.0,15,94.992,95.014,94.199
4,SAI,Ferrari,HARD,3.0,37.0,57.0,21,95.052,95.083,94.507
5,LEC,Ferrari,HARD,3.0,36.0,57.0,22,95.222,95.206,94.09
6,HAM,Mercedes,HARD,3.0,35.0,57.0,23,95.414,95.479,94.722
7,GAS,Alpine,SOFT,4.0,45.0,56.0,12,95.473,95.4,94.805
8,HUL,Haas F1 Team,SOFT,4.0,43.0,56.0,14,95.493,95.56,94.834
9,PIA,McLaren,HARD,3.0,36.0,57.0,22,95.506,95.358,94.774
10,NOR,McLaren,HARD,3.0,35.0,57.0,23,95.527,95.485,94.476
11,VER,Red Bull Racing,HARD,2.0,19.0,36.0,18,95.58,95.529,95.16
12,RUS,Mercedes,HARD,3.0,33.0,57.0,25,95.72,95.805,95.065
13,SAR,Williams,SOFT,4.0,42.0,55.0,14,95.977,95.814,94.735
14,RIC,RB,SOFT,3.0,37.0,56.0,20,96.149,95.738,95.163
15,SAI,Ferrari,HARD,2.0,16.0,34.0,19,96.279,96.236,95.507
16,PER,Red Bull Racing,HARD,2.0,14.0,35.0,22,96.281,96.294,95.606
17,ALB,Williams,HARD,3.0,38.0,56.0,19,96.287,96.129,95.723
18,STR,Aston Martin,HARD,3.0,29.0,57.0,29,96.432,96.353,95.632
19,MAG,Haas F1 Team,HARD,3.0,34.0,56.0,23,96.501,96.349,95.57
20,GAS,Alpine,HARD,3.0,33.0,42.0,10,96.541,96.596,96.112
21,TSU,RB,HARD,3.0,36.0,56.0,20,96.559,96.475,95.833
22,SAR,Williams,HARD,3.0,30.0,39.0,10,96.675,96.722,95.715
23,NOR,McLaren,HARD,2.0,15.0,32.0,18,96.767,96.728,96.416
24,HUL,Haas F1 Team,HARD,3.0,22.0,40.0,18,96.826,96.754,96.548
25,ZHO,Kick Sauber,HARD,3.0,30.0,56.0,27,96.856,96.741,95.458
26,HAM,Mercedes,HARD,2.0,14.0,32.0,19,96.886,96.85,96.264
27,LEC,Ferrari,HARD,2.0,13.0,33.0,21,96.898,96.831,96.432
28,PIA,McLaren,HARD,2.0,14.0,33.0,20,96.898,96.883,96.427
29,VER,Red Bull Racing,SOFT,1.0,2.0,16.0,13,96.937,97.028,96.296
30,RUS,Mercedes,HARD,2.0,13.0,30.0,18,96.973,96.925,96.234
31,BOT,Kick Sauber,HARD,3.0,32.0,56.0,25,97.037,96.819,96.202
32,OCO,Alpine,HARD,3.0,32.0,56.0,25,97.087,96.887,96.226
33,ALO,Aston Martin,HARD,2.0,17.0,40.0,24,97.299,97.229,96.799
34,RUS,Mercedes,SOFT,1.0,2.0,10.0,7,97.42,97.738,96.406
35,PER,Red Bull Racing,SOFT,1.0,2.0,11.0,8,97.533,97.676,96.541
36,SAI,Ferrari,SOFT,1.0,2.0,13.0,10,97.554,97.629,97.08
37,ZHO,Kick Sauber,HARD,2.0,11.0,27.0,17,97.663,97.749,96.365
38,TSU,RB,HARD,2.0,16.0,33.0,18,97.703,97.718,97.359
39,STR,Aston Martin,HARD,2.0,11.0,26.0,16,97.752,97.842,96.494
40,HUL,Haas F1 Team,HARD,2.0,3.0,19.0,15,97.753,97.801,97.317
41,LEC,Ferrari,SOFT,1.0,2.0,10.0,7,97.76,97.844,96.862
42,RIC,RB,HARD,2.0,15.0,34.0,20,97.842,97.966,97.07
43,NOR,McLaren,SOFT,1.0,2.0,12.0,9,97.875,97.896,97.45
44,ALB,Williams,HARD,2.0,17.0,35.0,19,97.956,97.968,97.392
45,BOT,Kick Sauber,HARD,2.0,14.0,29.0,16,97.962,98.072,96.454
46,MAG,Haas F1 Team,HARD,2.0,13.0,31.0,19,97.97,98.04,96.89
47,PIA,McLaren,SOFT,1.0,3.0,10.0,8,98.01,97.97,97.859
48,GAS,Alpine,HARD,2.0,14.0,30.0,17,98.081,98.094,97.492
49,HAM,Mercedes,SOFT,1.0,2.0,11.0,8,98.172,98.228,97.839
50,OCO,Alpine,HARD,2.0,12.0,29.0,17,98.23,98.372,97.363
51,ALO,Aston Martin,SOFT,1.0,2.0,14.0,11,98.382,98.543,97.776
52,STR,Aston Martin,SOFT,1.0,2.0,7.0,5,98.425,98.364,97.987
53,SAR,Williams,HARD,2.0,12.0,27.0,14,98.465,98.043,97.594
54,TSU,RB,SOFT,1.0,2.0,13.0,11,98.543,98.513,98.31
55,ZHO,Kick Sauber,SOFT,1.0,2.0,6.0,5,98.643,98.582,98.428
56,MAG,Haas F1 Team,SOFT,1.0,2.0,10.0,7,98.646,98.576,98.399
57,ALB,Williams,SOFT,1.0,2.0,13.0,11,98.7,98.66,98.422
58,GAS,Alpine,SOFT,1.0,2.0,11.0,8,98.842,98.836,98.503
59,BOT,Kick Sauber,SOFT,1.0,2.0,11.0,8,98.858,98.902,98.259
60,RIC,RB,SOFT,1.0,3.0,12.0,9,98.889,98.782,98.61
61,SAR,Williams,SOFT,1.0,2.0,9.0,8,98.916,98.732,98.39
62,OCO,Alpine,SOFT,1.0,2.0,9.0,7,98.924,98.874,98.625
