pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,LEC,Ferrari,16,62,83.525,83.154,82.182,0.8,0.245
2,PIA,McLaren,81,62,83.28,83.22,81.716,0.838,0.0
3,RUS,Mercedes,63,62,83.793,83.223,80.305,1.499,0.513
4,HAM,Mercedes,44,62,83.468,83.319,82.153,0.712,0.188
5,PER,Red Bull Racing,11,62,83.674,83.341,81.096,1.47,0.394
6,NOR,McLaren,4,62,83.294,83.456,81.712,0.898,0.014
7,VER,Red Bull Racing,1,62,83.548,83.5,80.908,0.969,0.268
8,SAI,Ferrari,55,62,83.541,83.666,81.441,0.958,0.261
9,ALO,Aston Martin,14,62,84.447,84.332,83.063,0.869,1.167
10,STR,Aston Martin,18,62,84.29,84.441,82.338,1.028,1.01
11,TSU,RB,22,64,84.598,84.544,83.533,0.744,1.318
12,RIC,RB,3,61,84.678,84.81,82.64,1.007,1.398
13,HUL,Haas F1 Team,27,61,84.81,84.829,83.461,0.876,1.53
14,ALB,Williams,23,61,84.914,84.86,83.93,0.708,1.634
15,OCO,Alpine,31,59,84.898,84.861,81.61,0.944,1.618
16,SAR,Williams,2,59,84.844,85.047,80.561,1.174,1.564
17,BOT,Kick Sauber,77,61,85.058,85.161,82.792,0.955,1.778
18,MAG,Haas F1 Team,20,61,85.035,85.287,83.553,0.859,1.755
19,ZHO,Kick Sauber,24,61,85.242,85.396,83.487,0.936,1.962
20,GAS,Alpine,10,27,85.517,85.692,83.34,0.815,2.237
