pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,43,97.399,97.121,95.48,1.282,0.0
2,LEC,Ferrari,16,43,97.551,97.295,95.674,1.188,0.152
3,SAI,Ferrari,55,43,97.505,97.514,95.875,1.177,0.106
4,VER,Red Bull Racing,1,43,97.662,97.59,96.248,0.873,0.263
5,RUS,Mercedes,63,43,97.455,97.609,95.717,0.852,0.056
6,PER,Red Bull Racing,11,43,98.352,98.112,96.326,1.287,0.953
7,PIA,McLaren,81,43,98.184,98.127,96.598,0.902,0.785
8,NOR,McLaren,4,41,97.83,98.165,94.876,1.411,0.431
9,COL,Williams,43,42,98.607,98.268,96.867,1.343,1.208
10,HUL,Haas F1 Team,27,43,98.474,98.372,96.585,1.194,1.075
11,TSU,RB,22,43,98.523,98.387,96.957,0.894,1.124
12,ALO,Aston Martin,14,43,98.575,98.437,96.553,0.962,1.176
13,STR,Aston Martin,18,43,98.533,98.562,97.179,0.873,1.134
14,MAG,Haas F1 Team,20,45,98.962,98.696,96.557,1.517,1.563
15,OCO,Alpine,31,41,99.058,99.029,96.511,0.853,1.659
16,ZHO,Kick Sauber,24,43,98.651,99.144,96.324,1.252,1.252
17,ALB,Williams,23,20,99.267,99.179,98.008,0.758,1.868
18,LAW,RB,30,43,99.029,99.249,96.98,1.134,1.63
19,BOT,Kick Sauber,77,42,99.25,99.4,96.601,1.551,1.851
20,GAS,Alpine,10,11,99.768,99.635,98.314,1.05,2.369
