stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,NOR,McLaren,SOFT,4.0,50.0,50.0,1,94.876,94.876,94.876
2,LEC,Ferrari,HARD,3.0,33.0,50.0,18,96.45,96.309,95.674
3,HAM,Mercedes,HARD,3.0,29.0,50.0,22,96.494,96.342,95.48
4,NOR,McLaren,HARD,3.0,32.0,47.0,16,96.508,96.404,95.527
5,SAI,Ferrari,HARD,3.0,30.0,50.0,21,96.521,96.467,95.875
6,RUS,Mercedes,HARD,3.0,34.0,50.0,17,96.614,96.407,95.717
7,OCO,Alpine,SOFT,4.0,47.0,49.0,3,96.908,96.649,96.511
8,VER,Red Bull Racing,HARD,3.0,29.0,50.0,22,97.011,96.99,96.248
9,ZHO,Kick Sauber,HARD,3.0,36.0,50.0,15,97.091,97.003,96.324
10,PER,Red Bull Racing,HARD,3.0,34.0,50.0,17,97.211,97.037,96.326
11,LAW,RB,HARD,3.0,40.0,50.0,11,97.314,97.279,96.98
12,HUL,Haas F1 Team,HARD,3.0,35.0,50.0,16,97.371,97.527,96.585
13,BOT,Kick Sauber,HARD,3.0,37.0,49.0,13,97.581,97.092,96.601
14,PIA,McLaren,HARD,3.0,27.0,50.0,24,97.588,97.584,96.598
15,HAM,Mercedes,HARD,2.0,15.0,26.0,12,97.621,97.339,97.055
16,RUS,Mercedes,HARD,2.0,14.0,31.0,18,97.774,97.732,97.359
17,TSU,RB,HARD,3.0,31.0,50.0,20,97.817,97.889,96.957
18,COL,Williams,HARD,3.0,28.0,50.0,23,97.863,97.959,96.867
19,STR,Aston Martin,HARD,3.0,30.0,50.0,21,97.897,97.828,97.179
20,ALO,Aston Martin,HARD,3.0,26.0,50.0,25,97.941,97.924,96.553
21,VER,Red Bull Racing,HARD,2.0,13.0,26.0,14,98.023,97.997,97.524
22,SAI,Ferrari,HARD,2.0,13.0,26.0,14,98.067,97.932,97.477
23,LEC,Ferrari,HARD,2.0,11.0,30.0,20,98.23,98.154,97.13
24,MAG,Haas F1 Team,HARD,2.0,19.0,50.0,32,98.235,97.996,96.557
25,COL,Williams,MEDIUM,2.0,18.0,25.0,8,98.3,98.135,97.866
26,PER,Red Bull Racing,MEDIUM,2.0,19.0,31.0,13,98.326,98.112,97.883
27,RUS,Mercedes,MEDIUM,1.0,4.0,11.0,8,98.523,98.59,98.136
28,HUL,Haas F1 Team,HARD,2.0,16.0,32.0,17,98.526,98.54,97.634
29,NOR,McLaren,HARD,2.0,11.0,29.0,18,98.654,98.439,97.795
30,PIA,McLaren,HARD,2.0,12.0,24.0,13,98.681,98.556,97.942
31,LEC,Ferrari,MEDIUM,1.0,2.0,6.0,5,98.798,98.652,98.329
32,TSU,RB,HARD,2.0,12.0,28.0,16,98.962,98.829,98.177
33,STR,Aston Martin,HARD,2.0,11.0,27.0,17,98.98,98.691,98.424
34,VER,Red Bull Racing,MEDIUM,1.0,3.0,9.0,7,98.991,98.906,98.472
35,ALB,Williams,HARD,2.0,11.0,24.0,14,99.057,98.966,98.008
36,GAS,Alpine,HARD,2.0,12.0,14.0,3,99.061,98.621,98.314
37,OCO,Alpine,HARD,3.0,14.0,44.0,31,99.103,98.931,98.207
38,SAI,Ferrari,MEDIUM,1.0,2.0,9.0,8,99.103,98.875,98.394
39,HAM,Mercedes,MEDIUM,1.0,2.0,12.0,9,99.314,99.157,98.648
40,ALO,Aston Martin,HARD,2.0,6.0,23.0,16,99.339,99.3,98.437
41,NOR,McLaren,MEDIUM,1.0,2.0,7.0,6,99.375,99.344,98.848
42,ZHO,Kick Sauber,HARD,2.0,13.0,33.0,21,99.397,99.382,98.775
43,BOT,Kick Sauber,MEDIUM,2.0,19.0,34.0,16,99.435,99.346,98.594
44,PIA,McLaren,MEDIUM,1.0,3.0,8.0,6,99.491,99.185,99.01
45,TSU,RB,MEDIUM,1.0,2.0,8.0,7,99.54,99.428,99.071
46,LAW,RB,HARD,2.0,13.0,37.0,25,99.555,99.385,98.737
47,STR,Aston Martin,MEDIUM,1.0,3.0,8.0,5,99.681,99.447,99.006
48,ALB,Williams,MEDIUM,1.0,3.0,8.0,6,99.756,99.655,98.803
49,ZHO,Kick Sauber,MEDIUM,1.0,2.0,8.0,7,99.76,99.769,99.307
50,OCO,Alpine,MEDIUM,1.0,2.0,8.0,7,99.781,99.597,99.367
51,LAW,RB,MEDIUM,1.0,2.0,8.0,7,99.846,99.729,99.404
52,PER,Red Bull Racing,HARD,1.0,3.0,16.0,13,99.87,99.663,98.882
53,GAS,Alpine,MEDIUM,1.0,2.0,9.0,8,100.033,99.652,99.234
54,HUL,Haas F1 Team,MEDIUM,1.0,2.0,11.0,10,100.153,100.334,98.998
55,ALO,Aston Martin,SOFT,1.0,2.0,3.0,2,100.378,100.378,100.165
56,COL,Williams,HARD,1.0,2.0,14.0,11,100.387,99.852,99.204
57,BOT,Kick Sauber,HARD,1.0,2.0,15.0,13,100.693,100.459,99.498
58,MAG,Haas F1 Team,MEDIUM,1.0,3.0,16.0,13,100.752,100.623,98.923
