stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,LEC,Ferrari,SOFT,3.0,71.0,71.0,1,78.336,78.336,78.336
2,PER,Red Bull Racing,SOFT,4.0,70.0,70.0,1,79.209,79.209,79.209
3,NOR,McLaren,HARD,2.0,32.0,71.0,40,80.435,80.447,79.691
4,SAI,Ferrari,HARD,2.0,34.0,71.0,38,80.639,80.633,80.137
5,PIA,McLaren,HARD,2.0,41.0,71.0,31,80.753,80.53,80.064
6,LEC,Ferrari,HARD,2.0,33.0,68.0,36,80.793,80.724,80.156
7,HAM,Mercedes,HARD,2.0,30.0,71.0,42,81.138,81.059,80.371
8,RUS,Mercedes,HARD,2.0,33.0,71.0,39,81.265,81.21,80.731
9,OCO,Alpine,MEDIUM,2.0,50.0,70.0,21,81.303,81.278,80.659
10,MAG,Haas F1 Team,HARD,2.0,32.0,71.0,40,81.312,81.156,80.637
11,COL,Williams,MEDIUM,2.0,49.0,70.0,22,81.37,81.39,80.09
12,VER,Red Bull Racing,HARD,2.0,28.0,71.0,44,81.403,81.252,80.872
13,BOT,Kick Sauber,MEDIUM,2.0,51.0,70.0,20,81.59,81.404,81.085
14,PER,Red Bull Racing,MEDIUM,3.0,45.0,67.0,23,81.803,81.586,80.97
15,HUL,Haas F1 Team,HARD,2.0,31.0,70.0,40,81.825,81.635,80.748
16,LAW,RB,MEDIUM,2.0,41.0,64.0,24,81.881,81.699,81.302
17,LAW,RB,SOFT,3.0,67.0,70.0,4,81.98,81.701,79.502
18,GAS,Alpine,HARD,2.0,30.0,70.0,41,82.145,82.029,81.274
19,ZHO,Kick Sauber,MEDIUM,2.0,45.0,70.0,26,82.177,81.9,81.553
20,STR,Aston Martin,HARD,2.0,28.0,70.0,43,82.188,81.917,81.311
21,PER,Red Bull Racing,MEDIUM,2.0,22.0,42.0,21,83.119,83.089,81.659
22,OCO,Alpine,HARD,1.0,6.0,47.0,42,83.971,83.514,82.938
23,SAI,Ferrari,MEDIUM,1.0,1.0,31.0,27,84.257,81.765,81.284
24,LEC,Ferrari,MEDIUM,1.0,1.0,30.0,26,84.57,82.121,81.262
25,NOR,McLaren,MEDIUM,1.0,1.0,29.0,25,84.971,82.29,81.724
26,COL,Williams,HARD,1.0,5.0,46.0,42,85.029,83.201,82.551
27,BOT,Kick Sauber,HARD,1.0,4.0,48.0,44,85.073,83.518,82.879
28,PIA,McLaren,MEDIUM,1.0,4.0,38.0,34,85.12,83.044,82.231
29,RUS,Mercedes,MEDIUM,1.0,1.0,30.0,26,85.139,82.609,82.04
30,VER,Red Bull Racing,MEDIUM,1.0,1.0,25.0,21,85.405,82.325,81.442
31,LAW,RB,HARD,1.0,1.0,38.0,34,85.407,83.328,82.693
32,ZHO,Kick Sauber,HARD,1.0,4.0,42.0,38,85.62,83.704,82.904
33,HAM,Mercedes,MEDIUM,1.0,1.0,27.0,23,85.678,82.838,81.998
34,MAG,Haas F1 Team,MEDIUM,1.0,1.0,29.0,25,85.785,83.18,82.232
35,HUL,Haas F1 Team,MEDIUM,1.0,1.0,28.0,24,86.066,83.33,82.413
36,GAS,Alpine,MEDIUM,1.0,1.0,27.0,23,86.309,83.512,82.301
37,STR,Aston Martin,MEDIUM,1.0,1.0,25.0,21,86.905,83.513,82.941
38,PER,Red Bull Racing,HARD,1.0,1.0,19.0,15,88.132,83.092,82.367
39,ALO,Aston Martin,MEDIUM,1.0,1.0,14.0,13,100.013,84.166,82.722
