Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
PIA,81,McLaren,1.0,0 days 00:01:27.623000,87.623,,0 days 00:00:30.021000,0 days 00:00:28.254000,MEDIUM,1.0,1.0,,,1.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:28.179000,88.179,,0 days 00:00:29.989000,0 days 00:00:28.398000,MEDIUM,1.0,1.0,,,2.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:28.971000,88.971,,0 days 00:00:31.051000,0 days 00:00:28.624000,MEDIUM,1.0,1.0,,,3.0,False,1
SAI,55,Ferrari,1.0,0 days 00:01:29.345000,89.345,,0 days 00:00:30.635000,0 days 00:00:28.727000,MEDIUM,1.0,1.0,,,4.0,False,1
HAM,44,Mercedes,1.0,0 days 00:01:29.674000,89.674,,0 days 00:00:30.629000,0 days 00:00:28.773000,MEDIUM,1.0,1.0,,,5.0,False,1
VER,1,Red Bull Racing,1.0,0 days 00:01:30.354000,90.354,,0 days 00:00:31.144000,0 days 00:00:28.856000,HARD,1.0,1.0,,,6.0,False,1
RUS,63,Mercedes,1.0,0 days 00:01:31.512000,91.512,,0 days 00:00:31.627000,0 days 00:00:29.493000,MEDIUM,1.0,1.0,,,7.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:31.698000,91.698,,0 days 00:00:31.761000,0 days 00:00:29.279000,HARD,1.0,1.0,,,8.0,False,1
ALB,23,Williams,1.0,0 days 00:01:31.965000,91.965,,0 days 00:00:32.089000,0 days 00:00:29.091000,MEDIUM,1.0,1.0,,,9.0,False,1
ALO,14,Aston Martin,1.0,0 days 00:01:32.411000,92.411,,0 days 00:00:32.154000,0 days 00:00:29.198000,MEDIUM,2.0,1.0,,,10.0,False,1
RIC,3,RB,1.0,0 days 00:01:33.104000,93.104,,0 days 00:00:32.159000,0 days 00:00:29.497000,MEDIUM,1.0,1.0,,,11.0,False,1
MAG,20,Haas F1 Team,1.0,0 days 00:01:33.931000,93.931,,0 days 00:00:32.021000,0 days 00:00:30.142000,MEDIUM,1.0,1.0,,,12.0,False,1
GAS,10,Alpine,1.0,0 days 00:01:34.873000,94.873,,0 days 00:00:32.375000,0 days 00:00:30.504000,MEDIUM,1.0,1.0,,,13.0,False,1
TSU,22,RB,1.0,0 days 00:01:35.235000,95.235,,0 days 00:00:32.335000,0 days 00:00:30.339000,HARD,2.0,1.0,,,14.0,False,1
OCO,31,Alpine,1.0,0 days 00:01:35.432000,95.432,,0 days 00:00:32.145000,0 days 00:00:30.978000,HARD,1.0,1.0,,,15.0,False,1
HUL,27,Haas F1 Team,1.0,0 days 00:01:35.519000,95.519,,0 days 00:00:32.105000,0 days 00:00:31.886000,MEDIUM,1.0,1.0,,,16.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:35.810000,95.81,,0 days 00:00:32.459000,0 days 00:00:30.584000,HARD,2.0,1.0,,,17.0,False,1
COL,43,Williams,1.0,0 days 00:01:35.885000,95.885,,0 days 00:00:32.713000,0 days 00:00:30.295000,MEDIUM,1.0,1.0,,,18.0,False,1
BOT,77,Kick Sauber,1.0,0 days 00:01:36.375000,96.375,,0 days 00:00:32.750000,0 days 00:00:30.440000,HARD,2.0,1.0,,,19.0,False,1
ZHO,24,Kick Sauber,1.0,0 days 00:01:36.732000,96.732,,0 days 00:00:32.786000,0 days 00:00:30.474000,MEDIUM,2.0,1.0,,,20.0,False,1
PIA,81,McLaren,2.0,0 days 00:01:25.116000,85.116,0 days 00:00:27.751000,0 days 00:00:29.311000,0 days 00:00:28.054000,MEDIUM,2.0,1.0,,,1.0,True,1
LEC,16,Ferrari,2.0,0 days 00:01:25.396000,85.396,0 days 00:00:27.707000,0 days 00:00:29.265000,0 days 00:00:28.424000,MEDIUM,2.0,1.0,,,2.0,True,1
NOR,4,McLaren,2.0,0 days 00:01:25.458000,85.458,0 days 00:00:27.676000,0 days 00:00:29.408000,0 days 00:00:28.374000,MEDIUM,2.0,1.0,,,3.0,True,1
SAI,55,Ferrari,2.0,0 days 00:01:25.731000,85.731,0 days 00:00:27.553000,0 days 00:00:29.775000,0 days 00:00:28.403000,MEDIUM,2.0,1.0,,,4.0,True,1
HAM,44,Mercedes,2.0,0 days 00:01:26.043000,86.043,0 days 00:00:27.701000,0 days 00:00:29.754000,0 days 00:00:28.588000,MEDIUM,2.0,1.0,,,5.0,True,1
