Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HUL,Haas F1 Team,5,6.0,MEDIUM,HARD
TSU,RB,7,,HARD,
GAS,Alpine,10,11.0,MEDIUM,HARD
RIC,RB,11,12.0,MEDIUM,HARD
RUS,Mercedes,11,12.0,MEDIUM,HARD
ALO,Aston Martin,12,13.0,MEDIUM,HARD
MAG,Haas F1 Team,14,15.0,MEDIUM,HARD
NOR,McLaren,14,15.0,MEDIUM,HARD
HAM,Mercedes,15,16.0,MEDIUM,HARD
LEC,Ferrari,15,16.0,MEDIUM,HARD
ZHO,Kick Sauber,15,16.0,MEDIUM,HARD
COL,Williams,16,17.0,MEDIUM,HARD
PIA,McLaren,16,17.0,MEDIUM,HARD
ALB,Williams,17,18.0,MEDIUM,HARD
SAI,Ferrari,19,20.0,MEDIUM,HARD
STR,Aston Martin,19,20.0,HARD,HARD
VER,Red Bull Racing,22,23.0,HARD,HARD
PER,Red Bull Racing,23,24.0,HARD,HARD
GAS,Alpine,30,31.0,HARD,HARD
OCO,Alpine,31,32.0,HARD,MEDIUM
HUL,Haas F1 Team,32,33.0,HARD,HARD
NOR,McLaren,32,33.0,HARD,HARD
BOT,Kick Sauber,33,34.0,HARD,MEDIUM
RUS,Mercedes,33,34.0,HARD,HARD
ALO,Aston Martin,35,36.0,HARD,HARD
PER,Red Bull Racing,35,36.0,HARD,MEDIUM
STR,Aston Martin,36,37.0,HARD,MEDIUM
HAM,Mercedes,37,38.0,HARD,HARD
PIA,McLaren,38,39.0,HARD,HARD
VER,Red Bull Racing,41,42.0,HARD,MEDIUM
STR,Aston Martin,50,51.0,MEDIUM,SOFT
