stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,STR,Aston Martin,SOFT,4.0,52.0,52.0,1,82.232,82.232,82.232
2,PIA,McLaren,HARD,3.0,40.0,53.0,14,82.458,82.378,81.943
3,HAM,Mercedes,HARD,3.0,39.0,53.0,15,82.69,82.471,81.512
4,NOR,McLaren,HARD,3.0,34.0,53.0,20,82.7,82.557,81.432
5,VER,Red Bull Racing,MEDIUM,3.0,43.0,53.0,11,82.778,82.585,81.745
6,RUS,Mercedes,HARD,3.0,35.0,53.0,19,82.873,82.799,82.036
7,PIA,McLaren,HARD,2.0,18.0,37.0,20,83.497,83.432,82.968
8,ALO,Aston Martin,HARD,3.0,37.0,53.0,17,83.56,83.637,82.944
9,PER,Red Bull Racing,MEDIUM,3.0,37.0,53.0,16,83.565,83.404,82.971
10,VER,Red Bull Racing,HARD,2.0,24.0,40.0,17,83.588,83.542,83.424
11,LEC,Ferrari,HARD,2.0,17.0,53.0,37,83.625,83.624,83.226
12,NOR,McLaren,HARD,2.0,16.0,31.0,15,83.712,83.614,83.067
13,SAI,Ferrari,HARD,2.0,21.0,53.0,33,83.768,83.722,83.219
14,PER,Red Bull Racing,HARD,2.0,25.0,34.0,10,83.879,83.804,83.473
15,HAM,Mercedes,HARD,2.0,17.0,36.0,20,83.93,83.656,83.328
16,HUL,Haas F1 Team,HARD,3.0,34.0,52.0,18,84.012,83.79,83.275
17,STR,Aston Martin,MEDIUM,3.0,38.0,49.0,12,84.277,83.864,83.427
18,RUS,Mercedes,HARD,2.0,13.0,32.0,20,84.382,84.554,83.177
19,MAG,Haas F1 Team,HARD,2.0,16.0,53.0,38,84.581,84.615,83.437
20,PIA,McLaren,MEDIUM,1.0,2.0,14.0,12,84.602,84.631,84.077
21,GAS,Alpine,HARD,3.0,32.0,52.0,21,84.663,84.423,83.755
22,LEC,Ferrari,MEDIUM,1.0,2.0,12.0,11,84.746,84.663,84.362
23,NOR,McLaren,MEDIUM,1.0,3.0,13.0,11,84.767,84.674,84.391
24,ALB,Williams,HARD,2.0,19.0,53.0,35,84.795,84.793,83.918
25,COL,Williams,HARD,2.0,18.0,53.0,36,84.875,84.846,83.728
26,BOT,Kick Sauber,MEDIUM,2.0,35.0,52.0,18,84.91,84.936,83.609
27,STR,Aston Martin,HARD,2.0,21.0,35.0,15,84.928,84.749,84.437
28,OCO,Alpine,MEDIUM,2.0,33.0,52.0,20,84.944,84.893,84.343
29,RIC,RB,HARD,2.0,13.0,53.0,41,85.022,84.97,84.219
30,ALO,Aston Martin,HARD,2.0,14.0,34.0,21,85.03,85.017,84.504
31,SAI,Ferrari,MEDIUM,1.0,3.0,17.0,15,85.071,85.086,84.642
32,HAM,Mercedes,MEDIUM,1.0,3.0,13.0,11,85.115,84.938,84.771
33,VER,Red Bull Racing,HARD,1.0,4.0,21.0,18,85.244,85.231,84.918
34,RUS,Mercedes,MEDIUM,1.0,3.0,10.0,7,85.31,85.216,85.046
35,PER,Red Bull Racing,HARD,1.0,3.0,22.0,20,85.374,85.439,84.654
36,HUL,Haas F1 Team,HARD,2.0,7.0,31.0,25,85.488,85.506,84.983
37,GAS,Alpine,HARD,2.0,12.0,29.0,17,85.508,85.529,84.816
38,ZHO,Kick Sauber,HARD,2.0,17.0,52.0,36,85.938,85.721,85.092
39,ALB,Williams,MEDIUM,1.0,3.0,16.0,13,85.953,85.963,85.468
40,ALO,Aston Martin,MEDIUM,1.0,3.0,11.0,8,85.968,85.93,85.693
41,MAG,Haas F1 Team,MEDIUM,1.0,4.0,13.0,10,86.026,86.003,85.785
42,RIC,RB,MEDIUM,1.0,4.0,10.0,7,86.039,85.993,85.713
43,OCO,Alpine,HARD,1.0,2.0,30.0,27,86.25,86.234,85.369
44,STR,Aston Martin,HARD,1.0,3.0,17.0,15,86.254,86.182,85.558
45,GAS,Alpine,MEDIUM,1.0,2.0,8.0,7,86.334,86.395,85.82
46,ZHO,Kick Sauber,MEDIUM,1.0,3.0,14.0,11,86.466,86.381,85.942
47,HUL,Haas F1 Team,MEDIUM,1.0,3.0,4.0,2,86.488,86.488,86.434
48,COL,Williams,MEDIUM,1.0,3.0,15.0,12,86.504,86.455,86.057
49,BOT,Kick Sauber,HARD,1.0,3.0,32.0,29,86.558,86.47,85.804
50,TSU,RB,HARD,1.0,1.0,6.0,6,89.392,88.006,86.198
