stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VER,Red Bull Racing,INTERMEDIATE,2.0,34.0,69.0,33,82.865,82.246,80.472
2,OCO,Alpine,INTERMEDIATE,2.0,34.0,69.0,33,83.359,82.688,81.771
3,GAS,Alpine,INTERMEDIATE,2.0,34.0,69.0,33,83.829,82.75,81.645
4,RUS,Mercedes,INTERMEDIATE,1.0,1.0,27.0,27,84.855,84.462,83.517
5,NOR,McLaren,INTERMEDIATE,1.0,1.0,27.0,27,84.882,84.465,83.592
6,RUS,Mercedes,INTERMEDIATE,3.0,34.0,69.0,34,84.973,82.679,81.645
7,HUL,Haas F1 Team,INTERMEDIATE,1.0,2.0,24.0,22,85.008,84.821,83.764
8,NOR,McLaren,INTERMEDIATE,3.0,34.0,69.0,34,85.283,83.31,81.517
9,LEC,Ferrari,INTERMEDIATE,3.0,34.0,69.0,34,85.295,83.13,81.631
10,LEC,Ferrari,INTERMEDIATE,1.0,1.0,23.0,23,85.351,84.802,84.137
11,TSU,RB,INTERMEDIATE,1.0,1.0,27.0,27,85.386,84.877,84.163
12,PIA,McLaren,INTERMEDIATE,3.0,34.0,69.0,34,85.46,82.92,81.532
13,PIA,McLaren,INTERMEDIATE,1.0,1.0,26.0,26,85.644,84.921,84.098
14,SAI,Ferrari,INTERMEDIATE,1.0,2.0,26.0,25,85.703,85.434,84.201
15,ALO,Aston Martin,INTERMEDIATE,1.0,1.0,26.0,26,85.716,84.747,83.949
16,TSU,RB,INTERMEDIATE,3.0,34.0,69.0,34,85.797,83.571,81.828
17,HAM,Mercedes,INTERMEDIATE,3.0,34.0,69.0,34,86.007,83.864,82.041
18,PER,Red Bull Racing,INTERMEDIATE,3.0,34.0,69.0,34,86.104,83.967,82.143
19,LAW,RB,INTERMEDIATE,3.0,34.0,69.0,34,86.119,83.995,82.123
20,BEA,Haas F1 Team,INTERMEDIATE,1.0,1.0,26.0,26,86.156,85.14,84.306
21,HAM,Mercedes,INTERMEDIATE,1.0,1.0,26.0,26,86.185,85.292,83.973
22,LAW,RB,INTERMEDIATE,1.0,1.0,27.0,27,86.225,85.0,84.034
23,COL,Williams,INTERMEDIATE,1.0,1.0,25.0,25,86.364,85.549,84.296
24,PER,Red Bull Racing,INTERMEDIATE,1.0,1.0,26.0,26,86.464,85.792,84.395
25,BEA,Haas F1 Team,INTERMEDIATE,3.0,34.0,69.0,34,86.516,83.957,82.494
26,ZHO,Kick Sauber,INTERMEDIATE,5.0,34.0,69.0,33,86.575,84.727,83.058
27,BOT,Kick Sauber,INTERMEDIATE,2.0,34.0,69.0,34,86.761,84.198,82.877
28,ALO,Aston Martin,INTERMEDIATE,3.0,34.0,69.0,34,86.939,83.789,82.293
29,ZHO,Kick Sauber,INTERMEDIATE,1.0,1.0,26.0,26,87.292,86.409,85.053
30,OCO,Alpine,INTERMEDIATE,1.0,1.0,30.0,30,87.789,84.982,84.037
31,VER,Red Bull Racing,INTERMEDIATE,1.0,1.0,30.0,30,88.079,84.663,83.43
32,GAS,Alpine,INTERMEDIATE,1.0,1.0,30.0,30,88.163,85.063,83.92
33,BOT,Kick Sauber,INTERMEDIATE,1.0,1.0,29.0,29,88.571,85.823,84.726
34,SAI,Ferrari,INTERMEDIATE,3.0,34.0,38.0,5,90.97,88.886,86.771
35,LEC,Ferrari,INTERMEDIATE,2.0,26.0,29.0,4,96.411,97.322,84.479
36,PIA,McLaren,INTERMEDIATE,2.0,29.0,29.0,1,101.078,101.078,101.078
37,PER,Red Bull Racing,WET,2.0,29.0,29.0,1,101.662,101.662,101.662
38,SAI,Ferrari,INTERMEDIATE,2.0,29.0,29.0,1,102.131,102.131,102.131
39,BEA,Haas F1 Team,INTERMEDIATE,2.0,29.0,29.0,1,103.986,103.986,103.986
40,HAM,Mercedes,INTERMEDIATE,2.0,29.0,29.0,1,105.316,105.316,105.316
41,ALO,Aston Martin,INTERMEDIATE,2.0,29.0,29.0,1,105.422,105.422,105.422
