Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
NOR,4,McLaren,1.0,0 days 00:01:40.424000,100.424,,0 days 00:00:41.379000,0 days 00:00:27.852000,MEDIUM,1.0,1.0,,,1.0,False,1
VER,1,Red Bull Racing,1.0,0 days 00:01:41.413000,101.413,,0 days 00:00:41.689000,0 days 00:00:27.888000,MEDIUM,1.0,1.0,,,2.0,False,1
HAM,44,Mercedes,1.0,0 days 00:01:42.702000,102.702,,0 days 00:00:42.472000,0 days 00:00:27.790000,SOFT,3.0,1.0,,,3.0,False,1
RUS,63,Mercedes,1.0,0 days 00:01:43.822000,103.822,,0 days 00:00:42.792000,0 days 00:00:27.801000,MEDIUM,1.0,1.0,,,4.0,False,1
PIA,81,McLaren,1.0,0 days 00:01:45.268000,105.268,,0 days 00:00:43.494000,0 days 00:00:28.089000,MEDIUM,1.0,1.0,,,5.0,False,1
HUL,27,Haas F1 Team,1.0,0 days 00:01:45.723000,105.723,,0 days 00:00:43.814000,0 days 00:00:28.336000,MEDIUM,1.0,1.0,,,6.0,False,1
ALO,14,Aston Martin,1.0,0 days 00:01:46.384000,106.384,,0 days 00:00:43.728000,0 days 00:00:28.456000,MEDIUM,2.0,1.0,,,7.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:47.090000,107.09,,0 days 00:00:44.011000,0 days 00:00:28.522000,MEDIUM,1.0,1.0,,,8.0,False,1
COL,43,Williams,1.0,0 days 00:01:47.696000,107.696,,0 days 00:00:44.068000,0 days 00:00:28.605000,MEDIUM,1.0,1.0,,,9.0,False,1
PER,11,Red Bull Racing,1.0,0 days 00:01:48.150000,108.15,,0 days 00:00:43.895000,0 days 00:00:28.402000,MEDIUM,1.0,1.0,,,10.0,False,1
TSU,22,RB,1.0,0 days 00:01:48.899000,108.899,,0 days 00:00:44.732000,0 days 00:00:28.483000,MEDIUM,1.0,1.0,,,11.0,False,1
SAI,55,Ferrari,1.0,0 days 00:01:49.501000,109.501,,0 days 00:00:45.238000,0 days 00:00:28.504000,MEDIUM,1.0,1.0,,,12.0,False,1
OCO,31,Alpine,1.0,0 days 00:01:49.927000,109.927,,0 days 00:00:45.069000,0 days 00:00:28.453000,MEDIUM,1.0,1.0,,,13.0,False,1
MAG,20,Haas F1 Team,1.0,0 days 00:01:50.409000,110.409,,0 days 00:00:45.151000,0 days 00:00:28.541000,HARD,1.0,1.0,,,14.0,False,1
ALB,23,Williams,1.0,0 days 00:01:50.771000,110.771,,0 days 00:00:45.094000,0 days 00:00:28.543000,MEDIUM,1.0,1.0,,,15.0,False,1
RIC,3,RB,1.0,0 days 00:01:51.319000,111.319,,0 days 00:00:45.681000,0 days 00:00:28.467000,SOFT,1.0,1.0,,,16.0,False,1
GAS,10,Alpine,1.0,0 days 00:01:51.981000,111.981,,0 days 00:00:45.851000,0 days 00:00:28.823000,MEDIUM,1.0,1.0,,,17.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:52.609000,112.609,,0 days 00:00:46.308000,0 days 00:00:28.829000,HARD,2.0,1.0,,,18.0,False,1
BOT,77,Kick Sauber,1.0,0 days 00:01:53.361000,113.361,,0 days 00:00:46.497000,0 days 00:00:29.119000,HARD,1.0,1.0,,,19.0,False,1
ZHO,24,Kick Sauber,1.0,0 days 00:01:53.822000,113.822,,0 days 00:00:46.661000,0 days 00:00:29.267000,HARD,1.0,1.0,,,20.0,False,1
NOR,4,McLaren,2.0,0 days 00:01:38.480000,98.48,0 days 00:00:29.268000,0 days 00:00:41.412000,0 days 00:00:27.800000,MEDIUM,2.0,1.0,,,1.0,True,1
VER,1,Red Bull Racing,2.0,0 days 00:01:38.790000,98.79,0 days 00:00:29.027000,0 days 00:00:41.805000,0 days 00:00:27.958000,MEDIUM,2.0,1.0,,,2.0,True,1
HAM,44,Mercedes,2.0,0 days 00:01:38.853000,98.853,0 days 00:00:29.507000,0 days 00:00:41.692000,0 days 00:00:27.654000,SOFT,4.0,1.0,,,3.0,True,1
