Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
TSU,RB,9,10,SOFT,MEDIUM
ZHO,Kick Sauber,9,10,SOFT,MEDIUM
MAG,Haas F1 Team,10,11,SOFT,MEDIUM
BOT,Kick Sauber,11,12,SOFT,SOFT
HUL,Haas F1 Team,12,13,SOFT,MEDIUM
OCO,Alpine,13,14,SOFT,MEDIUM
PER,Red Bull Racing,13,14,SOFT,SOFT
GAS,Alpine,14,15,SOFT,MEDIUM
SAR,Williams,14,15,SOFT,MEDIUM
RUS,Mercedes,15,16,SOFT,MEDIUM
SAI,Ferrari,15,16,SOFT,MEDIUM
HAM,Mercedes,16,17,SOFT,MEDIUM
RIC,RB,16,17,SOFT,MEDIUM
STR,Aston Martin,17,18,SOFT,MEDIUM
VER,Red Bull Racing,17,18,SOFT,MEDIUM
ALB,Williams,18,19,MEDIUM,SOFT
ALO,Aston Martin,19,20,SOFT,MEDIUM
PIA,McLaren,21,22,SOFT,MEDIUM
NOR,McLaren,23,24,SOFT,MEDIUM
LEC,Ferrari,24,25,SOFT,MEDIUM
TSU,RB,27,28,MEDIUM,HARD
BOT,Kick Sauber,28,29,SOFT,HARD
MAG,Haas F1 Team,29,30,MEDIUM,HARD
PER,Red Bull Racing,31,32,SOFT,MEDIUM
SAR,Williams,34,35,MEDIUM,HARD
RUS,Mercedes,36,37,MEDIUM,HARD
SAI,Ferrari,36,37,MEDIUM,HARD
OCO,Alpine,37,38,MEDIUM,HARD
STR,Aston Martin,37,38,MEDIUM,HARD
GAS,Alpine,38,39,MEDIUM,HARD
HUL,Haas F1 Team,38,39,MEDIUM,HARD
ZHO,Kick Sauber,41,42,MEDIUM,HARD
RIC,RB,42,43,MEDIUM,HARD
ALB,Williams,43,44,SOFT,SOFT
HAM,Mercedes,43,44,MEDIUM,SOFT
TSU,RB,44,45,HARD,SOFT
VER,Red Bull Racing,44,45,MEDIUM,SOFT
ALO,Aston Martin,45,46,MEDIUM,HARD
PIA,McLaren,46,47,MEDIUM,SOFT
LEC,Ferrari,47,48,MEDIUM,SOFT
NOR,McLaren,47,48,MEDIUM,SOFT
PER,Red Bull Racing,49,50,MEDIUM,SOFT
